Dataset,Familia,Combinacion,MAE,RMSE,DTW,SNR
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | aew | spherical_spline,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264
iris_graph_signal,GSP Instantáneo,iris_graph_signal | aew | linear,0.1518491698371136,0.4448891435603975,2.653670630377104,9.148721305390348
iris_graph_signal,GSP Instantáneo,iris_graph_signal | aew | rbfi_tps,0.2620043478585833,0.7285317677633156,4.938416730267027,4.378422041912953
iris_graph_signal,GSP Instantáneo,iris_graph_signal | aew | sobolev,0.513863324282747,0.6447576398338662,4.369615954590969,3.829536203619935
iris_graph_signal,GSP Instantáneo,iris_graph_signal | aew | temporal_laplacian,0.3396079296379152,0.5190150645694013,3.102095174929395,7.839025169128668
iris_graph_signal,GSP Instantáneo,iris_graph_signal | aew | tikhonov,0.1161965753337749,0.3892414891897024,1.7350066613747472,13.01508388572814
iris_graph_signal,GSP Instantáneo,iris_graph_signal | aew | tv,0.1161997899793729,0.3892498012988614,1.7351093430357551,13.0148449079379
iris_graph_signal,GSP Instantáneo,iris_graph_signal | aew | visibility_nnk,0.1828393890585723,0.4700571191805186,3.118799394326099,6.668721340001778
iris_graph_signal,GSP Instantáneo,iris_graph_signal | epsilon_ball | bgsrp,0.4893184948919912,0.7091588962111434,4.067047176433095,5.295731647040304
iris_graph_signal,GSP Instantáneo,iris_graph_signal | epsilon_ball | ica,0.1516838615974675,0.4190089004329809,2.487563970578188,8.85829790712666
iris_graph_signal,GSP Instantáneo,iris_graph_signal | epsilon_ball | idw,0.1397958199476181,0.4177182579398777,2.424070436715642,9.991212767536922
iris_graph_signal,GSP Instantáneo,iris_graph_signal | epsilon_ball | linear,0.1518491698371136,0.4448891435603975,2.653670630377104,9.148721305390348
iris_graph_signal,GSP Instantáneo,iris_graph_signal | epsilon_ball | rbfi_tps,0.2620043478585833,0.7285317677633156,4.938416730267027,4.378422041912953
iris_graph_signal,GSP Instantáneo,iris_graph_signal | epsilon_ball | sobolev,0.513864189703193,0.6447598556588462,4.369601863380265,3.829506127393089
iris_graph_signal,GSP Instantáneo,iris_graph_signal | epsilon_ball | temporal_laplacian,0.3396076480019488,0.5190155009970269,3.102097676386657,7.83901944784005
iris_graph_signal,GSP Instantáneo,iris_graph_signal | epsilon_ball | tikhonov,0.1423079891491113,0.4212131326928351,2.501931817905742,9.85809577947764
iris_graph_signal,GSP Instantáneo,iris_graph_signal | epsilon_ball | tv,0.1423079891491113,0.4212131326928351,2.501931817905742,9.85809577947764
iris_graph_signal,GSP Instantáneo,iris_graph_signal | epsilon_ball | visibility_nnk,0.1828393890585723,0.4700571191805186,3.118799394326099,6.668721340001778
iris_graph_signal,GSP Instantáneo,iris_graph_signal | knn__k9 | bgsrp,0.49584846443970265,0.6916805494259504,4.046214797082527,4.568512682684506
iris_graph_signal,GSP Instantáneo,iris_graph_signal | knn__k9 | ica,0.2210413618909124,0.48561451588748966,2.92990390569114,7.027902603517431
iris_graph_signal,GSP Instantáneo,iris_graph_signal | knn__k9 | idw,0.2026153005984349,0.48416380351813837,2.790451443683051,8.513087231320894
iris_graph_signal,GSP Instantáneo,iris_graph_signal | knn__k9 | linear,0.2443910088127704,0.5801329734264027,3.6583916703776973,6.6011033687378635
iris_graph_signal,GSP Instantáneo,iris_graph_signal | knn__k9 | rbfi_tps,3.7622336055448278,9.560385183797745,91.9186302543827,-10.398223264847456
iris_graph_signal,GSP Instantáneo,iris_graph_signal | knn__k9 | sobolev,0.6753337722475851,0.8117765328778652,5.96473987659142,2.0253266103322902
iris_graph_signal,GSP Instantáneo,iris_graph_signal | knn__k9 | temporal_laplacian,0.6842222134149812,0.819868800087165,5.226948147045264,1.740635048488312
iris_graph_signal,GSP Instantáneo,iris_graph_signal | knn__k9 | tikhonov,0.3180162756118652,0.5150195124796415,3.045675694765629,7.6389853119014886
iris_graph_signal,GSP Instantáneo,iris_graph_signal | knn__k9 | tv,0.2002115267303844,0.47779481171825866,2.7939052599390717,8.453640942696236
iris_graph_signal,GSP Instantáneo,iris_graph_signal | knn__k9 | visibility_nnk,0.25551717607205426,0.5409944312421049,3.4241130709976675,5.498576246595297
iris_graph_signal,GSP Instantáneo,iris_graph_signal | nnk | bgsrp,0.49872104251561056,0.7226620297737508,4.311795946953502,4.4975327192853225
iris_graph_signal,GSP Instantáneo,iris_graph_signal | nnk | ica,0.1516838615974675,0.4190089004329809,2.487563970578188,8.85829790712666
iris_graph_signal,GSP Instantáneo,iris_graph_signal | nnk | idw,0.1397958199476181,0.4177182579398777,2.424070436715642,9.991212767536922
iris_graph_signal,GSP Instantáneo,iris_graph_signal | nnk | linear,0.1518491698371136,0.4448891435603975,2.653670630377104,9.148721305390348
iris_graph_signal,GSP Instantáneo,iris_graph_signal | nnk | rbfi_tps,0.2620043478585833,0.7285317677633156,4.938416730267027,4.378422041912953
iris_graph_signal,GSP Instantáneo,iris_graph_signal | nnk | sobolev,0.6120584555324401,0.7360097712963706,5.415077183303879,2.8284261784764118
iris_graph_signal,GSP Instantáneo,iris_graph_signal | nnk | temporal_laplacian,0.4736818769616775,0.6034005447016426,3.988851317457181,4.718012989008025
iris_graph_signal,GSP Instantáneo,iris_graph_signal | nnk | tikhonov,0.18778953490490216,0.43692850915142994,2.5217013236683234,9.760468279157962
iris_graph_signal,GSP Instantáneo,iris_graph_signal | nnk | tv,0.13839230638741046,0.4140956168237693,2.316236666707394,10.398306637586757
iris_graph_signal,GSP Instantáneo,iris_graph_signal | nnk | visibility_nnk,0.1828393890585723,0.4700571191805186,3.118799394326099,6.668721340001778
iris_graph_signal,GSP Instantáneo,iris_graph_signal | vknng | bgsrp,0.4953329075550835,0.6764777791190856,3.990685826866178,4.706698155313967
iris_graph_signal,GSP Instantáneo,iris_graph_signal | vknng | ica,0.1516838615974675,0.4190089004329809,2.487563970578188,8.85829790712666
iris_graph_signal,GSP Instantáneo,iris_graph_signal | vknng | idw,0.1397958199476181,0.4177182579398777,2.424070436715642,9.991212767536922
iris_graph_signal,GSP Instantáneo,iris_graph_signal | vknng | linear,0.1518491698371136,0.4448891435603975,2.653670630377104,9.148721305390348
iris_graph_signal,GSP Instantáneo,iris_graph_signal | vknng | rbfi_tps,0.2620043478585833,0.7285317677633156,4.938416730267027,4.378422041912953
iris_graph_signal,GSP Instantáneo,iris_graph_signal | vknng | sobolev,0.6657036864780287,0.7986913836774441,5.893137774382469,2.186176997570059
iris_graph_signal,GSP Instantáneo,iris_graph_signal | vknng | temporal_laplacian,0.6648052073251546,0.797381668444051,5.244331206466817,1.9878697539512384
iris_graph_signal,GSP Instantáneo,iris_graph_signal | vknng | tikhonov,0.2732785453035038,0.4649311802339372,2.7633766708435483,8.823974053361976
iris_graph_signal,GSP Instantáneo,iris_graph_signal | vknng | tv,0.1411564793265537,0.4190079799930931,2.463464210435995,10.052514347328335
