dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error
mne_sample_proxy,knn__k3,graph_time_tikhonov,0.4,0,2.0512583461215117e-07,6.827233028897121e-07,11.651153692119465,,{},
mne_sample_proxy,knn__k3,temporal_laplacian,0.4,0,1.6910217876122386e-07,6.337248139547987e-07,12.489865269815235,,{},
mne_sample_proxy,knn__k3,wavelet_temporal,0.4,0,1.8166001587444444e-07,7.095724789646497e-07,12.178763824405003,,{},
mne_sample_proxy,knn__k3,linear,0.4,0,3.0667137525414196e-07,1.1710436497460022e-06,9.90462489765176,,{},
mne_sample_proxy,knn__k3,nearest,0.4,0,3.333376970171858e-07,1.4482628586285706e-06,9.542512999556724,,{},
mne_sample_proxy,knn__k3,mean,0.4,0,2.6380395437139024e-07,1.0887866729920812e-06,10.558544292159269,,{},
mne_sample_proxy,knn__k3,idw,0.4,0,3.1563061707381653e-07,8.440993721896103e-07,9.77956606158992,,{},
mne_sample_proxy,knn__k3,gsmooth,0.4,0,2.8213969344460395e-07,1.0374120394344868e-06,10.266715403692153,,{},
mne_sample_proxy,knn__k3,tikhonov,0.4,0,3.006214307405794e-07,7.555083575179426e-07,9.991157931303805,,{},
mne_sample_proxy,knn__k3,spherical_spline,0.4,0,2.655188073626755e-07,6.772801696325832e-07,10.530404417966368,,{},
mne_sample_proxy,knn__k3,rbfi_tps,0.4,0,2.394843271118316e-07,1.0236221060559094e-06,10.978586338421454,,{},
mne_sample_proxy,knn__k3,rbfi_mq,0.4,0,2.6971737656257866e-07,8.894329525401566e-07,10.462268036686769,,{},
mne_sample_proxy,knn__k3,spline_surface,0.4,0,2.5911371820829666e-07,8.298998687534013e-07,10.636453240936387,,{},
mne_sample_proxy,knn__k3,puy,0.4,0,2.9040249172959976e-07,8.05293816188161e-07,10.141353921077759,,{},
mne_sample_proxy,knn__k3,bgsrp,0.4,0,2.7260016673307256e-07,1.1414777545705641e-06,10.416096133526963,,{},
mne_sample_proxy,knn__k3,sobolev,0.4,0,2.688754627928158e-07,6.80247304303362e-07,10.475845595656576,,{},
