dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch
synthetic_16ch,knn__k3,tikhonov,0.4,0,0.6498013103274605,0.7966861204376475,1.872194172325779,0.6514996527606955,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.4,0,0.5645860727244256,0.6977530000693288,2.4826983928349904,0.5654377162455301,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.4,0,0.5397109255292873,0.6690504300989194,2.678387902922271,0.568046067763638,{},,
synthetic_16ch,knn__k3,tv,0.4,0,0.5201914199875255,0.6552726594892758,2.8383681531271083,0.5415087094810935,{},,
synthetic_16ch,knn__k3,trss,0.4,0,0.5222210336184737,0.6542170873382441,2.821456399797395,0.5466415251180369,{},,
synthetic_16ch,knn__k3,mean,0.4,1,0.5863226826444665,0.7082650089255724,2.318633042507982,0.5997985211182448,{},,
synthetic_16ch,knn__k3,nearest,0.4,1,0.7400230273026454,0.9089815234801919,1.3075476611319976,0.7511666369611497,{},,
synthetic_16ch,knn__k3,tikhonov,0.4,1,0.6421726001399667,0.7855104872769482,1.9234822860670466,0.6556851703086961,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.4,1,0.587532396197367,0.6880097973688237,2.309681816480789,0.600936020071479,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.4,1,0.552182432142298,0.6608189787349181,2.579174146916718,0.5629015844642119,{},,
synthetic_16ch,knn__k3,tv,0.4,1,0.5159106408999617,0.6060279867294202,2.874255145052307,0.5260008411497173,{},,
synthetic_16ch,knn__k3,trss,0.4,1,0.5113665429272256,0.6188078832051309,2.912676898743584,0.5301688920306465,{},,
synthetic_16ch,knn__k3,mean,0.4,2,0.588439757604793,0.7034537990926384,2.3029799208744532,0.6084353254906114,{},,
synthetic_16ch,knn__k3,nearest,0.4,2,0.7242797273842041,0.9126754478957306,1.400936705468399,0.7815349746370898,{},,
synthetic_16ch,knn__k3,tikhonov,0.4,2,0.6398040069236965,0.8102864468040033,1.9395304437095529,0.6649053695065865,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.4,2,0.5633773404807486,0.6666202779605788,2.4920062469430175,0.5746679240297204,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.4,2,0.5258302061046969,0.6647434021667193,2.79154469640406,0.5493557541092123,{},,
synthetic_16ch,knn__k3,tv,0.4,2,0.5072399601075851,0.6018048771125862,2.9478654027804057,0.5263022545713184,{},,
synthetic_16ch,knn__k3,trss,0.4,2,0.527209703919,0.6580564986711552,2.7801660463536013,0.5471379795493432,{},,
synthetic_32ch,knn__k3,mean,0.1,0,0.44917585250091924,0.523253394006947,3.4758359926510978,0.4614744848682319,{},,
synthetic_32ch,knn__k3,nearest,0.1,0,0.5532475260645329,0.6576913320208431,2.5708051941333867,0.569538846884335,{},,
synthetic_32ch,knn__k3,tikhonov,0.1,0,0.4892715946233953,0.6047034529923733,3.104499971073732,0.5047152486537717,{},,
synthetic_32ch,knn__k3,temporal_laplacian,0.1,0,0.42702539335301903,0.5056073924577159,3.6954629859178767,0.42868551284939743,{},,
synthetic_32ch,knn__k3,graph_time_tikhonov,0.1,0,0.3958488725220512,0.4830530892876435,4.0247058770220185,0.41627724875518746,{},,
synthetic_32ch,knn__k3,tv,0.1,0,0.3768607671827447,0.4608413342118072,4.238190721085637,0.4064208612528597,{},,
synthetic_32ch,knn__k3,trss,0.1,0,0.3807053902944417,0.4566347338553033,4.194109740945019,0.3879444260152753,{},,
synthetic_32ch,knn__k3,mean,0.1,1,0.4416869217488494,0.5335794991545417,3.5488545991290503,0.4576153712138855,{},,
synthetic_32ch,knn__k3,nearest,0.1,1,0.550717577565472,0.6585132696384398,2.590710616732554,0.5693205692777376,{},,
synthetic_32ch,knn__k3,tikhonov,0.1,1,0.49935300721893083,0.5877587705697573,3.0159233035741364,0.5135970563040331,{},,
synthetic_32ch,knn__k3,temporal_laplacian,0.1,1,0.4065095381568627,0.48766002767164185,3.9092925985901616,0.4214633429521551,{},,
synthetic_32ch,knn__k3,graph_time_tikhonov,0.1,1,0.4110850573489077,0.5151470660933531,3.8606830922895026,0.4233180747797844,{},,
synthetic_32ch,knn__k3,tv,0.1,1,0.38829365716153774,0.465932239715549,4.108397036641204,0.38880530156432763,{},,
synthetic_32ch,knn__k3,trss,0.1,1,0.3805237304272868,0.46999486488567627,4.1961825433966995,0.4083077473118887,{},,
synthetic_32ch,knn__k3,mean,0.1,2,0.44494042203048406,0.5501995087828807,3.5169813759254054,0.45105958079916497,{},,
synthetic_32ch,knn__k3,nearest,0.1,2,0.5484767685208423,0.6446139408068938,2.608417628320967,0.5694444814059945,{},,
synthetic_32ch,knn__k3,tikhonov,0.1,2,0.4713429541524543,0.5730248771877812,3.2666298056334924,0.4863733987758074,{},,
synthetic_32ch,knn__k3,temporal_laplacian,0.1,2,0.4465599016781116,0.5465100010234939,3.5012027647579522,0.45738719899281377,{},,
synthetic_32ch,knn__k3,graph_time_tikhonov,0.1,2,0.4076153346708553,0.4991186956700603,3.8974948600492585,0.4267005873144339,{},,
synthetic_32ch,knn__k3,tv,0.1,2,0.4015714365613084,0.4793961156040809,3.9623718576477964,0.4302027729263448,{},,
synthetic_32ch,knn__k3,trss,0.1,2,0.3835652728487153,0.46060163332140985,4.161607197820235,0.3990361175916747,{},,
synthetic_32ch,knn__k3,mean,0.2,0,0.4702047532205516,0.5750126245451106,3.2771298497829067,0.4852733698699653,{},,
synthetic_32ch,knn__k3,nearest,0.2,0,0.5882224277183066,0.6925956388299511,2.3045842075202576,0.6080568046506805,{},,
synthetic_32ch,knn__k3,tikhonov,0.2,0,0.4960130137048389,0.5829723351557236,3.045069289402613,0.5091817105830015,{},,
synthetic_32ch,knn__k3,temporal_laplacian,0.2,0,0.44823492678039883,0.5590292865628922,3.4849430595034097,0.47102979927318533,{},,
synthetic_32ch,knn__k3,graph_time_tikhonov,0.2,0,0.43383115630480446,0.5267416978542445,3.626792616215036,0.4372303473185166,{},,
synthetic_32ch,knn__k3,tv,0.2,0,0.4190571620226806,0.5041905088575303,3.7772673250332574,0.4374978299062664,{},,
synthetic_32ch,knn__k3,trss,0.2,0,0.4268760077495944,0.5506170213106851,3.6969825370937164,0.4472889849771974,{},,
synthetic_32ch,knn__k3,mean,0.2,1,0.4485451377060975,0.5480228853984973,3.4819384677653575,0.45095035654415216,{},,
synthetic_32ch,knn__k3,nearest,0.2,1,0.6011592236086808,0.7575376326253528,2.2101048510756773,0.6136643239663765,{},,
synthetic_32ch,knn__k3,tikhonov,0.2,1,0.51115211886612,0.6370065294468111,2.914498345947823,0.5427293048162768,{},,
synthetic_32ch,knn__k3,temporal_laplacian,0.2,1,0.43222058246793804,0.5418696014116265,3.6429455573171095,0.4363677549427031,{},,
synthetic_32ch,knn__k3,graph_time_tikhonov,0.2,1,0.4285490845562083,0.5332747877288031,3.6799942827637584,0.4401900437295014,{},,
synthetic_32ch,knn__k3,tv,0.2,1,0.4239543161734355,0.5302532853648612,3.726809389314971,0.4450232562784264,{},,
synthetic_32ch,knn__k3,trss,0.2,1,0.406896910590595,0.5099938415749808,3.905156075615985,0.41342422048749494,{},,
synthetic_32ch,knn__k3,mean,0.2,2,0.4832491633280705,0.5868765761028034,3.158288892122545,0.49350597388924,{},,
synthetic_32ch,knn__k3,nearest,0.2,2,0.5653666431676919,0.6959582985480081,2.4766981861820483,0.5985074239635731,{},,
synthetic_32ch,knn__k3,tikhonov,0.2,2,0.5245415428470119,0.6264222477742526,2.8022011068263826,0.5371323459294838,{},,
synthetic_32ch,knn__k3,temporal_laplacian,0.2,2,0.43643706060630494,0.5225172891375673,3.6007837785029464,0.4489759103876754,{},,
synthetic_32ch,knn__k3,graph_time_tikhonov,0.2,2,0.4327465449927237,0.5475125933500945,3.63766390803581,0.44588671651653816,{},,
synthetic_32ch,knn__k3,tv,0.2,2,0.40759598295710475,0.4752068721464015,3.897701048121408,0.4202868613438156,{},,
synthetic_32ch,knn__k3,trss,0.2,2,0.40663570559672607,0.49718935832976235,3.9079448978247946,0.41119005258494257,{},,
synthetic_32ch,knn__k3,mean,0.3,0,0.4807810817833938,0.6095683823585138,3.180526296872844,0.49305672398339856,{},,
synthetic_32ch,knn__k3,nearest,0.3,0,0.6193354571682004,0.7623257956120925,2.0807405576933338,0.6524200155496741,{},,
synthetic_32ch,knn__k3,tikhonov,0.3,0,0.5253249493524578,0.6190467184620048,2.7957197268018352,0.5371183922381213,{},,
synthetic_32ch,knn__k3,temporal_laplacian,0.3,0,0.46261681388244336,0.5566176758788179,3.3477858677487236,0.4750310589436222,{},,
synthetic_32ch,knn__k3,graph_time_tikhonov,0.3,0,0.4285746440797694,0.5163291801256769,3.6797352685823723,0.4355714369227475,{},,
synthetic_32ch,knn__k3,tv,0.3,0,0.43620324021461465,0.5131080177912147,3.603111127084073,0.44683149921633336,{},,
synthetic_32ch,knn__k3,trss,0.3,0,0.44790229852411456,0.5609013686112156,3.4881670885646776,0.4749315999999464,{},,
synthetic_32ch,knn__k3,mean,0.3,1,0.4980745786054787,0.6433562713017227,3.02705623801988,0.5283577988905358,{},,
synthetic_32ch,knn__k3,nearest,0.3,1,0.6147291900592053,0.731222012880078,2.1131616416710925,0.6266908277665817,{},,
synthetic_32ch,knn__k3,tikhonov,0.3,1,0.5493380832719351,0.6393858869024005,2.601602921456287,0.5542776205857892,{},,
synthetic_32ch,knn__k3,temporal_laplacian,0.3,1,0.45992639431981797,0.56478477959504,3.3731166635777137,0.47793343311170855,{},,
synthetic_32ch,knn__k3,graph_time_tikhonov,0.3,1,0.44537857886736143,0.5438756517292581,3.51270674825523,0.4617308167074857,{},,
synthetic_32ch,knn__k3,tv,0.3,1,0.4324188999533771,0.5583205911122315,3.640953323724905,0.44531728368155277,{},,
synthetic_32ch,knn__k3,trss,0.3,1,0.419677691582807,0.5442388618682233,3.7708411556227044,0.4286827367700053,{},,
synthetic_32ch,knn__k3,mean,0.3,2,0.48020477872726136,0.5841397003388509,3.1857352240271513,0.5032584460000633,{},,
synthetic_32ch,knn__k3,nearest,0.3,2,0.601619895439303,0.7457835950845398,2.206778101540012,0.6187527570472012,{},,
synthetic_32ch,knn__k3,tikhonov,0.3,2,0.5428653664255946,0.6700212692674877,2.6530786445889847,0.5562365061268852,{},,
