comparison,method_a,method_b,metric,direction,n_pairs,n_scenarios,a_mean,b_mean,a_median,b_median,median_improvement,mean_improvement,win_rate,median_benefit_diff,mean_benefit_diff,wilcoxon_p,paired_rank_biserial,cohen_dz,boot_median_improvement_ci_low,boot_median_improvement_ci_high,boot_mean_improvement_ci_low,boot_mean_improvement_ci_high,boot_median_benefit_diff_ci_low,boot_median_benefit_diff_ci_high,boot_win_rate_ci_low,boot_win_rate_ci_high,p_fdr_bh,significant_fdr05
trss_cv_tuned_seed0 vs MNE,trss_cv_tuned_seed0,mne_interpolate_bads_spline,mae,lower,300,100,1.0758614742053319e-05,1.4443114170161939e-05,8.3149113851941e-06,1.1330450438219826e-05,0.12004450205614675,0.12416738185584568,0.7,1.3646812132883005e-06,3.6844994281086172e-06,1.0584470544384178e-20,0.6214839424141749,0.43645957547967584,0.0693520385344717,0.18726985753785003,0.07404960541899071,0.16862985030680575,6.978749068850636e-07,1.6531496875859137e-06,0.6165833333333334,0.7733333333333333,1.7640784240640298e-20,True
trss_cv_tuned_seed0 vs MNE,trss_cv_tuned_seed0,mne_interpolate_bads_spline,rmse,lower,300,100,1.368217474179698e-05,1.8276450330386556e-05,1.0668561423109195e-05,1.4742810649373977e-05,0.13423660858394704,0.13196203840484474,0.6933333333333334,1.849260452235074e-06,4.5942755885895715e-06,2.4399776888828585e-21,0.6317607973421927,0.44625491488029123,0.06461171991832843,0.19662242763555682,0.087174718848587,0.17729653107952068,9.462668768354928e-07,2.318166219317011e-06,0.61,0.77,4.879955377765717e-21,True
trss_cv_tuned_seed0 vs MNE,trss_cv_tuned_seed0,mne_interpolate_bads_spline,nrmse,lower,300,100,0.5892111664378605,0.8041377699800044,0.6238337871298425,0.7248160304525755,0.13423660858394704,0.13196203840484594,0.6933333333333334,0.06347081245725911,0.2149266035421438,1.5800015793845959e-21,0.6347729789590255,0.5489663497933627,0.06620071950081706,0.2046953559462989,0.08590092542458595,0.1780343226794978,0.02866975884762034,0.18200392735269477,0.61,0.77,3.3857176701098482e-21,True
trss_cv_tuned_seed0 vs MNE,trss_cv_tuned_seed0,mne_interpolate_bads_spline,dtw,lower,300,100,0.000703825536250209,0.0009150464556071584,0.00056018521677935,0.00067320927634905,0.08782258231839005,0.10147654479657944,0.68,5.566557975665001e-05,0.00021122091935694935,4.65780876421767e-17,0.5592026578073089,0.38351919835774956,0.05067466627601967,0.13513642919595883,0.056987538220261945,0.147708455792178,2.5037683994599998e-05,7.948556357019996e-05,0.6033333333333334,0.76,6.654012520310957e-17,True
trss_cv_tuned_seed0 vs MNE,trss_cv_tuned_seed0,mne_interpolate_bads_spline,snr,higher,300,100,9.003958822611251,8.41740402569409,9.514782194611401,9.465564582980676,0.01841982534450302,31.023406538900854,0.5566666666666666,0.2076291218430284,0.5865547969171628,0.001101688759162284,0.2173643410852713,0.21294794221901278,-0.011397536317378621,0.05463407410910401,1.387610849908354,139.11902490358696,-0.13719785853452038,0.6103258242732075,0.47333333333333333,0.6366666666666667,0.001139678026719604,True
trss_cv_tuned_seed0 vs MNE,trss_cv_tuned_seed0,mne_interpolate_bads_spline,lsd,lower,300,100,0.8627447028253535,0.7885624538821648,0.7806915286720504,0.7507594432805448,-0.09573223609760785,-0.10571491254666084,0.26,-0.05190887783577264,-0.0741822489431887,3.841480851070148e-17,-0.5607087486157254,-0.4705854502038048,-0.13385103914061122,-0.06515577500864468,-0.145196567549635,-0.0672887217995145,-0.08877912067097261,-0.03525717518027832,0.18333333333333332,0.34,5.762221276605222e-17,True
trss_cv_tuned_seed0 vs MNE,trss_cv_tuned_seed0,mne_interpolate_bads_spline,coherence_mean,higher,300,100,0.8073379826189118,0.7850163098985412,0.8819295584571938,0.8874917310360311,0.0014971257682740153,0.06543517203167146,0.5533333333333333,0.0014463163501840515,0.022321672720370424,0.0005361407231377616,0.23060908084163897,0.3517284530098757,-0.0003464017337001792,0.004337051485859107,0.03470598020796772,0.10254779330395054,-0.00033149866208481704,0.0035785291959935374,0.47333333333333333,0.6366666666666667,0.0005744364890761731,True
trss_cv_tuned_seed0 vs MNE,trss_cv_tuned_seed0,mne_interpolate_bads_spline,corr_mean,higher,300,100,0.8600206547349118,0.8076747770874269,0.9388617130817454,0.927297364672469,0.005790173357538314,0.222606934137881,0.6366666666666667,0.005370286945586389,0.0523458776474849,3.830180864590284e-15,0.5235880398671097,0.5441819935563609,0.0015238286504617577,0.01594046082400252,0.08333358143418035,0.5150251245022149,0.0014740160006188052,0.014760672082609783,0.5533333333333333,0.7166666666666667,5.2229739062594786e-15,True
trss_cv_tuned_seed0 vs MNE,trss_cv_tuned_seed0,mne_interpolate_bads_spline,r2,higher,300,100,0.5313890777667755,0.010114773147451597,0.6108149191605348,0.4746417219989711,0.15184667188566486,4.406716984335922,0.6933333333333334,0.08129089672809409,0.5212743046193238,4.493420473111163e-22,0.6434108527131783,0.41324845757552836,0.03162339147345979,0.7526872896833811,1.7054970503450748,9.581888432412299,0.02783527808630654,0.2318666251250958,0.6133333333333333,0.77,1.036943186102576e-21,True
trss_cv_tuned_seed0 vs MNE,trss_cv_tuned_seed0,mne_interpolate_bads_spline,runtime_s,lower,300,100,0.12462463882668087,0.017785981056658736,0.08450429149979749,0.009014414999910451,-8.258563271229882,-10.333568756998307,0.013333333333333334,-0.0676047535007456,-0.1068386577700221,8.625151444818343e-50,-0.9882170542635659,-0.7182690141198033,-8.760625261242822,-7.312538823639614,-13.76982772817159,-8.271367063082884,-0.0831777540006442,-0.06198937985013807,0.0,0.03333333333333333,8.973893289408064e-49,True
