method,missing_mode,missing_value,metric,n,win_rate,median_improvement,mne_median,trss_median
trss_cv_tuned_seed0,edge,0.1,nrmse,15,0.6666666666666666,0.27964928719526494,1.036760457301825,0.7468311344251327
trss_cv_tuned_seed0,edge,0.1,lsd,15,0.06666666666666667,-0.04280273939176646,0.8197320135467816,0.8548187892937125
trss_cv_tuned_seed0,edge,0.1,runtime_s,15,0.0,-8.318684931126846,0.0082883979994221,0.0762419599996064
trss_cv_tuned_seed0,edge,0.3,mae,15,0.5333333333333333,0.1815691570547652,1.4246258136968448e-05,1.4356480978134522e-05
trss_cv_tuned_seed0,edge,0.3,nrmse,15,0.5333333333333333,0.13546584326305952,0.7049557202872767,0.7097656265926919
trss_cv_tuned_seed0,edge,0.3,lsd,15,0.3333333333333333,-0.06406859519338681,0.821252636775892,0.9276871948073628
trss_cv_tuned_seed0,edge,0.3,runtime_s,15,0.0,-9.082410733243929,0.0090253420003136,0.0933755639998707
trss_cv_tuned_seed0,edge,0.4,mae,15,0.8,0.3175125500792529,2.106256112233391e-05,1.3230418269224022e-05
trss_cv_tuned_seed0,edge,0.4,nrmse,15,0.8,0.35790194388249486,1.2754720399585575,0.7869918006484764
trss_cv_tuned_seed0,edge,0.4,lsd,15,0.8,0.10521305381477568,0.8899802005725412,0.8053989052907139
trss_cv_tuned_seed0,edge,0.4,runtime_s,15,0.0,-9.29756354617578,0.0088325879987678,0.0746990930001629
trss_cv_tuned_seed0,edge,1.0,mae,15,0.7333333333333333,0.1982968582492671,6.923492009251502e-06,7.88929974762414e-06
trss_cv_tuned_seed0,edge,1.0,nrmse,15,0.7333333333333333,0.2341126202459113,0.9587393785902318,0.757393252202697
trss_cv_tuned_seed0,edge,1.0,lsd,15,0.4,-0.060345577179655885,0.920851173467974,1.0302810413101755
trss_cv_tuned_seed0,edge,1.0,runtime_s,15,0.06666666666666667,-7.6803555627584705,0.009965857001589,0.0764458949997788
trss_cv_tuned_seed0,edge,2.0,mae,15,0.7333333333333333,0.19252205732613872,1.1330450438219826e-05,5.821655465013682e-06
trss_cv_tuned_seed0,edge,2.0,nrmse,15,0.7333333333333333,0.2309608109856532,0.9487292956787338,0.418462220598549
trss_cv_tuned_seed0,edge,2.0,lsd,15,0.26666666666666666,-0.13569147236291237,0.7872607153021576,0.8063177488149635
trss_cv_tuned_seed0,edge,2.0,runtime_s,15,0.0,-4.895945689350323,0.0100823310003761,0.0749442590004036
trss_cv_tuned_seed0,high_variance,0.1,mae,15,0.8,0.16111741191687048,1.2038607886818096e-05,1.0252146543070596e-05
trss_cv_tuned_seed0,high_variance,0.1,nrmse,15,0.8,0.06189803400301996,0.5378880386437105,0.5131452507683923
trss_cv_tuned_seed0,high_variance,0.1,lsd,15,0.26666666666666666,-0.0974083725419025,0.6517385241893529,0.6702033046936611
trss_cv_tuned_seed0,high_variance,0.1,runtime_s,15,0.0,-6.661766401063026,0.0101884240011713,0.0788246659994911
trss_cv_tuned_seed0,high_variance,0.3,mae,15,0.7333333333333333,0.09528518236157434,1.0281981879905864e-05,1.0311459069461185e-05
trss_cv_tuned_seed0,high_variance,0.3,nrmse,15,0.6666666666666666,0.10644878221303491,0.6879266856354241,0.6082621360907551
trss_cv_tuned_seed0,high_variance,0.3,lsd,15,0.0,-0.13385103914061122,0.5567539683059607,0.5952037591831173
trss_cv_tuned_seed0,high_variance,0.3,runtime_s,15,0.0,-7.579691997679571,0.009406488001332,0.0775497769991488
trss_cv_tuned_seed0,high_variance,0.4,mae,15,0.8,0.1006021618048133,1.12256628572505e-05,1.048440583196532e-05
trss_cv_tuned_seed0,high_variance,0.4,nrmse,15,0.8,0.09356921314879953,0.6596043153359669,0.6322687912630621
trss_cv_tuned_seed0,high_variance,0.4,lsd,15,0.13333333333333333,-0.08206140733809568,0.5360537511292178,0.5718681862849931
trss_cv_tuned_seed0,high_variance,0.4,runtime_s,15,0.0,-8.868561303549216,0.0090568079995136,0.0943008920003194
trss_cv_tuned_seed0,high_variance,1.0,mae,15,0.6666666666666666,0.09748452297192865,1.2522222765864093e-05,1.117508770230132e-05
trss_cv_tuned_seed0,high_variance,1.0,nrmse,15,0.5333333333333333,0.057994736765178204,0.397967293829952,0.4698776392145844
trss_cv_tuned_seed0,high_variance,1.0,lsd,15,0.2,-0.14517614642055368,0.920851173467974,1.060434204066135
trss_cv_tuned_seed0,high_variance,1.0,runtime_s,15,0.0,-9.283792455437098,0.0083699419992626,0.1004186430000118
trss_cv_tuned_seed0,high_variance,2.0,mae,15,0.6,0.10834602153472846,1.246720211346268e-05,8.342101105542166e-06
trss_cv_tuned_seed0,high_variance,2.0,nrmse,15,0.6,0.06346674008593278,0.6476758428060411,0.6472265880656943
trss_cv_tuned_seed0,high_variance,2.0,lsd,15,0.13333333333333333,-0.16979190434242256,0.647456491103731,0.699863547613417
