method_a,method_b,metric,n_pairs,a_mean,b_mean,mean_diff_a_minus_b,median_diff_a_minus_b,ci95_diff_low,ci95_diff_high,mean_relative_improvement_of_a,median_relative_improvement_of_a,a_win_rate,p_value,test
trss_cv_tuned_seed0,mne_interpolate_bads_spline,nrmse,300,0.5892111664378605,0.8041377699800044,-0.2149266035421438,-0.06347081245725911,-0.2591208304409651,-0.17088525602454646,0.13196203840484594,0.13423660858394704,0.6933333333333334,1.5800015793845959e-21,wilcoxon
trss_cv_tuned_seed0,mne_interpolate_bads_spline,dtw,300,0.000703825536250209,0.0009150464556071584,-0.00021122091935694935,-5.566557975665001e-05,-0.00027567216045768905,-0.00015111353822632066,0.10147654479657944,0.08782258231839005,0.68,4.65780876421767e-17,wilcoxon
trss_cv_tuned_seed0,mne_interpolate_bads_spline,snr,300,9.003958822611251,8.41740402569409,0.5865547969171628,0.2076291218430284,0.28214251919959576,0.8988535346272388,31.023406538900854,0.01841982534450302,0.5566666666666666,0.001101688759162284,wilcoxon
trss_cv_tuned_seed0,mne_interpolate_bads_spline,lsd,300,0.8627447028253535,0.7885624538821648,0.07418224894318869,0.05190887783577264,0.0570651362832249,0.09196038956972134,-0.10571491254666084,-0.09573223609760785,0.26,3.841480851070148e-17,wilcoxon
trss_cv_tuned_seed0,mne_interpolate_bads_spline,coherence_mean,300,0.8073379826189118,0.7850163098985412,0.022321672720370424,0.0014463163501840515,0.01538319002178971,0.029409148842535884,0.06543517203167146,0.0014971257682740153,0.5533333333333333,0.0005361407231377616,wilcoxon
trss_cv_tuned_seed0,mne_interpolate_bads_spline,corr_mean,300,0.8600206547349118,0.8076747770874269,0.0523458776474849,0.005370286945586389,0.041705775342857465,0.06320816339199034,0.222606934137881,0.005790173357538314,0.6366666666666667,3.830180864590284e-15,wilcoxon
trss_cv_tuned_seed0,mne_interpolate_bads_spline,r2,300,0.5313890777667755,0.010114773147451597,0.5212743046193238,0.08129089672809409,0.3845402444837888,0.6669595729292483,4.406716984335922,0.15184667188566486,0.6933333333333334,4.493420473111163e-22,wilcoxon
trss_cv_tuned_seed0,mne_interpolate_bads_spline,runtime_s,300,0.12462463882668087,0.017785981056658736,0.1068386577700221,0.0676047535007456,0.09108590514315514,0.12455177405966633,-10.333568756998307,-8.258563271229882,0.013333333333333334,8.625151444818343e-50,wilcoxon
trss_oracle_grid,mne_interpolate_bads_spline,mae,300,1.0407657490191969e-05,1.4443114170161939e-05,-4.035456679969967e-06,-1.4886903312038567e-06,-5.038543990997532e-06,-3.149738933224605e-06,0.14883116217285203,0.1337613009648369,0.7333333333333333,8.389276804327632e-27,wilcoxon
trss_oracle_grid,mne_interpolate_bads_spline,rmse,300,1.3263471699111016e-05,1.8276450330386553e-05,-5.012978631275534e-06,-2.0539134190256435e-06,-6.253040126241718e-06,-3.932656016895121e-06,0.1555663033841911,0.1526470439066184,0.72,3.5295853407924045e-27,wilcoxon
trss_oracle_grid,mne_interpolate_bads_spline,nrmse,300,0.5696511211036824,0.8041377699800044,-0.23448664887632195,-0.09094856377945026,-0.2792505444191436,-0.19325535297715535,0.15556630338419233,0.1526470439066186,0.72,1.7549757808010094e-26,wilcoxon
trss_oracle_grid,mne_interpolate_bads_spline,dtw,300,0.0006792437594691544,0.0009150464556071584,-0.00023580269613800406,-6.570388836609999e-05,-0.0003023230512696633,-0.00017826767321836242,0.12901664199243595,0.10681113000276309,0.72,5.70871651801158e-24,wilcoxon
trss_oracle_grid,mne_interpolate_bads_spline,snr,300,9.121473888353623,8.417404025694086,0.7040698626595366,0.2449673138891475,0.3947751151937401,1.0216673177047355,31.116596523021073,0.02534389203420937,0.5733333333333334,6.089439921128481e-05,wilcoxon
trss_oracle_grid,mne_interpolate_bads_spline,lsd,300,0.8521534432816096,0.7885624538821648,0.06359098939944463,0.044344376130269036,0.04602508230216667,0.08074633068876466,-0.08746202376586863,-0.08195249530042231,0.29,3.975996321232615e-14,wilcoxon
trss_oracle_grid,mne_interpolate_bads_spline,coherence_mean,300,0.8079960643231897,0.7850163098985414,0.02297975442464855,0.0015930775523286256,0.016050389785700423,0.030163421040709425,0.06635074701533733,0.0016872693712942132,0.5666666666666667,0.0001777991042703084,wilcoxon
trss_oracle_grid,mne_interpolate_bads_spline,corr_mean,300,0.8646258685879229,0.8076747770874269,0.05695109150049621,0.006242293660213338,0.04626644326127642,0.06791883175771327,0.20056324222504857,0.006538862050659164,0.6633333333333333,1.0410880876666425e-18,wilcoxon
trss_oracle_grid,mne_interpolate_bads_spline,r2,300,0.5711222240921839,0.010114773147451597,0.5610074509447323,0.09536063741393047,0.42967729790499876,0.7072690131645344,4.867207878096579,0.21988724699656909,0.72,4.322177082646019e-27,wilcoxon
trss_oracle_grid,mne_interpolate_bads_spline,runtime_s,300,0.13317476883331134,0.017785981056658733,0.11538878777665255,0.06674821449905725,0.09701583135961574,0.13766720024139442,-11.25901976638604,-8.02615538102831,0.016666666666666666,8.973893289408063e-50,wilcoxon
