dataset,method,graph,missing_ratio,mae,rmse,dtw,snr,block,source_file
synthetic_alpha,spline_surface,knn__k3,0.4,0.4659992072144946,0.8721669325779527,,-5.0571724105034335,synthetic_alpha__0.4_73,it05_all_datasets_raw.csv
synthetic_alpha,gsp,knn__k3,0.4,0.305193128904593,0.5512695538817246,,-1.4519131363994324,synthetic_alpha__0.4_74,it05_all_datasets_raw.csv
synthetic_alpha,tikhonov,knn__k3,0.4,0.342826285391105,0.5414406284405778,,10.020887634757678,synthetic_alpha__0.4_75,it05_all_datasets_raw.csv
synthetic_alpha,bgsrp,knn__k3,0.4,0.5335357807966542,0.7055491019720639,,2.019448683189202,synthetic_alpha__0.4_76,it05_all_datasets_raw.csv
synthetic_alpha,gsmooth,knn__k3,0.4,0.2717086742533543,0.4783276012671265,,-0.2549510674061556,synthetic_alpha__0.4_77,it05_all_datasets_raw.csv
synthetic_alpha,puy,knn__k3,0.4,0.4555899193255536,0.6077526234599872,,3.843208803889438,synthetic_alpha__0.4_78,it05_all_datasets_raw.csv
synthetic_alpha,sobolev,knn__k3,0.4,0.5711876303738378,0.6455455658280025,,0.9208481351045672,synthetic_alpha__0.4_79,it05_all_datasets_raw.csv
synthetic_alpha,graph_time_tikhonov,knn__k3,0.4,0.4402963029175754,0.5568907037319342,,3.898540479280596,synthetic_alpha__0.4_80,it05_all_datasets_raw.csv
synthetic_alpha,trss,knn__k3,0.4,0.2983087215276618,0.5331948157665538,,-1.1761411283404424,synthetic_alpha__0.4_81,it05_all_datasets_raw.csv
synthetic_alpha,tv,knn__k3,0.4,0.2607223385117705,0.4596234181018697,,0.1496546087323502,synthetic_alpha__0.4_82,it05_all_datasets_raw.csv
synthetic_alpha,temporal_laplacian,knn__k3,0.4,0.4769401236256179,0.5603203765184188,,2.8079033794207686,synthetic_alpha__0.4_83,it05_all_datasets_raw.csv
synthetic_alpha,heat_diffusion_temporal,knn__k3,0.4,0.2792083775917881,0.4838524086249922,,-0.3927064735823903,synthetic_alpha__0.4_84,it05_all_datasets_raw.csv
synthetic_alpha,wavelet_temporal,knn__k3,0.4,0.2759863264048898,0.4605806262818872,,15.272154873503183,synthetic_alpha__0.4_86,it05_all_datasets_raw.csv
synthetic_alpha,directed_tv,knn__k3,0.4,0.2703740954421968,0.483496598363246,,-0.1574238940429885,synthetic_alpha__0.4_87,it05_all_datasets_raw.csv
synthetic_alpha,linear,knn__k5,0.1,0.0634270409346891,0.244209901265437,,-0.0777226940065491,synthetic_alpha__0.1_88,it05_all_datasets_raw.csv
synthetic_alpha,nearest,knn__k5,0.1,0.0642770299551405,0.2523142036825606,,-0.2761905701468088,synthetic_alpha__0.1_89,it05_all_datasets_raw.csv
synthetic_alpha,mean,knn__k5,0.1,0.0589478976695532,0.2085273501920232,,0.9476396031020364,synthetic_alpha__0.1_90,it05_all_datasets_raw.csv
synthetic_alpha,idw,knn__k5,0.1,0.0625841043918718,0.2198587343426586,,0.5658803059686505,synthetic_alpha__0.1_91,it05_all_datasets_raw.csv
synthetic_alpha,spherical_spline,knn__k5,0.1,0.1109596651986618,0.4071882526204173,,-4.5856010357981205,synthetic_alpha__0.1_92,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_tps,knn__k5,0.1,0.088427217921455,0.3314997645390123,,-2.570316269427729,synthetic_alpha__0.1_93,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_mq,knn__k5,0.1,0.0895496117788872,0.3334451921211877,,-2.776695396371658,synthetic_alpha__0.1_94,it05_all_datasets_raw.csv
synthetic_alpha,spline_surface,knn__k5,0.1,0.363683314967057,1.7420712241529503,,-12.999275934669356,synthetic_alpha__0.1_95,it05_all_datasets_raw.csv
synthetic_alpha,gsp,knn__k5,0.1,0.0715064179401626,0.2521462775960512,,-0.6091904257784735,synthetic_alpha__0.1_96,it05_all_datasets_raw.csv
synthetic_alpha,tikhonov,knn__k5,0.1,0.1864676557354431,0.2839099632989358,,12.118202208687842,synthetic_alpha__0.1_97,it05_all_datasets_raw.csv
synthetic_alpha,bgsrp,knn__k5,0.1,0.5156428427286696,0.6057398705606892,,1.6481531845687414,synthetic_alpha__0.1_98,it05_all_datasets_raw.csv
