dataset,graph,method,missing_ratio,n,mean,median,std
bci_competition_iv_2a_proxy,gaussian__sigma1,temporal_laplacian,0.1,10,3.792676564428215e-07,3.6956802855385265e-07,5.403571993144259e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,temporal_laplacian,0.2,10,4.3093708954091963e-07,4.424313411678126e-07,4.426837814276409e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,temporal_laplacian,0.3,10,5.047142525953828e-07,5.29950246688932e-07,6.411894875930297e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,temporal_laplacian,0.4,10,5.522518566826586e-07,5.521632239295074e-07,3.720627812701203e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,tikhonov,0.1,10,5.129179351536291e-07,5.047981942881925e-07,6.510962009325697e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,tikhonov,0.2,10,6.260704231161632e-07,5.986463961205932e-07,8.452329477506675e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,tikhonov,0.3,10,7.452299170256679e-07,7.167237401133942e-07,9.304833099153876e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,tikhonov,0.4,10,8.08899275115609e-07,8.019435273052416e-07,7.415257824096395e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,trss,0.1,10,3.658485918687599e-07,3.6095702095238544e-07,3.8058960638077824e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,trss,0.2,10,4.180709465331646e-07,4.1530393556394935e-07,5.2628344148158924e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,trss,0.3,10,5.074345661625633e-07,5.114696932885608e-07,5.028235783094755e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,trss,0.4,10,5.404791035207778e-07,5.32077611329433e-07,8.378161152819182e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,tv,0.1,10,3.6455547757730365e-07,3.5469409506150046e-07,2.575618405578256e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,tv,0.2,10,4.219041155065596e-07,4.244985956480979e-07,5.3263334977644414e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,tv,0.3,10,4.906117596035603e-07,4.88314915978271e-07,3.8664197320932626e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,tv,0.4,10,5.635688565297314e-07,5.386782817194517e-07,7.968450864621379e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,wavelet_temporal,0.1,10,4.015423786406957e-07,4.0360243030622927e-07,4.8822325555544796e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,wavelet_temporal,0.2,10,4.847082883415563e-07,4.862351656712654e-07,5.763400643775526e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,wavelet_temporal,0.3,10,5.077395401900561e-07,5.05387293346755e-07,5.273602136187808e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,wavelet_temporal,0.4,10,5.861472204386222e-07,5.877682600794558e-07,8.220065931862731e-08
bci_competition_iv_2a_proxy,kalofolias,bgsrp,0.1,1,5.009265064939986e-07,5.009265064939986e-07,
bci_competition_iv_2a_proxy,kalofolias,bgsrp,0.2,1,5.122106531983223e-07,5.122106531983223e-07,
bci_competition_iv_2a_proxy,kalofolias,bgsrp,0.3,1,7.274362419445365e-07,7.274362419445365e-07,
