dataset,method,family,graph,missing_ratio,mae,rmse,snr,block,source_file
physionet_eegmmidb,idw,instant,kalofolias,0.3,7.94532006363959e-06,1.863621677186281e-05,4.782446677701943,physionet_eegmmidb__0.3_47,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,spherical_spline,instant,kalofolias,0.3,1.1145208586473617e-05,2.656315576769614e-05,0.3278241792897323,physionet_eegmmidb__0.3_48,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,rbfi_tps,instant,kalofolias,0.3,7.534321685668469e-06,1.894116689837181e-05,5.55708994799563,physionet_eegmmidb__0.3_49,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,rbfi_mq,instant,kalofolias,0.3,9.96523786550064e-06,2.3404405969129856e-05,1.2976137267279997,physionet_eegmmidb__0.3_50,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,spline_surface,instant,kalofolias,0.3,1.2711459275855673e-05,3.229924597317951e-05,-1.2889315293365833,physionet_eegmmidb__0.3_51,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,gsp,instant,kalofolias,0.3,9.76874003370088e-06,2.317779678938868e-05,2.570492488916557,physionet_eegmmidb__0.3_52,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,tikhonov,instant,kalofolias,0.3,1.5879768577676283e-05,2.6697916035797904e-05,10.153962105098849,physionet_eegmmidb__0.3_53,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,bgsrp,instant,kalofolias,0.3,1.9942576405897208e-05,2.803763226469528e-05,4.796129138487022,physionet_eegmmidb__0.3_54,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,gsmooth,instant,kalofolias,0.3,1.0401583045356584e-05,2.467930565525233e-05,3.825329643897175,physionet_eegmmidb__0.3_55,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,puy,instant,kalofolias,0.3,2.854352334441108e-05,4.286664972918663e-05,4.055360234886031,physionet_eegmmidb__0.3_56,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,sobolev,instant,kalofolias,0.3,3.223097852169725e-05,4.95764741323608e-05,2.976653323288213,physionet_eegmmidb__0.3_57,it46_physionet_multisubj_kalofolias_raw.csv
