graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
knn__k3,synthetic_beta,0.3,heat_diffusion_temporal,0.1932191058820341,19,0.0452539915378807,0.1724551505235639,0.2036010835612692,mean,0.1935378623354086,19,0.0449876881506218,0.0003187564533744,9.92434764244364e-08,1.865777356779404e-05,True,0.9002770083102493
knn__k3,synthetic_beta,0.4,heat_diffusion_temporal,0.2597036275094909,19,0.0613420149246413,0.2315579807674198,0.2737764508805265,directed_tv,0.2652966192376711,19,0.0628558530117117,0.0055929917281802,1.188770214042271e-07,2.211112598118624e-05,True,0.8947368421052632
knng__k4_sigma1,synthetic_beta,0.1,heat_diffusion_temporal,0.0656624933649288,16,0.0,0.0656624933649288,0.0656624933649288,gsmooth,0.0657664208059119,16,0.0,0.0001039274409831,2.9225329082331762e-08,6.13731910728967e-06,True,1.0
knng__k4_sigma1,synthetic_beta,0.3,heat_diffusion_temporal,0.2017008894585394,16,0.0,0.2017008894585394,0.2017008894585394,gsmooth,0.202072796360852,16,0.0,0.0003719069023125,2.9225329082331762e-08,6.078868449125006e-06,True,1.0
knng__k4_sigma1,synthetic_beta,0.4,heat_diffusion_temporal,0.2734631308807948,16,0.0,0.2734631308807948,0.2734631308807948,directed_tv,0.274985253964378,16,0.0,0.0015221230835831,2.9225329082331762e-08,6.049643120042674e-06,True,1.0
nnk__k4,synthetic_beta,0.3,heat_diffusion_temporal,0.2026823115272412,18,0.0,0.2026823115272412,0.2026823115272412,mean,0.2038587458276235,18,0.0,0.0011764343003823,3.683348423440707e-09,8.80320273202329e-07,True,1.0
nnk__k4,synthetic_beta,0.4,heat_diffusion_temporal,0.27358484175485,18,5.712050337475532e-17,0.27358484175485,0.27358484175485,idw,0.2811073987258139,18,0.0,0.0075225569709638,3.683348423440707e-09,8.766369247788883e-07,True,1.0
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_broad,0.2,heat_diffusion_temporal,0.1195257423433964,15,4.309462532715294e-17,0.1195257423433964,0.1195257423433964,trss,0.1202580140655969,15,5.745950043620392e-17,0.0007322717222004,8.265685662204697e-08,1.5870116471433015e-05,True,1.0
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_broad,0.3,heat_diffusion_temporal,0.1970722472652671,16,0.0,0.1970722472652671,0.1970722472652671,trss,0.1998397930882504,16,0.0,0.0027675458229833,2.9225329082331762e-08,6.224995094536665e-06,True,1.0
gaussian__sigma1,synthetic_broad,0.4,heat_diffusion_temporal,0.2351888525821222,20,0.0,0.2351888525821222,0.2351888525821222,trss,0.2367994287530917,20,5.695323946259567e-17,0.0016105761709695,4.682682358742056e-10,1.325199107524002e-07,True,1.0
knn__k3,synthetic_broad,0.2,heat_diffusion_temporal,0.1088129694094758,21,0.0346327705343959,0.0923560257854172,0.1197785135886225,directed_tv,0.110304432180147,21,0.0349245928170952,0.0014914627706712,4.5880955023240564e-07,8.258571904183302e-05,True,0.8231292517006803
knn__k3,synthetic_broad,0.3,heat_diffusion_temporal,0.1816922094863734,22,0.0569261944401943,0.1552968304225665,0.1992799428272828,spherical_spline,0.1834760030344251,21,0.0582529212096478,0.0017837935480516,2.871708348301187e-07,5.255226277391172e-05,True,0.8268398268398268
knn__k3,synthetic_broad,0.4,heat_diffusion_temporal,0.2153189884910597,22,0.0675902619617673,0.1839803372853259,0.236201462404332,spherical_spline,0.2166971408982546,21,0.0688561922222711,0.0013781524071949,2.871708348301187e-07,5.226509193908161e-05,True,0.8268398268398268
knn__k5,synthetic_broad,0.4,heat_diffusion_temporal,0.2351614839899412,19,0.0,0.2351614839899412,0.2351614839899412,tv,0.2369315571338331,19,5.703228632848239e-17,0.0017700731438919,1.3120632979510227e-09,3.503209005529231e-07,True,1.0
knng__k4_sigma1,synthetic_broad,0.2,heat_diffusion_temporal,0.119889627939235,17,0.0,0.119889627939235,0.119889627939235,directed_tv,0.1213906011416762,17,0.0,0.0015009732024412,1.036256682624278e-08,2.341940102730868e-06,True,1.0
knng__k4_sigma1,synthetic_broad,0.3,heat_diffusion_temporal,0.1988953163113326,18,0.0,0.1988953163113326,0.1988953163113326,directed_tv,0.2012612458769456,18,0.0,0.002365929565613,3.683348423440707e-09,9.06103712166414e-07,True,1.0
knng__k4_sigma1,synthetic_broad,0.4,heat_diffusion_temporal,0.2359594281987354,18,0.0,0.2359594281987354,0.2359594281987354,tv,0.2360595235990406,18,0.0,0.0001000954003052,3.683348423440707e-09,9.024203637429733e-07,True,1.0
nnk__k4,synthetic_broad,0.1,heat_diffusion_temporal,0.0802106122308312,19,1.4258071582120596e-17,0.0802106122308312,0.0802106122308312,trss,0.0812340504905933,19,0.0,0.001023438259762,1.3120632979510227e-09,3.490088372549721e-07,True,1.0
nnk__k4,synthetic_broad,0.2,heat_diffusion_temporal,0.1195730413694921,19,1.4258071582120596e-17,0.1195730413694921,0.1195730413694921,trss,0.1240127950584369,19,0.0,0.0044397536889447,1.3120632979510227e-09,3.476967739570211e-07,True,1.0
nnk__k4,synthetic_broad,0.3,heat_diffusion_temporal,0.1976438020164451,20,0.0,0.1976438020164451,0.1976438020164451,mean,0.2019202316948071,20,2.847661973129784e-17,0.004276429678362,4.682682358742056e-10,1.3111510604477758e-07,True,1.0
nnk__k4,synthetic_broad,0.4,heat_diffusion_temporal,0.2365847789332304,20,0.0,0.2365847789332304,0.2365847789332304,mean,0.2384982122315032,20,2.847661973129784e-17,0.0019134332982728,4.682682358742056e-10,1.3064683780890337e-07,True,1.0
