dataset,method,graph,missing_ratio,mae,rmse,dtw,snr,block,source_file,family
synthetic_beta,tikhonov,knn__k5,0.1,0.1812462959557368,0.2789846440966504,,12.369775673405176,synthetic_beta__0.1_53,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,bgsrp,knn__k5,0.1,0.4602151160657293,0.5523088274353789,,2.509196918759112,synthetic_beta__0.1_54,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,gsmooth,knn__k5,0.1,0.0659174476597526,0.2329093630693869,,-0.1579520320789162,synthetic_beta__0.1_55,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,puy,knn__k5,0.1,0.4422446246729722,0.5154338622525956,,3.06174463784377,synthetic_beta__0.1_56,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,sobolev,knn__k5,0.1,0.585285004842994,0.6567600487938218,,0.7323793802654885,synthetic_beta__0.1_57,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,graph_time_tikhonov,knn__k5,0.1,0.4030506867674397,0.4675698467140263,,3.993549341588994,synthetic_beta__0.1_58,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,trss,knn__k5,0.1,0.0693455695395485,0.2470280294783255,,-0.669047386435727,synthetic_beta__0.1_59,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,tv,knn__k5,0.1,0.0659078503233029,0.2323878162751057,,-0.1384207249780144,synthetic_beta__0.1_60,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,temporal_laplacian,knn__k5,0.1,0.4490311431399806,0.5087792970868917,,3.121018232786432,synthetic_beta__0.1_61,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,heat_diffusion_temporal,knn__k5,0.1,0.0658871198702636,0.2306531124554743,,-0.0725011607506078,synthetic_beta__0.1_62,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,wavelet_temporal,knn__k5,0.1,0.0995159804091389,0.2561941720721099,,14.051847110382246,synthetic_beta__0.1_64,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,directed_tv,knn__k5,0.1,0.0678424396031152,0.2379180318266191,,-0.3215658835787036,synthetic_beta__0.1_65,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,linear,knn__k5,0.2,0.1623711442886609,0.4199936236966927,,-2.1649653627217624,synthetic_beta__0.2_66,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,nearest,knn__k5,0.2,0.1735483953645094,0.4632412597566516,,-3.027617132778527,synthetic_beta__0.2_67,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,mean,knn__k5,0.2,0.1343883515386373,0.3289381591555257,,-0.0439228421786003,synthetic_beta__0.2_68,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,idw,knn__k5,0.2,0.134560782294406,0.3321385736544861,,-0.0989511101807839,synthetic_beta__0.2_69,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,spherical_spline,knn__k5,0.2,0.2204097595538203,0.5706900080788788,,-4.824230470989945,synthetic_beta__0.2_70,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,rbfi_tps,knn__k5,0.2,0.1797950279543489,0.4648551468454519,,-3.0600384621869696,synthetic_beta__0.2_71,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,rbfi_mq,knn__k5,0.2,0.1864798868102987,0.4801330310013145,,-3.342799755685587,synthetic_beta__0.2_72,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,spline_surface,knn__k5,0.2,0.2057853567915946,0.542070122300742,,-4.373594051004659,synthetic_beta__0.2_73,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,gsp,knn__k5,0.2,0.144204697108478,0.3620635308698223,,-0.7826310068958693,synthetic_beta__0.2_74,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,tikhonov,knn__k5,0.2,0.2371588691719225,0.3754916862159653,,11.092896118793876,synthetic_beta__0.2_75,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,bgsrp,knn__k5,0.2,0.4725156391493663,0.5718278535609503,,2.444796436698975,synthetic_beta__0.2_76,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,gsmooth,knn__k5,0.2,0.1367974966691755,0.3380494124786833,,-0.236331149287451,synthetic_beta__0.2_77,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,puy,knn__k5,0.2,0.4596439734892281,0.5446654663642833,,2.8381240985016367,synthetic_beta__0.2_78,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,sobolev,knn__k5,0.2,0.5907677166734602,0.6618827713366874,,0.6765059663738839,synthetic_beta__0.2_79,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,graph_time_tikhonov,knn__k5,0.2,0.4279159964416576,0.5029207623551589,,3.639794025479564,synthetic_beta__0.2_80,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,trss,knn__k5,0.2,0.1435425768684167,0.3602232153039198,,-0.7392723747021823,synthetic_beta__0.2_81,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,tv,knn__k5,0.2,0.1348429231073897,0.3313994435602221,,-0.1080083757703168,synthetic_beta__0.2_82,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,temporal_laplacian,knn__k5,0.2,0.4724403369385413,0.5380323089884628,,2.7467388585026304,synthetic_beta__0.2_83,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,heat_diffusion_temporal,knn__k5,0.2,0.1373113918407242,0.3402610787413914,,-0.2750859607349269,synthetic_beta__0.2_84,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,wavelet_temporal,knn__k5,0.2,0.1627535538289044,0.3414783895940939,,12.793637154502164,synthetic_beta__0.2_86,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,directed_tv,knn__k5,0.2,0.1376881206476768,0.3368553781429669,,-0.2641521538456142,synthetic_beta__0.2_87,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,linear,knng__k4_sigma1,0.1,0.0784418055359528,0.2949265284406414,,-2.19182207727983,synthetic_beta__0.1_88,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,nearest,knng__k4_sigma1,0.1,0.0859116155366704,0.3279639310396917,,-3.1300250864740704,synthetic_beta__0.1_89,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,mean,knng__k4_sigma1,0.1,0.0658619827367564,0.2310340626127287,,-0.0856866621374472,synthetic_beta__0.1_90,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,idw,knng__k4_sigma1,0.1,0.0660994520829936,0.2333514445938537,,-0.1749711825681111,synthetic_beta__0.1_91,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,spherical_spline,knng__k4_sigma1,0.1,0.0900113475768736,0.3618140795188991,,-3.465150351702601,synthetic_beta__0.1_92,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,rbfi_tps,knng__k4_sigma1,0.1,0.0766133823278453,0.2886232082408441,,-1.9506312145781888,synthetic_beta__0.1_93,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,rbfi_mq,knng__k4_sigma1,0.1,0.0781198412781059,0.2984608959155374,,-2.173611837317409,synthetic_beta__0.1_94,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,spline_surface,knng__k4_sigma1,0.1,0.4583868309598552,1.7384305001759384,,-17.116119806923578,synthetic_beta__0.1_95,it36_3syn_beta_low_missing_raw.csv,
