combo,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|synthetic_beta|0.4,15,0.4484621070391538,0.0,0.4484621070391538,0.8508667821350362,,-5.000120678320091
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|synthetic_broad|0.1,16,0.0853382750496039,0.0,0.0853382750496039,0.2732681774073414,,-0.5580111755525607
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|synthetic_broad|0.2,16,0.1251951461619266,0.0,0.1251951461619266,0.327231605642745,,-0.5000161120511715
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|synthetic_broad|0.3,17,0.2019202316948072,0.0,0.2019202316948072,0.4161354209221696,,-0.4065004593732264
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|synthetic_broad|0.4,17,0.2384982122315032,0.0,0.2384982122315032,0.4473196298650667,,-0.2628429625981405
spherical_spline|vknng|mne_sample|0.1,20,4.215185161283374e-06,2.0755464954522106e-06,4.6170323860929e-06,1.7512625598183918e-05,3.444360113907564e-05,2.191300387903058
spherical_spline|vknng|mne_sample|0.2,20,6.899948357379073e-06,1.5828811034776561e-06,7.572962744642866e-06,2.0321886131227265e-05,5.196114521399252e-05,4.2118209734840395
spherical_spline|vknng|mne_sample|0.3,20,1.2404035426013253e-05,7.233836987924177e-06,8.059466359026282e-06,2.8692948229306383e-05,0.0001000966372916549,3.7585258241690225
spherical_spline|vknng|mne_sample|0.4,20,1.4957183193068312e-05,5.622394824954655e-06,1.3813394886163848e-05,3.169227595234654e-05,0.00012127980546752215,3.9570957954320023
spherical_spline|vknng|physionet_eegmmidb|0.4,4,7.895151165011218e-06,8.968449084243316e-08,7.908232854526938e-06,1.873088845273378e-05,0.000116811565682775,10.796397079000892
spherical_spline|vknng|synthetic|0.1,20,0.05110011138068078,0.004523682637945099,0.0482787587066522,0.1988221910485301,0.39154174858403623,0.7508126131301245
spherical_spline|vknng|synthetic|0.2,20,0.10358528923471992,0.004566115955683539,0.1050430986566703,0.28558061411230073,0.7780697662173253,0.6228910945787609
spherical_spline|vknng|synthetic|0.3,20,0.18231334371593677,0.003478451851095299,0.1816939824997896,0.38183815608433286,1.326223554955324,0.5488607277867651
spherical_spline|vknng|synthetic|0.4,20,0.23314047752577896,0.006215776102799555,0.2307824215776189,0.43089697689643625,1.6794633831530565,0.6036137145595675
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|physionet_eegmmidb|0.1,5,6.11537885763636e-06,0.0,6.11537885763636e-06,2.729661923954426e-05,,-5.242404421197682
