method,graph,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
heat_diffusion_temporal,vknng,4,1.2905631162988725e-05,1.4240026255503692e-07,1.2942187512533997e-05,2.7094876473093425e-05,0.000156508358150625,5.815578550437389
heat_diffusion_temporal,vknng__alpha1_k4_k_max8_k_min2,226,0.14860994392796537,0.08580380954327545,0.1376546271401038,0.3203721080147556,,0.07169336162267403
idw,aew,484,0.07851060189239896,0.09585838139489715,1.0275722372182058e-05,0.18282514223538995,0.4417026701057858,2.5041955165975747
idw,aew__k4_sigma_corr0_5_sigma_dist1,210,0.14941871312702887,0.08990775778370085,0.134560782294406,0.327395948466715,,0.046693412051990034
idw,gaussian,364,0.0782949311789364,0.09584766634090877,1.0275722372182058e-05,0.18232291354136784,0.44048945691318875,2.5309071820306897
idw,gaussian__sigma1,364,0.10101539244555545,0.10153861329582442,0.0746127903909552,0.22164550773555755,,1.9594730816816557
idw,kalofolias,815,0.09258359269909293,0.0993593039557002,0.0625841043918718,0.20937776912131975,0.4417026701057858,1.8436926660735622
idw,knn,344,0.08596436909931883,0.08739025035176727,0.061392255772809295,0.20644896528867332,0.46546266025415167,2.732124532522708
idw,knn__k3,664,0.05761820795525117,0.09142172106529536,1.014219042738647e-05,0.12648831037215494,,2.9116287690457097
idw,knn__k5,246,0.1523607505713476,0.08826001113147247,0.134560782294406,0.3338456686476852,,-0.011200489219213863
idw,knng,484,0.07851060189239896,0.09585838139489715,1.0275722372182058e-05,0.18282514223538995,0.4417026701057858,2.5041955165975747
idw,knng__k4_sigma1,226,0.15076752438875782,0.08894939205290886,0.134560782294406,0.33059862440287807,,0.013271344138435575
idw,nnk,244,0.07786712533747789,0.09582492267450858,1.0140499539105164e-05,0.18132668941060268,0.4380829192688569,2.583892616742278
idw,nnk__k4,251,0.14922690474128522,0.08968850080208692,0.134560782294406,0.32730737822260925,,0.03795394884339686
idw,vknng,484,0.07851060189239896,0.09585838139489715,1.0275722372182058e-05,0.18282514223538995,0.4417026701057858,2.5041955165975747
idw,vknng__alpha1_k4_k_max8_k_min2,226,0.15076752438875782,0.08894939205290885,0.134560782294406,0.33059862440287807,,0.013271344138435575
linear,aew,164,0.08961236129672717,0.11157901296218815,1.2347396975398495e-05,0.2128646195036238,0.35267846913334705,1.373182116418589
linear,aew__k4_sigma_corr0_5_sigma_dist1,210,0.17291776561675637,0.10366901669194319,0.1771186437064046,0.39636538787555115,,-1.346946444276884
linear,gaussian,124,0.0888897554102455,0.11152896486510906,1.2347396975398495e-05,0.21114812871992403,0.34983530443672156,1.4344196054228502
linear,gaussian__sigma1,364,0.11676517282744196,0.11720823442437364,0.08634910843950966,0.2678886431933716,,1.047988429247146
linear,kalofolias,495,0.11713861519667634,0.11634417695863661,0.0784418055359528,0.27114730276824767,0.35267846913334705,0.4067707890691417
linear,knn,120,0.09692911268660133,0.10331577463374521,0.06552019510307105,0.23611625497086455,0.39120010272574424,1.7854639127362202
