combination,best_method,best_mean_mae,best_n
# Placeholder CSV created to satisfy documentation links. Replace with real data as needed.
graph,dataset,missing_ratio,best_method,best_mean_mae,best_median_mae,best_count,n_methods,second_mean_mae,delta_to_second,second_method
gaussian__sigma1,synthetic_broad,0.4,heat_diffusion_temporal,0.2351888525821222,0.2351888525821222,20,21,0.2367994287530917,0.0016105761709695188,trss
gaussian__sigma1.0,bci_iv2a_real_s1,0.1,trss,8.470284137498295e-07,8.361629523265335e-07,10,7,1.2539220383748943e-06,4.068936246250648e-07,tv
gaussian__sigma1.0,bci_iv2a_real_s1,0.2,trss,1.6728002615073711e-06,1.6785277441974103e-06,12,7,2.4062906946979544e-06,7.334904331905832e-07,tv
gaussian__sigma1.0,bci_iv2a_real_s1,0.3,trss,3.274526927618505e-06,3.302289933061732e-06,10,7,4.407736980301024e-06,1.1332100526825189e-06,tv
gaussian__sigma1.0,bci_iv2a_real_s1,0.4,trss,4.353418019024322e-06,4.353418019024322e-06,2,4,5.674021650903271e-06,1.320603631878949e-06,tv
gaussian__sigma1.0,bci_iv2a_real_s2,0.1,trss,2.466918322712468e-07,2.464583527450304e-07,4,7,3.282419840494792e-07,8.155015177823238e-08,nearest
gaussian__sigma1.0,bci_iv2a_real_s2,0.2,trss,5.118240982306748e-07,5.175902934232512e-07,6,7,6.64965311686198e-07,1.5314121345552316e-07,nearest
gaussian__sigma1.0,bci_iv2a_real_s2,0.3,trss,9.477351243685204e-07,9.520038891376372e-07,4,7,1.1933231353759766e-06,2.4558801100745617e-07,nearest
gaussian__sigma1.0,bci_iv2a_real_s2,0.4,trss,1.2623297914016727e-06,1.2623297914016727e-06,2,4,1.590122222057882e-06,3.2779243065620926e-07,tv
gaussian__sigma1.0,iris_graph_signal,0.1,trss,0.1022827179258913,0.099323001476418,10,7,0.1225651548613663,0.02028243693547499,tv
gaussian__sigma1.0,iris_graph_signal,0.2,trss,0.1021656848863886,0.0986422451923117,17,7,0.1231158041730728,0.020950119286684207,tv
gaussian__sigma1.0,iris_graph_signal,0.3,trss,0.1020075157303968,0.0986422451923117,15,7,0.1227793474117179,0.0207718316813211,tv
gaussian__sigma1.0,iris_graph_signal,0.4,trss,0.2284023158456198,0.2284023158456198,2,4,0.2668380612503577,0.0384357454047379,tv
gaussian__sigma1.0,iv100hz_mat,0.1,tv,12.428301691034044,12.32883953483799,20,7,14.233287807422922,1.8049861163888785,trss
gaussian__sigma1.0,iv100hz_mat,0.2,tv,26.357635048970543,25.50188666752884,27,7,29.82432648434558,3.4666914353750364,trss
gaussian__sigma1.0,iv100hz_mat,0.3,tv,48.52686047875172,49.14629843081435,25,7,55.70228427026492,7.175423791513197,trss
gaussian__sigma1.0,iv100hz_mat,0.4,tv,61.66867708902964,61.66867708902964,2,4,74.06976739298713,12.401090303957488,trss
gaussian__sigma1.0,movielens_graph_signal,0.1,mean,0.0168450453990104,0.0171890804340683,10,7,0.0168459995558179,9.541568074984685e-07,tv
gaussian__sigma1.0,movielens_graph_signal,0.2,tv,0.0356459553623688,0.0362427723904025,17,7,0.0356465555556462,6.00193277397465e-07,mean
gaussian__sigma1.0,movielens_graph_signal,0.3,tv,0.0635911223745435,0.0631524937874196,15,7,0.0635915740823501,4.517078066035296e-07,mean
gaussian__sigma1.0,movielens_graph_signal,0.4,tv,0.0819995620762223,0.0819995620762223,2,4,0.0820029788501979,3.416773975598031e-06,mean
gaussian__sigma1.0,physionet_eegmmidb_real,0.1,trss,1.4870661806080062e-06,1.499271281270872e-06,10,7,2.0671787461449537e-06,5.801125655369474e-07,tv
gaussian__sigma1.0,physionet_eegmmidb_real,0.2,trss,3.023328659352397e-06,2.9867810277041205e-06,17,7,4.091066590543885e-06,1.067737931191488e-06,tv
gaussian__sigma1.0,physionet_eegmmidb_real,0.3,trss,5.57609139826547e-06,5.56993061916035e-06,15,7,7.196645540078024e-06,1.6205541418125542e-06,tv
gaussian__sigma1.0,physionet_eegmmidb_real,0.4,trss,7.496747792637002e-06,7.496747792637002e-06,2,4,9.348741517670426e-06,1.8519937250334241e-06,tv
kalofolias,bci_competition_iv_2a_proxy,0.1,heat_diffusion_temporal,3.069541893373624e-07,3.069541893373624e-07,1,20,3.254412053207441e-07,1.848701598338172e-08,trss
kalofolias,bci_competition_iv_2a_proxy,0.2,trss,3.414203342271202e-07,3.414203342271202e-07,1,20,3.525299377087686e-07,1.1109603481648438e-08,tv
kalofolias,bci_competition_iv_2a_proxy,0.3,heat_diffusion_temporal,4.125249381220975e-07,4.125249381220975e-07,1,20,4.179892701376381e-07,5.464332015540608e-09,trss
kalofolias,bci_competition_iv_2a_proxy,0.4,heat_diffusion_temporal,5.21382835026876e-07,5.21382835026876e-07,1,20,5.344575612254668e-07,1.3074726198590727e-08,directed_tv
kalofolias,bci_competition_proxy,0.1,trss,7.148158431126843e-06,7.049356661942655e-06,9,7,7.5259372606496305e-06,3.777788295227872e-07,tv
