dataset,method,family,graph,missing_ratio,mae,rmse,snr,block,source_file,dtw
synthetic_alpha,bgsrp,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.5120021516358698,0.6123514561443033,1.6608796370216214,synthetic_alpha__0.1_76,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,gsmooth,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0650702035470667,0.2277500496323065,0.2055878170975195,synthetic_alpha__0.1_77,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,puy,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.4245360679779752,0.5111469074308561,3.487049433405202,synthetic_alpha__0.1_78,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,sobolev,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.5630112632910492,0.6353576088396873,0.9939430840124296,synthetic_alpha__0.1_79,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,graph_time_tikhonov,tv_time,vknng__alpha1_k4_k_max8_k_min2,0.1,0.3758331223424976,0.4477418301137207,4.639684891485813,synthetic_alpha__0.1_80,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,trss,tv_time,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0804109066292224,0.2825656829501331,-1.6130149161042877,synthetic_alpha__0.1_81,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,tv,tv_time,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0627751791831073,0.2206960886925589,0.5025382793483639,synthetic_alpha__0.1_82,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,temporal_laplacian,tv_time,vknng__alpha1_k4_k_max8_k_min2,0.1,0.4169305003429971,0.4769389767720609,3.7075205430138976,synthetic_alpha__0.1_83,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,heat_diffusion_temporal,tv_time,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0737117197891285,0.2556836343923016,-0.8175150727254555,synthetic_alpha__0.1_84,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,wavelet_temporal,tv_time,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0834202661296958,0.2389830549407074,19.884294424192944,synthetic_alpha__0.1_86,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,directed_tv,tv_time,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0938631872785796,0.3273010156851029,-3.00304970804768,synthetic_alpha__0.1_87,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,linear,instant,gaussian__sigma1,0.1,0.0634270409346891,0.244209901265437,-0.0777226940065491,synthetic_alpha__0.1_88,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,nearest,instant,gaussian__sigma1,0.1,0.0642770299551405,0.2523142036825606,-0.2761905701468088,synthetic_alpha__0.1_89,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,mean,instant,gaussian__sigma1,0.1,0.0589478976695532,0.2085273501920232,0.9476396031020364,synthetic_alpha__0.1_90,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,idw,instant,gaussian__sigma1,0.1,0.0625841043918718,0.2198587343426586,0.5658803059686505,synthetic_alpha__0.1_91,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,spherical_spline,instant,gaussian__sigma1,0.1,0.1109596651986618,0.4071882526204173,-4.5856010357981205,synthetic_alpha__0.1_92,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,rbfi_tps,instant,gaussian__sigma1,0.1,0.088427217921455,0.3314997645390123,-2.570316269427729,synthetic_alpha__0.1_93,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,rbfi_mq,instant,gaussian__sigma1,0.1,0.0895496117788872,0.3334451921211877,-2.776695396371658,synthetic_alpha__0.1_94,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,spline_surface,instant,gaussian__sigma1,0.1,0.363683314967057,1.7420712241529503,-12.999275934669356,synthetic_alpha__0.1_95,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,gsp,instant,gaussian__sigma1,0.1,0.0636986913952336,0.2230212068259345,0.3902006156703141,synthetic_alpha__0.1_96,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,tikhonov,instant,gaussian__sigma1,0.1,0.211575277080545,0.2835140849517397,10.377137133992797,synthetic_alpha__0.1_97,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,bgsrp,instant,gaussian__sigma1,0.1,0.5182354001311841,0.6075089533207011,1.6640230282600812,synthetic_alpha__0.1_98,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,gsmooth,instant,gaussian__sigma1,0.1,0.0620598698801545,0.2180616968271942,0.5770844848235678,synthetic_alpha__0.1_99,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,puy,instant,gaussian__sigma1,0.1,0.5168422695188354,0.5894025937374171,1.7178768469816303,synthetic_alpha__0.1_100,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,sobolev,instant,gaussian__sigma1,0.1,0.5915342820998939,0.6659212380727485,0.5676122307915455,synthetic_alpha__0.1_101,it56_3syn_mr10_only_raw.csv,
