dataset,graph,missing_ratio,best_method,best_mean,best_n,second_method,second_mean,second_n
iris_graph_signal,knn__k3,0.4,trss,0.25359656692305027,2,mean,0.26808987308644694,2
iris_graph_signal,knn__k5,0.2,trss,0.10392380828980838,5,tv,0.1271634074249073,5
iris_graph_signal,knn__k5,0.3,trss,0.10392380828980838,5,tv,0.1271634074249073,5
iv100hz_mat,gaussian__sigma0.6,0.2,trss,31.57263134467823,4,heat_diffusion_temporal,250.6716116440322,9
iv100hz_mat,gaussian__sigma0.6,0.3,trss,59.33187837108954,4,heat_diffusion_temporal,470.82548305301435,9
iv100hz_mat,gaussian__sigma1.0,0.1,tv,12.424347676461208,26,trss,14.238067907153777,26
iv100hz_mat,gaussian__sigma1.0,0.2,tv,26.431632892477676,33,trss,29.84000193591836,37
iv100hz_mat,gaussian__sigma1.0,0.3,tv,48.619187561532236,31,trss,55.7121163775429,35
iv100hz_mat,gaussian__sigma1.0,0.4,tv,61.66867708902964,2,trss,74.06976739298713,2
iv100hz_mat,kalofolias,0.1,trss,7.8981751652832495,6,tv,20.161840206576027,6
iv100hz_mat,kalofolias,0.2,trss,16.43089830368827,6,tv,40.996037088928425,6
iv100hz_mat,kalofolias,0.3,trss,30.047053787691755,6,tv,72.16801822464463,6
iv100hz_mat,knn__k3,0.05,trss,7.8298469169437865,6,heat_diffusion_temporal,90.73666709688955,6
iv100hz_mat,knn__k3,0.1,sobolev_temporal,14.27841512353053,8,trss,16.14468760791772,43
iv100hz_mat,knn__k3,0.2,sobolev_temporal,30.718338469004806,8,trss,37.62153445114148,188
iv100hz_mat,knn__k3,0.3,trss,65.77701590140566,52,mean,73.23798594090414,36
iv100hz_mat,knn__k3,0.4,trss,88.23123593518834,8,mean,94.15993055555555,2
iv100hz_mat,knn__k5,0.2,tv,32.659586256248815,5,trss,33.16786255656345,9
iv100hz_mat,knn__k5,0.3,trss,62.627696875242414,9,tv,63.54614312338688,5
iv100hz_mat,knn__k7,0.2,trss,31.40323141934188,4,heat_diffusion_temporal,184.35648044557828,4
iv100hz_mat,knn__k7,0.3,trss,59.285949509582146,4,heat_diffusion_temporal,355.67326365781554,4
mne_sample_proxy,gaussian,0.1,trss,1.7451637600493643e-06,28,tv,1.779886941181069e-06,28
mne_sample_proxy,gaussian,0.2,trss,1.8747704141420932e-06,39,tv,1.8822265961595061e-06,39
mne_sample_proxy,gaussian,0.3,trss,1.9486626941584575e-06,42,tv,1.9703205689522133e-06,42
mne_sample_proxy,gaussian,0.4,trss,1.968055443742645e-06,13,tv,1.986745083743733e-06,13
mne_sample_proxy,gaussian,1ch,temporal_laplacian,1.2949874538692544e-06,1,mean,1.5631517733911469e-06,1
mne_sample_proxy,gaussian,2ch,temporal_laplacian,1.6990408765620144e-06,1,mean,1.8635010527247388e-06,1
mne_sample_proxy,gaussian__sigma1,0.1,temporal_laplacian,1.2986988495039565e-07,1,heat_diffusion_temporal,1.3135720400568118e-07,1
mne_sample_proxy,gaussian__sigma1,0.2,tv,1.4943580615213736e-07,1,heat_diffusion_temporal,1.5139328725254146e-07,1
mne_sample_proxy,gaussian__sigma1,0.3,temporal_laplacian,1.707007133913716e-07,1,tv,1.814932506663923e-07,1
mne_sample_proxy,kalofolias,0.1,heat_diffusion_temporal,1.3490296083348374e-07,1,directed_tv,1.5846363404799784e-07,1
mne_sample_proxy,kalofolias,0.2,heat_diffusion_temporal,1.6253508897859757e-07,1,wavelet_temporal,1.7662207274275104e-07,1
mne_sample_proxy,kalofolias,0.3,heat_diffusion_temporal,1.8506380365366077e-07,1,wavelet_temporal,1.8692446876421654e-07,1
mne_sample_proxy,kalofolias,0.4,trss,1.9843975195284118e-06,3,tv,1.9946306430306603e-06,3
mne_sample_proxy,knn__k3,0.1,directed_tv,1.2268993918150853e-07,4,heat_diffusion_temporal,1.3354704124313293e-07,4
mne_sample_proxy,knn__k3,0.2,directed_tv,1.4797358100319365e-07,4,heat_diffusion_temporal,1.5271498351782318e-07,4
mne_sample_proxy,knn__k3,0.3,heat_diffusion_temporal,1.77646977063599e-07,6,directed_tv,1.8655322009146566e-07,6
mne_sample_proxy,knn__k3,0.4,directed_tv,2.007882049976141e-07,5,heat_diffusion_temporal,2.1327586630008985e-07,5
mne_sample_proxy,knn__k3,1ch,directed_tv,1.3001683754144488e-06,1,temporal_laplacian,1.513150724867719e-06,8
mne_sample_proxy,knn__k3,2ch,directed_tv,1.6893701463700772e-06,1,temporal_laplacian,1.855730291789775e-06,8
mne_sample_proxy,knn__k3,3ch,trss,2.0231208057250222e-06,3,graph_time_tikhonov,2.133727844536225e-06,3
mne_sample_proxy,knng__k3,1ch,temporal_laplacian,1.2467224063781151e-06,1,tikhonov,1.441680815705395e-06,1
mne_sample_proxy,knng__k3,2ch,temporal_laplacian,1.7011071182081136e-06,1,tikhonov,1.7503176392107883e-06,1
movielens_graph_signal,gaussian__sigma1.0,0.1,mean,0.01684504539901046,10,tv,0.01684599955581794,10
movielens_graph_signal,gaussian__sigma1.0,0.2,tv,0.03564595536236882,17,mean,0.03564655555564624,17
movielens_graph_signal,gaussian__sigma1.0,0.3,tv,0.06359112237454356,15,mean,0.06359157408235012,15
movielens_graph_signal,gaussian__sigma1.0,0.4,tv,0.08199956207622235,2,mean,0.08200297885019794,2
movielens_graph_signal,knn__k3,0.1,mean,0.016900848778609256,26,tv,0.016947566510614378,26
movielens_graph_signal,knn__k3,0.2,mean,0.035578365382878126,44,tv,0.03602110774036622,90
movielens_graph_signal,knn__k3,0.3,tv,0.06352919817372846,21,mean,0.0635550912653418,21
movielens_graph_signal,knn__k3,0.4,tv,0.08185350339506126,2,mean,0.08200297885019794,2
movielens_graph_signal,knn__k5,0.2,tv,0.03602984643653936,5,mean,0.03604004388180217,5
movielens_graph_signal,knn__k5,0.3,tv,0.06327348796594426,5,mean,0.06328091265108982,5
physionet_eegmmidb,aew,0.4,trss,4.997833767062484e-06,4,rbfi_tps,5.691620032471166e-06,4
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,0.1,trss,1.6890409224632534e-06,6,gsp,1.6908097752324019e-06,5
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,0.2,linear,3.3157670454545457e-06,6,trss,3.976409835055152e-06,6
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,0.3,trss,8.252801322438139e-06,6,gsp,8.281169585246762e-06,5
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,0.4,trss,1.227409502691185e-05,7,gsmooth,1.2361070948037847e-05,7
physionet_eegmmidb,gaussian,0.1,trss,2.2458561731100268e-05,3,graph_time_tikhonov,2.2905674778355447e-05,3
physionet_eegmmidb,gaussian,0.2,tv,2.5573793505554166e-05,7,trss,2.5574661647316935e-05,7
physionet_eegmmidb,gaussian,0.3,trss,2.694903009383997e-05,7,tv,2.7125872116692325e-05,7
physionet_eegmmidb,gaussian,0.4,rbfi_tps,5.691620032471166e-06,4,rbfi_mq,6.000225881908492e-06,4
physionet_eegmmidb,gaussian__sigma1,0.1,rbfi_tps,1.8771499973196783e-06,24,idw,1.921646400513696e-06,25
physionet_eegmmidb,gaussian__sigma1,0.2,linear,3.2929761878826204e-06,25,gsmooth,4.419891963339915e-06,25
physionet_eegmmidb,gaussian__sigma1,0.3,nearest,8.304769397849743e-06,26,idw,8.675407335309672e-06,26
physionet_eegmmidb,gaussian__sigma1,0.4,trss,1.2432058486787655e-05,28,gsmooth,1.2533810335284998e-05,28
physionet_eegmmidb,kalofolias,0.1,rbfi_tps,1.8720967567637407e-06,24,idw,1.97259484353495e-06,25
physionet_eegmmidb,kalofolias,0.2,linear,3.3354570458084896e-06,25,gsp,4.529024084106736e-06,24
physionet_eegmmidb,kalofolias,0.3,idw,8.746354015622063e-06,26,rbfi_tps,8.795103445016241e-06,25
physionet_eegmmidb,kalofolias,0.4,gsp,1.1918365045793027e-05,30,gsmooth,1.2529205264407784e-05,31
physionet_eegmmidb,knn,0.4,trss,5.055852148187937e-06,8,rbfi_tps,5.691620032471166e-06,8
physionet_eegmmidb,knn__k3,0.1,gsp,1.6656211353933758e-06,77,gsmooth,1.831002224597893e-06,78
