graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
knn__k3,physionet_eegmmidb,0.1,gsp,1.6656211353933758e-06,77,1.437394505982265e-07,1.6347472893518049e-06,1.6991661780076583e-06,gsmooth,1.831002224597893e-06,78,1.678231160458013e-07,1.653810892045172e-07,2.194517967113099e-08,4.762103988635425e-06,True,0.5208125208125208
knng__k4_sigma1,physionet_eegmmidb,0.1,gsp,1.6926996725292372e-06,5,2.3675290615532623e-22,1.6926996725292372e-06,1.6926996725292372e-06,trss,1.7007466196165537e-06,6,0.0,8.046947087316511e-09,0.0022366244452098,0.3198372956650115,False,1.0
vknng__alpha1_k4_k_max8_k_min2,physionet_eegmmidb,0.1,gsp,1.6927911931818182e-06,5,2.3675290615532623e-22,1.6927911931818182e-06,1.6927911931818182e-06,trss,1.7007869244698014e-06,6,2.319695260806319e-22,7.9957312879832e-09,0.0022366244452098,0.3176006712198016,False,1.0
kalofolias,bci_competition_iv_2a_proxy,0.1,heat_diffusion_temporal,3.069541893373624e-07,1,,,,trss,3.254412053207441e-07,1,,1.848701598338172e-08,,,False,
kalofolias,bci_competition_iv_2a_proxy,0.3,heat_diffusion_temporal,4.125249381220975e-07,1,,,,trss,4.179892701376381e-07,1,,5.464332015540608e-09,,,False,
kalofolias,bci_competition_iv_2a_proxy,0.4,heat_diffusion_temporal,5.21382835026876e-07,1,,,,directed_tv,5.344575612254668e-07,1,,1.3074726198590727e-08,,,False,
kalofolias,mne_sample_proxy,0.1,heat_diffusion_temporal,1.3490296083348374e-07,1,,,,directed_tv,1.5846363404799784e-07,1,,2.3560673214514095e-08,,,False,
kalofolias,mne_sample_proxy,0.2,heat_diffusion_temporal,1.6253508897859757e-07,1,,,,wavelet_temporal,1.7662207274275104e-07,1,,1.4086983764153477e-08,,,False,
kalofolias,mne_sample_proxy,0.3,heat_diffusion_temporal,1.8506380365366085e-07,1,,,,wavelet_temporal,1.8692446876421654e-07,1,,1.8606651105556878e-09,,,False,
knn__k3,mne_sample_proxy,0.3,heat_diffusion_temporal,1.77646977063599e-07,6,2.268350985580817e-08,1.6141610913246022e-07,1.944473552056609e-07,directed_tv,1.865532200914657e-07,6,2.9338490442548416e-08,8.906243027866664e-09,0.8181818181818182,1.0,False,0.1111111111111111
knn__k3,synthetic_alpha,0.3,heat_diffusion_temporal,0.194213962947145,20,0.044454078441162,0.1743334946928358,0.2041541970742996,directed_tv,0.1975352741787891,20,0.0454470040532057,0.0033213112316441,4.3423339118436015e-08,8.641244484568767e-06,True,0.9
gaussian__sigma1,synthetic_beta,0.2,heat_diffusion_temporal,0.1340096371196641,17,0.0,0.1340096371196641,0.1340096371196641,tv,0.1340780619424771,17,0.0,6.842482281299578e-05,1.036256682624278e-08,2.42484063734081e-06,True,1.0
knn__k3,synthetic_beta,0.1,heat_diffusion_temporal,0.0616728807963703,19,0.0138352700527492,0.0553248235314725,0.0648469094288191,gsmooth,0.0618585694882709,19,0.0133032317748681,0.0001856886919006,9.92434764244364e-08,1.875701704421848e-05,True,0.9002770083102493
knn__k3,synthetic_beta,0.3,heat_diffusion_temporal,0.1932191058820341,19,0.0452539915378807,0.1724551505235639,0.2036010835612692,mean,0.1935378623354086,19,0.0449876881506218,0.0003187564533744,9.92434764244364e-08,1.865777356779404e-05,True,0.9002770083102493
knn__k3,synthetic_beta,0.4,heat_diffusion_temporal,0.2597036275094909,19,0.0613420149246413,0.2315579807674198,0.2737764508805265,directed_tv,0.2652966192376711,19,0.0628558530117117,0.0055929917281802,1.188770214042271e-07,2.211112598118624e-05,True,0.8947368421052632
knng__k4_sigma1,synthetic_beta,0.1,heat_diffusion_temporal,0.0656624933649288,16,0.0,0.0656624933649288,0.0656624933649288,gsmooth,0.0657664208059119,16,0.0,0.0001039274409831,2.9225329082331762e-08,6.13731910728967e-06,True,1.0
knng__k4_sigma1,synthetic_beta,0.3,heat_diffusion_temporal,0.2017008894585394,16,0.0,0.2017008894585394,0.2017008894585394,gsmooth,0.202072796360852,16,0.0,0.0003719069023125,2.9225329082331762e-08,6.078868449125006e-06,True,1.0
knng__k4_sigma1,synthetic_beta,0.4,heat_diffusion_temporal,0.2734631308807948,16,0.0,0.2734631308807948,0.2734631308807948,directed_tv,0.274985253964378,16,0.0,0.0015221230835831,2.9225329082331762e-08,6.049643120042674e-06,True,1.0
nnk__k4,synthetic_beta,0.3,heat_diffusion_temporal,0.2026823115272412,18,0.0,0.2026823115272412,0.2026823115272412,mean,0.2038587458276235,18,0.0,0.0011764343003823,3.683348423440707e-09,8.80320273202329e-07,True,1.0
nnk__k4,synthetic_beta,0.4,heat_diffusion_temporal,0.27358484175485,18,5.712050337475532e-17,0.27358484175485,0.27358484175485,idw,0.2811073987258139,18,0.0,0.0075225569709638,3.683348423440707e-09,8.766369247788883e-07,True,1.0
