tag,gain_pct,tv_median,instant_median,p_value,decision
it150_096,-141.67774214338567,0.1372127043038391,0.0567750687700615,0.5251415251415251,NO-GO
it150_128,-142.4214261320918,0.10577731068527545,0.043633647558710006,0.9094239094239094,NO-GO
it150_146,-151.99852752401338,0.2241604342693963,0.0889530730484271,0.5740925740925741,NO-GO
it150_099,-155.45064336155056,0.17297250299265066,0.06771269029369209,0.9047236889207386,NO-GO
it150_090,-156.49400093283364,0.03407939322404205,0.013286623897674,0.505069707491635,NO-GO
it150_002,-157.60907957347482,0.11596011204305881,0.04501398484675105,0.5855215760908683,NO-GO
it150_054,-164.20118897460074,0.03510341831223815,0.013286623897674,0.5555871834185583,NO-GO
it150_101,-166.66371145027657,0.18032395316472294,0.0676222318305005,0.9808411012414221,NO-GO
it150_066,-173.2783348066577,0.03630946453958695,0.013286623897674,0.505069707491635,NO-GO
it150_006,-174.7513292198198,0.036505175767297546,0.013286623897674,0.5555871834185583,NO-GO
it150_086,-174.81991804768603,0.12370739626583904,0.04501398484675105,0.614967137635952,NO-GO
it150_085,-175.7144881743408,0.2809923069309866,0.10191423337656036,0.668997668997669,NO-GO
it150_078,-177.83367535383545,0.0369147155053487,0.013286623897674,0.505069707491635,NO-GO
it150_134,-180.54317653012248,0.24955177675121765,0.0889530730484271,0.5740925740925741,NO-GO
it150_111,-182.68240786510702,0.19141186335245142,0.06771269029369209,0.9047236889207386,NO-GO
it150_122,-183.39693427988908,0.2511742324617848,0.0886298340170891,0.6531927356707931,NO-GO
it150_147,-186.61654861556764,0.19718948919541607,0.06879905928247776,0.7545787545787546,NO-GO
it150_113,-194.14517488674733,0.19890753208014744,0.0676222318305005,0.9494308081055147,NO-GO
it150_074,-195.645353648395,0.1330817546914121,0.04501398484675105,0.6246457755345708,NO-GO
it150_149,-199.40561759533742,0.2016978211295948,0.06736607774747905,0.7545787545787546,NO-GO
it150_062,-199.57939199187456,0.13485262211521135,0.04501398484675105,0.6342465779288824,NO-GO
it150_042,-203.88728418020264,0.040376360521879304,0.013286623897674,0.505069707491635,NO-GO
it150_011,-206.22513605437857,0.2287525022562955,0.0747007594489808,0.7136197136197137,NO-GO
it150_018,-206.71017512700254,0.0407514274250221,0.013286623897674,0.505069707491635,NO-GO
it150_135,-219.26835646762245,0.219653625836352,0.06879905928247776,0.7545787545787546,NO-GO
it150_001,-220.51656707400383,0.3266520021783399,0.10191423337656036,0.668997668997669,NO-GO
it150_014,-221.93296800228092,0.14491485743324264,0.04501398484675105,0.6437640208971187,NO-GO
it150_071,-223.19073704925594,0.24142593504455276,0.0747007594489808,0.7136197136197137,NO-GO
it150_123,-224.39063472983034,0.219653625836352,0.06771269029369209,0.9047236889207386,NO-GO
it150_083,-230.63390038380743,0.2469860345824908,0.0747007594489808,0.7136197136197137,NO-GO
it150_137,-232.46720255109713,0.22397011415544074,0.06736607774747905,0.7545787545787546,NO-GO
it150_125,-232.46720255109713,0.22397011415544074,0.06736607774747905,0.7545787545787546,NO-GO
it150_030,-237.94296816281405,0.044901211168429295,0.013286623897674,0.505069707491635,NO-GO
it150_061,-240.24367066715664,0.34675672857270146,0.10191423337656036,0.668997668997669,NO-GO
it150_047,-250.97622731467504,0.26218190728944346,0.0747007594489808,0.5251415251415251,NO-GO
it150_023,-252.222075433734,0.26311256529596133,0.0747007594489808,0.7136197136197137,NO-GO
it150_073,-252.82177796252276,0.35957561019605505,0.10191423337656036,0.668997668997669,NO-GO
it150_013,-258.7401186413596,0.3656072417275047,0.10191423337656036,0.668997668997669,NO-GO
it150_044,-272.4071810725534,0.08825565750684405,0.02369869916381925,0.9912596044846874,NO-GO
it150_008,-274.224350703217,0.0886863030709113,0.02369869916381925,0.9929102843823773,NO-GO
it150_068,-280.80051161299343,0.0902447676614479,0.02369869916381925,0.9923935124535694,NO-GO
it150_080,-283.6476189463755,0.09091949506325715,0.02369869916381925,0.9923935124535694,NO-GO
it150_087,-285.03028141896215,0.13109620374414951,0.03404828401055035,0.9047236889207386,NO-GO
it150_020,-286.1317334088818,0.09150819787661145,0.02369869916381925,0.9933958267199303,NO-GO
it150_032,-287.19546304208234,0.09176028796230004,0.02369869916381925,0.9912596044846874,NO-GO
it150_075,-289.8307717016077,0.13273068830948354,0.03404828401055035,0.9047236889207386,NO-GO
it150_049,-290.52818214008215,0.39800380294748205,0.10191423337656036,0.5740925740925741,NO-GO
it150_035,-293.10436266615847,0.2936519443386961,0.0747007594489808,0.5251415251415251,NO-GO
it150_100,-294.6426420120385,0.1116121202615528,0.028281819646379748,0.9003467077865417,NO-GO
it150_077,-301.93230403352044,0.14062012883748184,0.0349860231253655,0.9885401448384877,NO-GO
it150_148,-305.03298774079354,0.11811621630236581,0.0291621225622136,0.7545787545787546,NO-GO
it150_048,-306.85636307679215,0.23099297993221984,0.0567750687700615,0.7136197136197137,NO-GO
it150_046,-306.85636307679215,0.23099297993221984,0.0567750687700615,0.7136197136197137,NO-GO
it150_045,-306.85636307679215,0.23099297993221984,0.0567750687700615,0.7136197136197137,NO-GO
it150_012,-309.6642393570651,0.23258715362132307,0.0567750687700615,0.7136197136197137,NO-GO
it150_010,-309.6642393570651,0.23258715362132307,0.0567750687700615,0.7136197136197137,NO-GO
it150_009,-309.6642393570651,0.23258715362132307,0.0567750687700615,0.7136197136197137,NO-GO
it150_112,-312.18602348195134,0.11657370776874995,0.028281819646379748,0.9130500522671939,NO-GO
it150_069,-316.8675759108067,0.23667685290344884,0.0567750687700615,0.7136197136197137,NO-GO
it150_072,-316.8675759108067,0.23667685290344884,0.0567750687700615,0.7136197136197137,NO-GO
it150_070,-316.8675759108067,0.23667685290344884,0.0567750687700615,0.7136197136197137,NO-GO
it150_089,-325.3053854099452,0.1487974404929483,0.0349860231253655,0.9673129348441271,NO-GO
it150_124,-328.2450802401368,0.12488535516627866,0.0291621225622136,0.7545787545787546,NO-GO
it150_136,-328.2450802401368,0.12488535516627866,0.0291621225622136,0.7545787545787546,NO-GO
it150_082,-336.24875654913245,0.24768053153930814,0.0567750687700615,0.7136197136197137,NO-GO
it150_081,-336.24875654913245,0.24768053153930814,0.0567750687700615,0.7136197136197137,NO-GO
it150_084,-336.24875654913245,0.24768053153930814,0.0567750687700615,0.7136197136197137,NO-GO
it150_003,-337.5710585237634,0.14898543675414244,0.03404828401055035,0.9047236889207386,NO-GO
it150_050,-347.0201218743759,0.20122156992245965,0.04501398484675105,0.6531927356707931,NO-GO
it150_037,-347.3295499615941,0.4558924815101762,0.10191423337656036,0.5740925740925741,NO-GO
it150_025,-347.7362573765909,0.4563069742542558,0.10191423337656036,0.5740925740925741,NO-GO
it150_005,-350.11625274612453,0.15747777627678775,0.0349860231253655,0.9877550058386779,NO-GO
it150_059,-351.56522804387123,0.33732265475629386,0.0747007594489808,0.6227106227106227,NO-GO
it150_056,-353.5024944213819,0.10747419185333949,0.02369869916381925,0.7808895707605223,NO-GO
it150_024,-353.6505365269222,0.25756040408891306,0.0567750687700615,0.5251415251415251,NO-GO
it150_021,-353.6505365269222,0.25756040408891306,0.0567750687700615,0.5251415251415251,NO-GO
it150_022,-353.6505365269222,0.25756040408891306,0.0567750687700615,0.5251415251415251,NO-GO
it150_063,-373.47479421276495,0.16121004265193103,0.03404828401055035,0.9047236889207386,NO-GO
it150_034,-382.92262300650424,0.2741796513181276,0.0567750687700615,0.5251415251415251,NO-GO
it150_033,-382.92262300650424,0.2741796513181276,0.0567750687700615,0.5251415251415251,NO-GO
it150_036,-382.92262300650424,0.2741796513181276,0.0567750687700615,0.5251415251415251,NO-GO
it150_065,-384.47199192377246,0.1694974831303699,0.0349860231253655,0.984130733256998,NO-GO
it150_015,-396.47789214302367,0.16904220276645054,0.03404828401055035,0.9047236889207386,NO-GO
