id,count_paths,has_run_metadata,has_significance,figure_pdfs,figure_pngs
it28_nnk_3syn_run_metadata,1,1,0,0,0
it28_nnk_3syn_significance,1,0,1,0,0
it28_nnk_3syn_stats,1,0,0,0,0
it28_nnk_3syn_tables,2,0,1,0,0
it29_kalofolias_3syn_figures,6,0,0,6,0
it29_kalofolias_3syn_integration_log,1,0,0,0,0
it29_kalofolias_3syn_qa_report,1,0,0,0,0
it29_kalofolias_3syn_raw,1,0,0,0,0
it29_kalofolias_3syn_run_metadata,1,1,0,0,0
it29_kalofolias_3syn_significance,1,0,1,0,0
it29_kalofolias_3syn_stats,1,0,0,0,0
it29_kalofolias_3syn_tables,2,0,1,0,0
it30_knn_k5_3syn_figures,6,0,0,6,0
it30_knn_k5_3syn_integration_log,1,0,0,0,0
it30_knn_k5_3syn_qa_report,1,0,0,0,0
it30_knn_k5_3syn_raw,1,0,0,0,0
it30_knn_k5_3syn_run_metadata,1,1,0,0,0
it30_knn_k5_3syn_significance,1,0,1,0,0
it30_knn_k5_3syn_stats,1,0,0,0,0
it30_knn_k5_3syn_tables,2,0,1,0,0
it31_strong_tv_3syn_figures,6,0,0,6,0
it31_strong_tv_3syn_integration_log,1,0,0,0,0
it31_strong_tv_3syn_qa_report,1,0,0,0,0
it31_strong_tv_3syn_raw,1,0,0,0,0
it31_strong_tv_3syn_run_metadata,1,1,0,0,0
it31_strong_tv_3syn_significance,1,0,1,0,0
it31_strong_tv_3syn_stats,1,0,0,0,0
it31_strong_tv_3syn_tables,2,0,1,0,0
it32_3syn_mr20_only_figures,6,0,0,6,0
it32_3syn_mr20_only_integration_log,1,0,0,0,0
it32_3syn_mr20_only_qa_report,1,0,0,0,0
it32_3syn_mr20_only_raw,1,0,0,0,0
it32_3syn_mr20_only_run_metadata,1,1,0,0,0
it32_3syn_mr20_only_significance,1,0,1,0,0
it32_3syn_mr20_only_stats,1,0,0,0,0
it32_3syn_mr20_only_tables,2,0,1,0,0
it33_3syn_mr30_only_figures,6,0,0,6,0
it33_3syn_mr30_only_integration_log,1,0,0,0,0
it33_3syn_mr30_only_qa_report,1,0,0,0,0
it33_3syn_mr30_only_raw,1,0,0,0,0
it33_3syn_mr30_only_run_metadata,1,1,0,0,0
it33_3syn_mr30_only_significance,1,0,1,0,0
it33_3syn_mr30_only_stats,1,0,0,0,0
it33_3syn_mr30_only_tables,2,0,1,0,0
it34_physionet_kalofolias_gaussian_figures,6,0,0,6,0
