dataset,graph,method,missing_ratio,mae_mean,mae_ci_lo,mae_ci_hi,mae_n,rmse_mean,rmse_ci_lo,rmse_ci_hi,rmse_n,dtw_mean,dtw_ci_lo,dtw_ci_hi,dtw_n,snr_mean,snr_ci_lo,snr_ci_hi,snr_n
iv100hz_mat,knn__k3,mean,0.4,94.15993055555555,93.44041666666666,94.87944444444445,2,203.8125457166697,200.66680452307008,206.9582869102693,2,1051.9478574289892,1040.1186465844737,1063.7770682735047,2,7.668785430696239,7.615670195466591,7.721900665925887,2
iv100hz_mat,knn__k3,tikhonov,0.2,100.72636052594258,100.47919073358544,100.97353031829972,2,162.9098353523283,162.71955730706372,163.10011339759288,2,903.3455675049015,901.9312707730742,904.7598642367288,2,10.326837730456482,10.306719016775936,10.346956444137028,2
iv100hz_mat,knn__k3,tikhonov,0.4,145.93336046442218,145.47702338839008,146.38969754045428,2,233.90924310188993,233.4979995263458,234.32048667743405,2,1210.6697637101495,1153.9391459421934,1267.4003814781056,2,6.728641867442137,6.661077665961411,6.796206068922863,2
iv100hz_mat,knn__k3,trss,0.2,34.009982258516715,33.7930629483786,34.22690156865483,2,103.97792302452224,103.94221615261112,104.01362989643336,2,626.8999541228147,626.4129325819758,627.3869756636536,2,12.037473914323746,12.031214598074682,12.04373323057281,2
iv100hz_mat,knn__k3,trss,0.4,88.19302543176971,87.98703508699809,88.39901577654132,2,184.26555387812806,183.48720933408964,185.04389842216645,2,1035.6509635384496,991.049470938472,1080.2524561384273,2,7.459619961741453,7.4190730719540126,7.500166851528893,2
iv100hz_mat,knn__k3,tv,0.2,40.555681513438714,40.39220830305069,40.71915472382675,2,137.45084141540082,135.1305102356041,139.77117259519753,2,777.1330238859471,775.3517757039626,778.9142720679315,2,10.596330484154786,10.545852921522291,10.64680804678728,2
iv100hz_mat,knn__k3,tv,0.4,105.48639193042698,104.890519750235,106.08226411061896,2,231.97321326200972,223.59490086023183,240.3515256637876,2,1308.246721733744,1198.9622890708051,1417.5311543966827,2,5.640390082513654,5.608790162878257,5.671990002149051,2
movielens_graph_signal,gaussian__sigma1.0,mean,0.2,0.0344738369647379,0.0327051976094857,0.0362424763199901,2,0.35394833873328135,0.3147126797533227,0.39318399771324,2,1.6868324832076458,1.2586283601692485,2.115036606246043,2,-inf,,,2
movielens_graph_signal,gaussian__sigma1.0,mean,0.4,0.08200297885019794,0.0805828076340295,0.0834231500663664,2,0.6888017447914107,0.6852280604072702,0.6923754291755511,2,4.142703989389398,3.778735167451938,4.506672811326859,2,-inf,,,2
movielens_graph_signal,gaussian__sigma1.0,tikhonov,0.2,0.12061857445893985,0.1204256046568011,0.1208115442610786,2,0.5917218848097056,0.5740496134469554,0.6093941561724557,2,4.575666714613498,4.340383758279792,4.810949670947204,2,-inf,,,2
movielens_graph_signal,gaussian__sigma1.0,tikhonov,0.4,0.1373607216607568,0.1356331177558812,0.1390883255656324,2,0.7820657994677951,0.7793572091611155,0.7847743897744747,2,5.688073927914058,5.456921110449492,5.919226745378624,2,-inf,,,2
movielens_graph_signal,gaussian__sigma1.0,trss,0.2,0.043086899780879,0.0415086894349587,0.0446651101267993,2,0.37477437577183037,0.3385915273643591,0.4109572241793017,2,1.7687351280300811,1.3220350711802455,2.215435184879917,2,-inf,,,2
movielens_graph_signal,gaussian__sigma1.0,trss,0.4,0.0964244685350187,0.0943045528852277,0.0985443841848097,2,0.702337266319473,0.6970747894091743,0.7075997432297717,2,4.221806460029873,3.806377700305466,4.63723521975428,2,-inf,,,2
movielens_graph_signal,gaussian__sigma1.0,tv,0.2,0.03447308487041105,0.0327033973504194,0.0362427723904027,2,0.353946216244279,0.3147087605443626,0.3931836719441955,2,1.6865816025858735,1.258242212138861,2.1149209930328863,2,-inf,,,2
movielens_graph_signal,gaussian__sigma1.0,tv,0.4,0.08199956207622235,0.0805788911205851,0.0834202330318596,2,0.6887988576916422,0.6852243854854798,0.6923733298978046,2,4.142563406145822,3.778349237057229,4.506777575234414,2,-inf,,,2
movielens_graph_signal,knn__k3,mean,0.2,0.0344738369647379,0.0327051976094857,0.0362424763199901,2,0.35394833873328135,0.3147126797533227,0.39318399771324,2,1.6868324832076458,1.2586283601692485,2.115036606246043,2,-inf,,,2
movielens_graph_signal,knn__k3,mean,0.4,0.08200297885019794,0.0805828076340295,0.0834231500663664,2,0.6888017447914107,0.6852280604072702,0.6923754291755511,2,4.142703989389398,3.778735167451938,4.506672811326859,2,-inf,,,2
movielens_graph_signal,knn__k3,tikhonov,0.2,0.07421234152110359,0.0716817039877901,0.0767429790544171,2,0.46425816871082004,0.4292422742588186,0.4992740631628214,2,3.1700465051348887,2.8614412643139997,3.4786517459557778,2,-inf,,,2
movielens_graph_signal,knn__k3,tikhonov,0.4,0.1063258222525425,0.1024506196443511,0.1102010248607339,2,0.7690192768752462,0.7458857354252851,0.7921528183252072,2,5.0136757402743015,4.294668996659241,5.732682483889363,2,-inf,,,2
movielens_graph_signal,knn__k3,trss,0.2,0.04383817532096415,0.040001247732651,0.0476751029092773,2,0.4261802864959507,0.3865651476794803,0.4657954253124211,2,2.120080647929182,1.7356871669231602,2.5044741289352044,2,-inf,,,2
movielens_graph_signal,knn__k3,trss,0.4,0.09830779575628446,0.0935600703105245,0.1030555212020444,2,0.7630025212750547,0.7445712279609653,0.7814338145891442,2,4.7510246196692485,3.984019418521509,5.518029820816988,2,-inf,,,2
movielens_graph_signal,knn__k3,tv,0.2,0.034414190988040605,0.0325924872383034,0.0362358947377778,2,0.35385969725168986,0.3144984361308075,0.3932209583725722,2,1.6708652873374574,1.2343268613922105,2.107403713282704,2,-inf,,,2
movielens_graph_signal,knn__k3,tv,0.4,0.08185350339506126,0.0803795663260703,0.0833274404640522,2,0.688791373643131,0.6851054449793483,0.6924773023069136,2,4.13994194043231,3.755385767014472,4.524498113850147,2,-inf,,,2
physionet_eegmmidb_real,gaussian__sigma1.0,mean,0.2,4.078294270833333e-06,4.053854166666666e-06,4.102734375e-06,2,1.2643414637541967e-05,1.2562885618045056e-05,1.272394365703888e-05,2,8.334244821666227e-05,8.14038183392027e-05,8.528107809412185e-05,2,12.689692846538676,12.60784055215924,12.771545140918112,2
physionet_eegmmidb_real,gaussian__sigma1.0,mean,0.4,9.348750000000001e-06,9.219644097222222e-06,9.477855902777778e-06,2,1.929857804541916e-05,1.9095515534849188e-05,1.950164055598913e-05,2,0.0001234237812879,0.0001222540863485,0.0001245934762273,2,9.163788535985454,9.043851701942744,9.283725370028163,2
physionet_eegmmidb_real,gaussian__sigma1.0,tikhonov,0.2,1.784419452683778e-05,1.7828332807312114e-05,1.786005624636345e-05,2,2.2940499650358513e-05,2.2922676009655014e-05,2.295832329106201e-05,2,0.0001523480134223,0.0001520885512766,0.000152607475568,2,8.607360258479112,8.603413721492478,8.611306795465746,2
physionet_eegmmidb_real,gaussian__sigma1.0,tikhonov,0.4,1.9578876884542986e-05,1.9522185246867532e-05,1.963556852221844e-05,2,2.5342138643476046e-05,2.524377204222673e-05,2.544050524472536e-05,2,0.00016451709109205,0.0001639707226403,0.0001650634595438,2,7.618608344179716,7.571755880032268,7.665460808327164,2
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.2,3.007181199001688e-06,2.9867810277041205e-06,3.027581370299255e-06,2,9.395917712005368e-06,9.311928881747893e-06,9.479906542262844e-06,2,6.527911446626513e-05,6.281864647248482e-05,6.773958246004544e-05,2,15.153995452163514,15.08275326539776,15.225237638929269,2
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.4,7.496747792637002e-06,7.37753043931164e-06,7.615965145962364e-06,2,1.555732685685001e-05,1.5383971076578075e-05,1.573068263712195e-05,2,0.0001052095720546,0.0001047383393319,0.0001056808047773,2,10.93403154684188,10.796688422679273,11.071374671004486,2
physionet_eegmmidb_real,gaussian__sigma1.0,tv,0.2,4.078289352247832e-06,4.053849192344686e-06,4.102729512150979e-06,2,1.2643399768009905e-05,1.256287054584327e-05,1.2723928990176542e-05,2,8.334236358187948e-05,8.140372696314058e-05,8.528100020061836e-05,2,12.689703393933714,12.607850745637927,12.7715560422295,2
