dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,snr_initial_db
iv100hz_mat,knn__k3,temporal_laplacian,0.2,2,203.27316095613824,267.65589528865445,5.76059692414463,1616.0116611213168,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.2349513260001,20.0
iv100hz_mat,knn__k3,mean,0.2,3,40.48801327287246,130.8573374640861,10.604238995160635,760.0324559443899,{},,5,0.003565832000276714,20.0
iv100hz_mat,knn__k3,nearest,0.2,3,65.01145124575035,187.25606457213868,6.489714841398723,1196.5182695836309,{},,5,0.0076227950003158185,20.0
iv100hz_mat,knn__k3,tikhonov,0.2,3,100.6723304711942,163.47843200299107,10.12559733170263,939.6636493927398,"{""alpha"": 0.1}",,5,0.012228595000124187,20.0
iv100hz_mat,knn__k3,tv,0.2,3,39.57531240595147,128.88244821964867,10.301698201838608,788.5618045257429,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.27778453799965064,20.0
iv100hz_mat,knn__k3,trss,0.2,3,34.16243130454383,105.90274379214821,11.572561783238095,649.7501480587813,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.0335237229996892,20.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,3,168.30233048593726,220.90269464634912,11.101979405488413,1116.9101107236704,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.016049772000314988,20.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,3,203.0336779842577,267.1866204211982,5.810008372682322,1646.8624595449494,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.242055558999709,20.0
iv100hz_mat,knn__k3,mean,0.2,4,42.683792655133,139.31015741817137,10.531094639603564,718.8934752484284,{},,5,0.0035821939995912544,20.0
iv100hz_mat,knn__k3,nearest,0.2,4,64.64120852370104,187.59853815262673,6.490586827903507,1187.7671058775543,{},,5,0.007662020000225311,20.0
iv100hz_mat,knn__k3,tikhonov,0.2,4,101.05608165322899,168.01410870201607,10.084883842908873,951.5222573808543,"{""alpha"": 0.1}",,5,0.012354633000086324,20.0
iv100hz_mat,knn__k3,tv,0.2,4,40.883537967458174,137.26085581084848,10.543459508796609,785.8981391136267,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.28140092400008143,20.0
iv100hz_mat,knn__k3,trss,0.2,4,34.79848395180661,110.0337597431165,11.656622694283682,676.6743928962596,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03427874399994835,20.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,4,167.78680152728504,222.91080453593523,11.02623250456138,1113.392620114023,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.01584603799983597,20.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,4,203.84171222924658,269.8649060677557,5.6906996422018885,1630.0189747258735,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.248489395999968,20.0
iv100hz_mat,knn__k3,mean,0.2,5,43.667020801146464,142.42841351539857,10.536393565251887,738.2634124165033,{},,5,0.003592821999973239,20.0
iv100hz_mat,knn__k3,nearest,0.2,5,67.93867162211909,195.12425148616916,6.427962034663229,1210.3692498327857,{},,5,0.007703584999944724,20.0
iv100hz_mat,knn__k3,tikhonov,0.2,5,102.63153386812547,171.67578042511536,9.888282922286999,926.7961420037522,"{""alpha"": 0.1}",,5,0.012185505000161356,20.0
iv100hz_mat,knn__k3,tv,0.2,5,45.23427271990303,145.03326449538534,9.735367801547504,812.3543200136515,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.2808417510000254,20.0
iv100hz_mat,knn__k3,trss,0.2,5,36.4920010689506,113.39890781638137,11.37585529248152,668.611067718748,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03340511199985485,20.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,5,168.7473196030756,224.60916414768056,10.910070344751134,1110.574699131206,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.015847915999984252,20.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,5,203.45145512869163,269.5863636959714,5.752950832314205,1630.190947716642,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.287944661999973,20.0
iv100hz_mat,knn__k3,mean,0.2,0,45.64571600025889,145.47862098613595,9.57749781661566,808.2714044670824,{},,5,0.0036415059998944344,10.0
iv100hz_mat,knn__k3,nearest,0.2,0,68.15203271929322,200.3202384154884,6.049466416493124,1223.0069235616197,{},,5,0.00770002499984912,10.0
iv100hz_mat,knn__k3,tikhonov,0.2,0,108.0141863488438,177.71046169480348,8.760502445861716,1018.259149733837,"{""alpha"": 0.1}",,5,0.012272397999822715,10.0
iv100hz_mat,knn__k3,tv,0.2,0,47.69162977611152,149.5913252605087,8.711839920051787,875.4463831023457,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.2806510310001613,10.0
iv100hz_mat,knn__k3,trss,0.2,0,40.005579165230024,122.84547661919936,9.95954587499678,758.8741167351823,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03559815199969307,10.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,0,181.44946194378699,240.13682514352755,8.119047227755756,1358.1146113557527,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.01602927699968859,10.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,0,218.15872480403942,285.7449329682097,4.935015712032627,1827.9394829402192,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.261823353000182,10.0
iv100hz_mat,knn__k3,mean,0.2,1,45.21106932580501,143.7796836808941,9.653979299879163,827.1001928964871,{},,5,0.003550483999788412,10.0
iv100hz_mat,knn__k3,nearest,0.2,1,68.5433481919237,202.2659946505843,5.946658448445973,1242.057893289936,{},,5,0.007613897000283032,10.0
iv100hz_mat,knn__k3,tikhonov,0.2,1,108.65782729445974,177.3177425762801,8.887593190463102,1051.2933361726095,"{""alpha"": 0.1}",,5,0.012234084999818151,10.0
iv100hz_mat,knn__k3,tv,0.2,1,46.69698117661687,145.94306028666654,8.884740776950608,884.100101904713,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.2785887919999368,10.0
iv100hz_mat,knn__k3,trss,0.2,1,39.36915928558248,121.85874690596815,10.078796545303566,766.7757311544633,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03414448000012271,10.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,1,182.76194260897597,240.5547389537577,8.17576511037772,1352.8140510036203,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.016007279999939783,10.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,1,217.9993953626803,286.4905472807935,4.96248729128271,1839.0354752308767,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.238856476999899,10.0
iv100hz_mat,knn__k3,mean,0.2,2,45.1922742366978,144.90616403935263,9.512293860822595,814.8881179586192,{},,5,0.0036233520004316233,10.0
iv100hz_mat,knn__k3,nearest,0.2,2,70.81379064673708,206.79677805807157,5.6068294133278975,1251.898474542502,{},,5,0.007695306000186974,10.0
iv100hz_mat,knn__k3,tikhonov,0.2,2,108.98771056824529,179.65784135068637,8.659810204122017,1033.4774383165186,"{""alpha"": 0.1}",,5,0.01212243000009039,10.0
iv100hz_mat,knn__k3,tv,0.2,2,44.55974580663927,140.64086636375617,9.148255918019949,803.4030215007864,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.28053477899993595,10.0
iv100hz_mat,knn__k3,trss,0.2,2,40.310027034874906,123.07628295314059,9.825092320770437,720.9490515936,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.035219989999859536,10.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,2,182.4117024797694,240.1365902962076,8.120260961486565,1313.2324138640467,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.016010753000045952,10.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,2,217.58977721430983,283.9183318229653,4.9838911445034535,1778.0920285720133,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.233317319999969,10.0
iv100hz_mat,knn__k3,mean,0.2,3,44.04913876159839,140.2983722873588,9.608894318778203,800.3487283962635,{},,5,0.003587373000300431,10.0
iv100hz_mat,knn__k3,nearest,0.2,3,68.53833846820199,201.26047156829657,5.818793142817765,1242.1350497996295,{},,5,0.007718524000210891,10.0
iv100hz_mat,knn__k3,tikhonov,0.2,3,107.80727093310658,175.4348012821399,8.857381390774028,1021.1904174167206,"{""alpha"": 0.1}",,5,0.012360972999886144,10.0
iv100hz_mat,knn__k3,tv,0.2,3,43.88966330407734,138.25985930036992,9.05549854261028,825.4120548402587,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.2795065150003211,10.0
iv100hz_mat,knn__k3,trss,0.2,3,39.74612215095519,122.2025367548278,9.860398883867576,743.8461963702008,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03447747800009893,10.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,3,182.07058411960728,238.93680571952328,8.2781119255842,1327.0715809066087,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.01600804600002448,10.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,3,217.4688243789488,283.9850499692344,5.096058792354497,1813.1498200025328,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.242142949000026,10.0
