"graph","method","combo","mean_mae","std_mae","count","datasets_count","rank_metric"
"vknng__alpha1_k4_k_max8_k_min2","spline_surface","vknng__alpha1_k4_k_max8_k_min2|spline_surface","0,216618340413978","0,162260491407573","16","4","0,297748586117765"
"aew__k4_sigma_corr0_5_sigma_dist1","spline_surface","aew__k4_sigma_corr0_5_sigma_dist1|spline_surface","0,216618340413978","0,162260491407573","16","4","0,297748586117765"
"knn__k5","spline_surface","knn__k5|spline_surface","0,216618340413978","0,162260491407573","16","4","0,297748586117765"
"nnk__k4","spline_surface","nnk__k4|spline_surface","0,216618340413978","0,162260491407573","16","4","0,297748586117765"
"kalofolias","spline_surface","kalofolias|spline_surface","0,216618340413978","0,162260491407573","16","4","0,297748586117765"
"knng__k4_sigma1","spline_surface","knng__k4_sigma1|spline_surface","0,216618340413978","0,162260491407573","16","4","0,297748586117765"
"knn__k3","spline_surface","knn__k3|spline_surface","0,216618340413978","0,162260491407573","16","4","0,297748586117765"
"gaussian__sigma1","spline_surface","gaussian__sigma1|spline_surface","0,216618340413978","0,162260491407573","16","4","0,297748586117765"
"nnk__k4","graph_time_tikhonov","nnk__k4|graph_time_tikhonov","0,232990270152175","0,147041395670252","16","4","0,306510967987301"
"aew__k4_sigma_corr0_5_sigma_dist1","temporal_laplacian","aew__k4_sigma_corr0_5_sigma_dist1|temporal_laplacian","0,266927470275045","0,164174363804999","16","4","0,349014652177544"
"nnk__k4","temporal_laplacian","nnk__k4|temporal_laplacian","0,288765546477322","0,176091728609189","16","4","0,376811410781916"
"knng__k4_sigma1","graph_time_tikhonov","knng__k4_sigma1|graph_time_tikhonov","0,293035592915349","0,177952890898435","16","4","0,382012038364567"
"knn__k3","graph_time_tikhonov","knn__k3|graph_time_tikhonov","0,293088468511214","0,178082875489656","16","4","0,382129906256042"
"knng__k4_sigma1","puy","knng__k4_sigma1|puy","0,297206606577262","0,180829860466919","16","4","0,387621536810721"
"knn__k3","puy","knn__k3|puy","0,298843823295266","0,18182651675999","16","4","0,389757081675261"
"aew__k4_sigma_corr0_5_sigma_dist1","sobolev","aew__k4_sigma_corr0_5_sigma_dist1|sobolev","0,304812128480643","0,184423577643185","16","4","0,397023917302236"
"vknng__alpha1_k4_k_max8_k_min2","graph_time_tikhonov","vknng__alpha1_k4_k_max8_k_min2|graph_time_tikhonov","0,313543549276413","0,189247737481954","16","4","0,40816741801739"
"knn__k3","temporal_laplacian","knn__k3|temporal_laplacian","0,328098981463874","0,197628935516551","16","4","0,426913449222149"
"knng__k4_sigma1","temporal_laplacian","knng__k4_sigma1|temporal_laplacian","0,328893929029074","0,198000561905147","16","4","0,427894209981648"
"knn__k5","graph_time_tikhonov","knn__k5|graph_time_tikhonov","0,3300094656667","0,198440126597886","16","4","0,429229528965643"
"vknng__alpha1_k4_k_max8_k_min2","puy","vknng__alpha1_k4_k_max8_k_min2|puy","0,331892899080754","0,19990781864978","16","4","0,431846808405644"
"vknng__alpha1_k4_k_max8_k_min2","temporal_laplacian","vknng__alpha1_k4_k_max8_k_min2|temporal_laplacian","0,343087832187583","0,206102262898155","16","4","0,44613896363666"
"knn__k5","puy","knn__k5|puy","0,357340261852609","0,213928301173127","16","4","0,464304412439172"
"knn__k5","temporal_laplacian","knn__k5|temporal_laplacian","0,357306521543835","0,214199735739658","16","4","0,464406389413664"
