"graph","method","combo","mean_mae","median_mae","std_mae","min_mae","max_mae","cv_mae","count","datasets_count","real_datasets_count","real_obs_count","rank_metric_mean","rank_metric_median","rank_metric_stability","rank_metric_cv"
"knn__k5","gsmooth","knn__k5|gsmooth","0,13859100020485","0,130693712543978","0,10119551245736","1,93615340909091E-06","0,282424707479296","0,730173765307872","18","4","1","4","0,18918875643353","0,130693712543978","0,23978651266221","0,730173765307872"
"gaussian__sigma1","trss","gaussian__sigma1|trss","0,138431323331222","0,130572333512029","0,101543448577052","2,378068580142E-06","0,281944978852403","0,733529421907577","18","4","1","4","0,189203047619748","0,130572333512029","0,239974771908274","0,733529421907577"
"gaussian__sigma1","gsp","gaussian__sigma1|gsp","0,138463468072461","0,130559759831342","0,101583548806294","2,37806858049789E-06","0,282234082660231","0,733648739414306","18","4","1","4","0,189255242475607","0,130559759831342","0,240047016878754","0,733648739414306"
"aew__k4_sigma_corr0_5_sigma_dist1","wavelet_temporal","aew__k4_sigma_corr0_5_sigma_dist1|wavelet_temporal","0,139445826816921","0,139661675039009","0,0996283442759376","2,67112739733634E-06","0,27730463836124","0,714459131191784","18","4","1","4","0,18925999895489","0,139661675039009","0,239074171092859","0,714459131191784"
"knng__k4_sigma1","gsmooth","knng__k4_sigma1|gsmooth","0,13886223075339","0,130662192544457","0,101885064895249","1,83611162204473E-06","0,282014723176307","0,733713295130551","18","4","1","4","0,189804763201015","0,130662192544457","0,240747295648639","0,733713295130551"
"vknng__alpha1_k4_k_max8_k_min2","gsmooth","vknng__alpha1_k4_k_max8_k_min2|gsmooth","0,13888363030492","0,130711797320559","0,101872840411545","1,83618678977273E-06","0,282324792084942","0,73351222305957","18","4","1","4","0,189820050510692","0,130711797320559","0,240756470716465","0,73351222305957"
"vknng__alpha1_k4_k_max8_k_min2","directed_tv","vknng__alpha1_k4_k_max8_k_min2|directed_tv","0,140604386819838","0,15508691893338","0,0995261270122557","2,23510992062296E-06","0,274791414684636","0,707845105428912","18","4","1","4","0,190367450325966","0,15508691893338","0,240130513832094","0,707845105428912"
"aew__k4_sigma_corr0_5_sigma_dist1","tv","aew__k4_sigma_corr0_5_sigma_dist1|tv","0,139554511208184","0,13388641845547","0,102034957313224","2,34663509768802E-06","0,277235790508622","0,731147681503544","18","4","1","4","0,190571989864796","0,13388641845547","0,241589468521407","0,731147681503544"
"nnk__k4","gsmooth","nnk__k4|gsmooth","0,139636006172075","0,131423781226378","0,102597788290856","1,84230293352296E-06","0,28316451913112","0,734751666876116","18","4","1","4","0,190934900317503","0,131423781226378","0,242233794462931","0,734751666876116"
"knn__k3","gsmooth","knn__k3|gsmooth","0,139703186180539","0,13204067855143","0,102609195355992","1,83419744318182E-06","0,283477050932438","0,734479994059621","18","4","1","4","0,191007783858535","0,13204067855143","0,242312381536531","0,734479994059621"
"nnk__k4","tv","nnk__k4|tv","0,140143109912745","0,134362299068646","0,101901402208815","2,29087151719489E-06","0,287743095094722","0,727123882667224","18","4","1","4","0,191093811017153","0,134362299068646","0,24204451212156","0,727123882667224"
"knng__k4_sigma1","directed_tv","knng__k4_sigma1|directed_tv","0,141727788649349","0,158933883252227","0,0998798046705736","2,23482734583616E-06","0,274985253964378","0,70472986012424","18","4","1","4","0,191667690984636","0,158933883252227","0,241607593319923","0,70472986012424"
"knn__k5","idw","knn__k5|idw","0,140492867240786","0,131749665900742","0,103559603310516","1,94706640034928E-06","0,281107398725814","0,737116448289354","18","4","1","4","0,192272668896044","0,131749665900742","0,244052470551302","0,737116448289354"
"gaussian__sigma1","idw","gaussian__sigma1|idw","0,140492867240786","0,131749665900742","0,103559603310516","1,94706640034928E-06","0,281107398725814","0,737116448289354","18","4","1","4","0,192272668896044","0,131749665900742","0,244052470551302","0,737116448289354"
"vknng__alpha1_k4_k_max8_k_min2","idw","vknng__alpha1_k4_k_max8_k_min2|idw","0,140492867240786","0,131749665900742","0,103559603310516","1,94706640034928E-06","0,281107398725814","0,737116448289354","18","4","1","4","0,192272668896044","0,131749665900742","0,244052470551302","0,737116448289354"
"nnk__k4","idw","nnk__k4|idw","0,140492867240786","0,131749665900742","0,103559603310516","1,94706640034928E-06","0,281107398725814","0,737116448289354","18","4","1","4","0,192272668896044","0,131749665900742","0,244052470551302","0,737116448289354"
"aew__k4_sigma_corr0_5_sigma_dist1","idw","aew__k4_sigma_corr0_5_sigma_dist1|idw","0,140492867240786","0,131749665900742","0,103559603310516","1,94706640034928E-06","0,281107398725814","0,737116448289354","18","4","1","4","0,192272668896044","0,131749665900742","0,244052470551302","0,737116448289354"
"knng__k4_sigma1","idw","knng__k4_sigma1|idw","0,140492867240786","0,131749665900742","0,103559603310516","1,94706640034928E-06","0,281107398725814","0,737116448289354","18","4","1","4","0,192272668896044","0,131749665900742","0,244052470551302","0,737116448289354"
"knn__k3","idw","knn__k3|idw","0,140492867240786","0,131749665900742","0,103559603310516","1,94706640034928E-06","0,281107398725814","0,737116448289354","18","4","1","4","0,192272668896044","0,131749665900742","0,244052470551302","0,737116448289354"
"kalofolias","idw","kalofolias|idw","0,140492867240786","0,131749665900742","0,103559603310516","1,94706640034928E-06","0,281107398725814","0,737116448289354","18","4","1","4","0,192272668896044","0,131749665900742","0,244052470551302","0,737116448289354"
"nnk__k4","wavelet_temporal","nnk__k4|wavelet_temporal","0,143600115156859","0,145902781847808","0,100845440391075","2,56793803845037E-06","0,283064730196107","0,702265734821438","18","4","1","4","0,194022835352397","0,145902781847808","0,244445555547934","0,702265734821438"
"knn__k3","directed_tv","knn__k3|directed_tv","0,14462175783273","0,164572598770198","0,101689616506707","2,23639241786858E-06","0,279716740884413","0,703141892552034","18","4","1","4","0,195466566086083","0,164572598770198","0,246311374339437","0,703141892552034"
"nnk__k4","trss","nnk__k4|trss","0,143452173214462","0,141244623458349","0,104850416796284","1,74126835957327E-06","0,286517342255368","0,730908528234924","18","4","1","4","0,195877381612604","0,141244623458349","0,248302590010745","0,730908528234924"
"kalofolias","gsmooth","kalofolias|gsmooth","0,144851825101049","0,139885781371636","0,106442702897035","2,3807215264613E-06","0,295201655540128","0,734838534638971","18","4","1","4","0,198073176549567","0,139885781371636","0,251294527998084","0,734838534638971"
"knn__k5","trss","knn__k5|trss","0,14501310596583","0,14065127328314","0,106246414898994","1,84843000199047E-06","0,287874444182127","0,732667672975913","18","4","1","4","0,198136313415328","0,14065127328314","0,251259520864825","0,732667672975913"
"knn__k5","gsp","knn__k5|gsp","0,145551930747842","0,141164042486909","0,106810043122818","1,85127840909091E-06","0,289976817885414","0,733827731271103","18","4","1","4","0,198956952309251","0,141164042486909","0,25236197387066","0,733827731271103"
"knng__k4_sigma1","trss","knng__k4_sigma1|trss","0,145933946100521","0,143506867837616","0,106528569001569","1,70074661961655E-06","0,294272072044947","0,729977992428103","18","4","1","4","0,199198230601305","0,143506867837616","0,25246251510209","0,729977992428103"
"knng__k4_sigma1","wavelet_temporal","knng__k4_sigma1|wavelet_temporal","0,149662471500694","0,153258444426244","0,102454711643925","2,8007940774376E-06","0,28931499427747","0,684571827637165","18","4","1","4","0,200889827322656","0,153258444426244","0,252117183144619","0,684571827637165"
