graph,method,mean_mae,std_mae,median_mae,count,mean_rmse,mean_snr,datasets_count,rank_metric,temporal,baseline,experiment
knng__k4_sigma1,idw,0.1695226356632066,0.0791346864484849,0.1698560992137773,12,0.3714690363700119,-0.3489149133012366,3,0.2090899788874491,False,False,it05_no_physionet
knng__k4_sigma1,linear,0.1961211837997016,0.0910445601248275,0.2054059564956012,12,0.4496401479366146,-1.9577692391721853,3,0.2416434638621153,False,True,it05_no_physionet
knng__k4_sigma1,mean,0.1658937610924521,0.0771085823649144,0.1681542916167222,12,0.3610497534940873,-0.1051982963419481,3,0.2044480522749093,False,True,it05_no_physionet
knng__k4_sigma1,trss,0.1757165014061293,0.07920906081691,0.1785806773360301,12,0.3909304475483255,-0.8339754212258746,3,0.2153210318145843,True,False,it05_no_physionet
knng__k4_sigma1,tv,0.1669957144579077,0.076568479909873,0.1684159577513828,12,0.3650738712522156,-0.219593562255884,3,0.2052799544128442,True,False,it05_no_physionet
knng__k4_sigma1,wavelet_temporal,0.1842371725745133,0.0708937503322569,0.182615389297013,12,0.3605198792182205,15.272879989997676,3,0.2196840477406418,True,False,it05_no_physionet
nnk__k4,directed_tv,0.1858791435049742,0.0724922042087965,0.2012133252579306,12,0.4287339750674802,-1.5985182198521537,3,0.2221252456093725,True,False,it05_no_physionet
nnk__k4,gsmooth,0.1685517312886129,0.0781580846738659,0.1695902152494305,12,0.368134555982812,-0.2940722055646519,3,0.2076307736255459,False,False,it05_no_physionet
nnk__k4,gsp,0.1855406282725129,0.0845282606841799,0.1846540139429989,12,0.4186675692047434,-1.3910340227974631,3,0.2278047586146029,False,False,it05_no_physionet
nnk__k4,heat_diffusion_temporal,0.1660725047601785,0.0754405361404782,0.1664226314221937,12,0.3552686034241974,-0.0677869963440468,3,0.2037927728304177,True,False,it05_no_physionet
nnk__k4,idw,0.1695226356632066,0.0791346864484849,0.1698560992137773,12,0.3714690363700119,-0.3489149133012366,3,0.2090899788874491,False,False,it05_no_physionet
nnk__k4,linear,0.1961211837997016,0.0910445601248275,0.2054059564956012,12,0.4496401479366146,-1.9577692391721853,3,0.2416434638621153,False,True,it05_no_physionet
nnk__k4,mean,0.1658937610924521,0.0771085823649144,0.1681542916167222,12,0.3610497534940873,-0.1051982963419481,3,0.2044480522749093,False,True,it05_no_physionet
nnk__k4,trss,0.1729962852715663,0.0785325691003373,0.1754888988229103,12,0.3793914537871211,-0.5919765673648347,3,0.2122625698217349,True,False,it05_no_physionet
nnk__k4,tv,0.1701196226574634,0.0776035664308959,0.1706745771791842,12,0.3749161730455304,-0.4522999467392661,3,0.2089214058729114,True,False,it05_no_physionet
nnk__k4,wavelet_temporal,0.1756806652767435,0.0724584157682425,0.1763700764475957,12,0.3551513424732317,20.133850125752883,3,0.2119098731608648,True,False,it05_no_physionet
vknng__alpha1_k4_k_max8_k_min2,directed_tv,0.1715518692822771,0.0720089135638274,0.1857421146800681,12,0.3789268391135353,-0.6051514971531415,3,0.2075563260641909,True,False,it05_no_physionet
vknng__alpha1_k4_k_max8_k_min2,gsmooth,0.1677376894890423,0.0774421871698473,0.1674195871651,12,0.3660447299120573,-0.2493448311283783,3,0.206458783073966,False,False,it05_no_physionet
vknng__alpha1_k4_k_max8_k_min2,gsp,0.1789981791905862,0.081427509538798,0.1812397831372854,12,0.4010631849568489,-1.026930460663411,3,0.2197119339599852,False,False,it05_no_physionet
vknng__alpha1_k4_k_max8_k_min2,heat_diffusion_temporal,0.167155299569218,0.0754924836955063,0.1684661103887394,12,0.3602145579192297,-0.176543309500108,3,0.2049015414169712,True,False,it05_no_physionet
vknng__alpha1_k4_k_max8_k_min2,idw,0.1695226356632066,0.0791346864484849,0.1698560992137773,12,0.3714690363700119,-0.3489149133012366,3,0.2090899788874491,False,False,it05_no_physionet
vknng__alpha1_k4_k_max8_k_min2,linear,0.1961211837997016,0.0910445601248275,0.2054059564956012,12,0.4496401479366146,-1.9577692391721853,3,0.2416434638621153,False,True,it05_no_physionet
vknng__alpha1_k4_k_max8_k_min2,mean,0.1658937610924521,0.0771085823649144,0.1681542916167222,12,0.3610497534940873,-0.1051982963419481,3,0.2044480522749093,False,True,it05_no_physionet
vknng__alpha1_k4_k_max8_k_min2,trss,0.1771198245230661,0.0800859007783925,0.1798910981701753,12,0.3953827273243316,-0.9207550400611346,3,0.2171627749122625,True,False,it05_no_physionet
vknng__alpha1_k4_k_max8_k_min2,tv,0.1665050643289023,0.0766879707618856,0.1677117360804711,12,0.3633499013846715,-0.1742608906720305,3,0.2048490497098451,True,False,it05_no_physionet
vknng__alpha1_k4_k_max8_k_min2,wavelet_temporal,0.1859192953368867,0.0709765367443212,0.1847868398228163,12,0.3638046954295742,13.87828680162025,3,0.2214075637090473,True,False,it05_no_physionet
