carpeta,archivo,tipo,tam_kb
results,itX0095_raw.csv,csv,3770.6
results,itX0095_significance.csv,csv,0.1
results,itX0095_stats.csv,csv,0.8
results,itX0096_raw.csv,csv,1872.7
results,itX0096_significance.csv,csv,0.1
results,itX0096_stats.csv,csv,0.4
results,itX0097_raw.csv,csv,15086.6
results,itX0097_significance.csv,csv,0.1
results,itX0097_stats.csv,csv,0.8
results,itX0098_raw.csv,csv,7490.0
results,itX0098_significance.csv,csv,0.1
results,itX0098_stats.csv,csv,0.4
results,itX0099_raw.csv,csv,15086.6
results,itX0099_significance.csv,csv,0.1
results,itX0099_stats.csv,csv,0.8
results,itX0100_raw.csv,csv,7490.0
results,itX0100_significance.csv,csv,0.1
results,itX0100_stats.csv,csv,0.4
results,itX0101_raw.csv,csv,3770.7
results,itX0101_significance.csv,csv,0.1
results,itX0101_stats.csv,csv,0.8
results,itX0102_raw.csv,csv,1873.0
results,itX0102_significance.csv,csv,0.1
results,itX0102_stats.csv,csv,0.4
results,itX0103_raw.csv,csv,3770.7
results,itX0103_significance.csv,csv,0.1
results,itX0103_stats.csv,csv,0.8
results,itX0104_raw.csv,csv,1873.0
results,itX0104_significance.csv,csv,0.1
results,itX0104_stats.csv,csv,0.4
results,itX0105_raw.csv,csv,15085.5
results,itX0105_significance.csv,csv,0.1
results,itX0105_stats.csv,csv,0.8
results,itX0106_raw.csv,csv,7485.2
results,itX0106_significance.csv,csv,0.1
results,itX0106_stats.csv,csv,0.4
results,itX0107_raw.csv,csv,15085.5
results,itX0107_significance.csv,csv,0.1
results,itX0107_stats.csv,csv,0.8
results,itX0108_raw.csv,csv,7485.2
results,itX0108_significance.csv,csv,0.1
results,itX0108_stats.csv,csv,0.4
results,itX0109_raw.csv,csv,3770.0
results,itX0109_significance.csv,csv,0.1
results,itX0109_stats.csv,csv,0.8
results,itX0110_raw.csv,csv,1872.2
results,itX0110_significance.csv,csv,0.1
results,itX0110_stats.csv,csv,0.4
results,itX0111_raw.csv,csv,3770.0
results,itX0111_significance.csv,csv,0.1
results,itX0111_stats.csv,csv,0.8
results,itX0112_raw.csv,csv,1872.2
results,itX0112_significance.csv,csv,0.1
results,itX0112_stats.csv,csv,0.4
results,itX0113_raw.csv,csv,15085.4
results,itX0113_significance.csv,csv,0.1
