dataset,graph,method,mae_mean,mae_std,snr_mean,snr_std
iris_graph_signal,knn__k9,trss,0.16989765525371356,0.0635463956588754,9.653264553427787,2.052581668282775
iris_graph_signal,knn__k9,tv,0.20106630629013403,0.07012847130167045,8.483300567184896,1.8988792656259263
iris_graph_signal,knn__k9,visibility_nnk,0.2574156467733287,0.08588986854057651,5.463691880573697,1.5037506177023767
iris_graph_signal,nnk,bgsrp,0.5077025308426383,0.06729057283874323,4.208668417763487,1.947809616842251
iris_graph_signal,nnk,ica,0.2083156856565979,0.07826880520281834,7.389982828057354,2.044687162611833
iris_graph_signal,nnk,idw,0.18858176066312946,0.06744051110901442,8.86881906489928,1.81746922876111
iris_graph_signal,nnk,linear,0.22741211369605135,0.10225428964621155,7.060247481032437,3.2646336468895463
iris_graph_signal,nnk,rbfi_tps,3.2451634357984847,3.709390900658726,-7.5848799748893105,14.789852180088157
iris_graph_signal,nnk,sobolev,0.6267659698840772,0.023373432409330947,2.608671589239625,0.34602318697005296
iris_graph_signal,nnk,spherical_spline,0.1892763462254073,0.06510772624683814,8.703384694622777,1.6813371024916504
iris_graph_signal,nnk,temporal_laplacian,0.4950256335576578,0.03678736734918791,4.323459690081543,0.6769083341183975
iris_graph_signal,nnk,tikhonov,0.23230494713562497,0.06444856155453806,8.659204707043306,2.0573931534340963
iris_graph_signal,nnk,trss,0.16639282702407032,0.06679399415576033,9.872532976948618,2.2591778829429345
iris_graph_signal,nnk,tv,0.1839776639242721,0.06741796486998336,9.172174028528472,1.9776742064316741
iris_graph_signal,nnk,visibility_nnk,0.2410307873341906,0.08124805646867657,5.7483201092332,1.4234463775687851
iris_graph_signal,vknng,bgsrp,0.49542675925126434,0.008248118657107084,4.608205870788415,0.28531558187527556
iris_graph_signal,vknng,ica,0.20831568565659786,0.07804863935120228,7.389982828057354,2.0389355698888023
iris_graph_signal,vknng,idw,0.18858176066312946,0.067250804654147,8.86881906489928,1.8123567876103959
iris_graph_signal,vknng,linear,0.22741211369605135,0.10196665394380096,7.060247481032437,3.255450411688507
iris_graph_signal,vknng,rbfi_tps,3.245163435798485,3.698956587722633,-7.5848799748893105,14.74824913795577
iris_graph_signal,vknng,sobolev,0.675741948596559,0.014084565118116085,2.025927147224311,0.2074582716448371
iris_graph_signal,vknng,spherical_spline,0.1892763462254073,0.06492458178770433,8.703384694622777,1.6766075935376745
iris_graph_signal,vknng,temporal_laplacian,0.680822663344154,0.02192961613156224,1.7840384222240186,0.28281527045514226
iris_graph_signal,vknng,tikhonov,0.3074925254026667,0.04658628201707547,7.864298392067544,1.3306509961457307
iris_graph_signal,vknng,trss,0.15783353497329494,0.05993973765434041,10.043396120464555,1.9382743656920531
iris_graph_signal,vknng,tv,0.1877135487224045,0.06616994191274103,8.844241656533471,1.7936259480881838
iris_graph_signal,vknng,visibility_nnk,0.2410307873341906,0.08101951014682815,5.7483201092332,1.4194423010642943
mne_sample,aew,bgsrp,17.6193708617718,14.81118515046921,-0.10678421683030649,2.5818372653935513
mne_sample,aew,ica,0.19119869142899265,0.08795321908057589,6.894789881960967,2.440814437308512
mne_sample,aew,idw,0.03892809935155729,0.018683831495152386,21.322817317003352,2.63436198412247
mne_sample,aew,linear,0.04928396188347873,0.023457046941785714,19.341224968767772,2.6702862835871994
mne_sample,aew,rbfi_tps,0.037973087133076615,0.01847477771813546,22.484744809381322,2.9190257488742164
mne_sample,aew,sobolev,0.49744094225697416,0.044213325352387096,3.751935707874048,0.8438063111166971
mne_sample,aew,spherical_spline,0.04612296398502456,0.023419822009567923,20.99162524898239,3.17233796309988
mne_sample,aew,temporal_laplacian,0.10851353034735842,0.012506570378200388,17.012644119388266,1.2262041898216485
mne_sample,aew,tikhonov,0.03770563352943999,0.018714458290547274,21.825643528336723,2.6844670609080468
mne_sample,aew,trss,0.1916681868933143,0.08797574142583295,6.902352282382397,2.4153280991506976
mne_sample,aew,tv,0.038247657258978475,0.018850107868107095,21.665878321664206,2.6475498328046054
mne_sample,aew,visibility_nnk,0.1937553574923242,0.08865595917756412,6.79716445523736,2.3959471850824596
mne_sample,epsilon_ball,bgsrp,0.18632225739792557,0.0029930694779249215,12.846108455603213,0.1701000928573542
mne_sample,epsilon_ball,ica,0.19119869142899265,0.08795321908057589,6.894789881960967,2.440814437308512
mne_sample,epsilon_ball,idw,0.03892809935155729,0.018683831495152386,21.322817317003352,2.63436198412247
mne_sample,epsilon_ball,linear,0.04928396188347873,0.023457046941785714,19.341224968767772,2.6702862835871994
mne_sample,epsilon_ball,rbfi_tps,0.037973087133076615,0.01847477771813546,22.484744809381322,2.9190257488742164
mne_sample,epsilon_ball,sobolev,0.4895233160353001,0.02573239492894346,4.279653745206876,0.4532732007621859
mne_sample,epsilon_ball,spherical_spline,0.04612296398502456,0.023419822009567923,20.99162524898239,3.17233796309988
mne_sample,epsilon_ball,temporal_laplacian,0.7560226793664377,0.007155633874526985,0.5129701805050718,0.08930984432203037
mne_sample,epsilon_ball,tikhonov,0.1592119274101849,0.0076062110773064,14.030230922928743,0.45978886358739757
mne_sample,epsilon_ball,trss,0.03893910935751288,0.019699478575526338,21.08285054250695,2.8620914497099372
mne_sample,epsilon_ball,tv,0.05104500643608879,0.0238427410882229,18.561511023450734,2.4916114070935684
mne_sample,epsilon_ball,visibility_nnk,0.1937553574923242,0.08865595917756412,6.79716445523736,2.3959471850824596
mne_sample,knn__k3,bgsrp,0.12735218066596474,0.0038862920769538586,16.517353467994912,0.413843076589897
mne_sample,knn__k3,ica,0.19119869142899265,0.08870819618194045,6.894789881960967,2.4617660184798593
mne_sample,knn__k3,idw,0.03892809935155729,0.01884421067276579,21.322817317003352,2.6569749480993288
mne_sample,knn__k3,linear,0.04928396188347873,0.02365839867730841,19.341224968767772,2.693207616305554
mne_sample,knn__k3,rbfi_tps,0.037973087133076615,0.018633362409813597,22.484744809381322,2.9440822234607196
