method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
mean,0.3,rmse,0.4161,0.0,0.4161,0.4161,0.4161,3
mean,0.3,snr,-0.4065,0.0,-0.4065,-0.4065,-0.4065,3
mean,0.3,dtw,,,,,,0
mean,0.4,mae,0.2385,0.0,0.2385,0.2385,0.2385,3
mean,0.4,rmse,0.4473,0.0,0.4473,0.4473,0.4473,3
mean,0.4,snr,-0.2628,0.0,-0.2628,,,3
mean,0.4,dtw,,,,,,0
nearest,0.1,mae,0.1023,0.0,0.1023,0.1023,0.1023,3
nearest,0.1,rmse,0.349,0.0,0.349,,,3
nearest,0.1,snr,-2.7119,0.0,-2.7119,,,3
nearest,0.1,dtw,,,,,,0
nearest,0.2,mae,0.1556,0.0,0.1556,,,3
nearest,0.2,rmse,0.4323,0.0,0.4323,,,3
nearest,0.2,snr,-2.8899,0.0,-2.8899,,,3
nearest,0.2,dtw,,,,,,0
nearest,0.3,mae,0.2529,0.0,0.2529,,,3
nearest,0.3,rmse,0.5551,0.0,0.5551,,,3
nearest,0.3,snr,-2.9357,0.0,-2.9357,,,3
nearest,0.3,dtw,,,,,,0
nearest,0.4,mae,0.2985,0.0,0.2985,,,3
nearest,0.4,rmse,0.6001,0.0,0.6001,,,3
nearest,0.4,snr,-2.8098,0.0,-2.8098,,,3
nearest,0.4,dtw,,,,,,0
puy,0.1,mae,0.4276,0.2296,0.5071,-0.1428,0.9981,3
puy,0.1,rmse,0.5381,0.1813,0.5828,0.0878,0.9883,3
puy,0.1,snr,5.5784,7.8734,1.8577,-13.9802,25.137,3
puy,0.1,dtw,,,,,,0
puy,0.2,mae,0.4435,0.2095,0.5141,-0.0771,0.964,3
puy,0.2,rmse,0.5658,0.1456,0.5934,0.2041,0.9276,3
puy,0.2,snr,5.3237,7.5717,1.728,-13.4854,24.1328,3
puy,0.2,dtw,,,,,,0
puy,0.3,mae,0.4766,0.1642,0.5297,0.0687,0.8845,3
puy,0.3,rmse,0.6152,0.0827,0.6141,0.4097,0.8207,3
