Dataset,Familia,Combinacion,n_rows,MAE,RMSE,DTW,SNR,LSD,COHERENCE_MEAN
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knn__k5 | temporal_laplacian,30,0.05838474128948191,0.15548637878799293,1.1297694646444874,17.638854102020673,2.2416289608124247,0.9734482207062115
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knn__k5 | trss,30,0.05507012302774695,0.1481890862800757,1.0657265812526855,18.281720831618244,2.2353522868160005,0.9758972278791607
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knn__k5 | tv,30,0.09136932015621455,0.23227643223076727,1.6325114606026299,13.705939816401429,2.2992301911891064,0.9445688344868307
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knn__k7 | temporal_laplacian,30,0.0640598579756309,0.16856910296092265,1.2142862525272686,16.83938920674539,2.2559306016539806,0.9691060778918249
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knn__k7 | trss,30,0.05899217708253028,0.15674486829891546,1.1276818037730407,17.640233327029907,2.24556232405641,0.9728827317474308
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knn__k7 | tv,30,0.09487802048159823,0.24117488533511963,1.6845757997757025,13.31706292807968,2.305359393668432,0.9407129272695196
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knn__k9 | temporal_laplacian,30,0.0682558886838691,0.1774546846396169,1.2833984022860414,16.285559230340894,2.263745043763073,0.9657765992364818
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knn__k9 | trss,30,0.061415300511373214,0.16165539812363727,1.1798357444783956,17.27185760457401,2.252212393098654,0.9708260623911684
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knn__k9 | tv,30,0.09644588110078768,0.24526654495930492,1.7076901240286275,13.142330689951502,2.3083532514198297,0.9389773142925474
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knng | temporal_laplacian,120,0.05936984013999589,0.15817557581989566,1.1467810665187734,17.496227456279705,2.250752155043655,0.9724883128175225
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knng | trss,120,0.0566330499167576,0.15258429194603734,1.0923432751626947,18.06265188087982,2.239762482737548,0.974737160222545
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knng | tv,120,0.08733316959413218,0.22288014677726053,1.5719288294376343,14.126229181223255,2.2920010449248456,0.9488308769936591
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | nnk | temporal_laplacian,60,0.05708154077933024,0.15278214102491194,1.130792320299587,17.70442334796808,2.2629485375814657,0.9728478627996716
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | nnk | trss,60,0.05556574515813265,0.1492126300696037,1.071631252611223,18.288514924067055,2.2343730578235066,0.9756374527510361
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | nnk | tv,60,0.07153135911876322,0.18604104116117107,1.3256693161827364,15.928780021175688,2.263481037952453,0.9641391351151438
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | vknng | temporal_laplacian,90,0.05993568916484591,0.1590416610659882,1.154218424146917,17.41851657447957,2.248614008802084,0.9722150914035893
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | vknng | trss,90,0.05612692360691982,0.1506019544121229,1.0837889218660022,18.106946452512076,2.2404217213484703,0.9750379691778088
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | vknng | tv,90,0.09229300958947903,0.23462080250551717,1.646340607161851,13.600516655132232,2.3013844024545493,0.9435201127690233
