tag,gain_pct,tv_median,instant_median,p_value,decision
scr_01062,0.0,,,1.0,NO-GO
scr_01063,0.0,,,1.0,NO-GO
scr_01064,0.0,,,1.0,NO-GO
scr_01070,0.0,,,1.0,NO-GO
scr_01071,0.0,,,1.0,NO-GO
scr_01072,0.0,,,1.0,NO-GO
scr_01073,0.0,,,1.0,NO-GO
scr_01074,0.0,,,1.0,NO-GO
scr_01075,0.0,,,1.0,NO-GO
scr_01076,0.0,,,1.0,NO-GO
scr_01082,0.0,,,1.0,NO-GO
scr_01083,0.0,,,1.0,NO-GO
scr_01027,0.0,,,1.0,NO-GO
scr_01028,0.0,,,1.0,NO-GO
scr_01034,0.0,,,1.0,NO-GO
scr_01035,0.0,,,1.0,NO-GO
scr_01036,0.0,,,1.0,NO-GO
scr_01037,0.0,,,1.0,NO-GO
scr_01038,0.0,,,1.0,NO-GO
scr_01039,0.0,,,1.0,NO-GO
scr_01040,0.0,,,1.0,NO-GO
scr_01046,0.0,,,1.0,NO-GO
scr_01047,0.0,,,1.0,NO-GO
scr_01048,0.0,,,1.0,NO-GO
scr_01049,0.0,,,1.0,NO-GO
scr_01050,0.0,,,1.0,NO-GO
scr_01051,0.0,,,1.0,NO-GO
scr_01052,0.0,,,1.0,NO-GO
scr_01001,0.0,,,1.0,NO-GO
scr_01002,0.0,,,1.0,NO-GO
scr_01003,0.0,,,1.0,NO-GO
scr_01004,0.0,,,1.0,NO-GO
scr_01010,0.0,,,1.0,NO-GO
scr_01011,0.0,,,1.0,NO-GO
scr_01012,0.0,,,1.0,NO-GO
scr_01013,0.0,,,1.0,NO-GO
scr_01014,0.0,,,1.0,NO-GO
scr_01015,0.0,,,1.0,NO-GO
scr_01016,0.0,,,1.0,NO-GO
scr_01022,0.0,,,1.0,NO-GO
scr_01023,0.0,,,1.0,NO-GO
scr_01024,0.0,,,1.0,NO-GO
scr_01025,0.0,,,1.0,NO-GO
scr_01026,0.0,,,1.0,NO-GO
scr_00975,0.0,,,1.0,NO-GO
scr_00976,0.0,,,1.0,NO-GO
scr_00977,0.0,,,1.0,NO-GO
scr_00978,0.0,,,1.0,NO-GO
scr_00979,0.0,,,1.0,NO-GO
scr_00980,0.0,,,1.0,NO-GO
scr_00986,0.0,,,1.0,NO-GO
scr_00987,0.0,,,1.0,NO-GO
scr_00988,0.0,,,1.0,NO-GO
scr_00989,0.0,,,1.0,NO-GO
scr_00990,0.0,,,1.0,NO-GO
scr_00991,0.0,,,1.0,NO-GO
scr_00992,0.0,,,1.0,NO-GO
scr_00998,0.0,,,1.0,NO-GO
scr_00999,0.0,,,1.0,NO-GO
scr_01000,0.0,,,1.0,NO-GO
scr_00944,0.0,,,1.0,NO-GO
scr_00950,0.0,,,1.0,NO-GO
scr_00951,0.0,,,1.0,NO-GO
scr_00952,0.0,,,1.0,NO-GO
scr_00953,0.0,,,1.0,NO-GO
scr_00954,0.0,,,1.0,NO-GO
scr_00955,0.0,,,1.0,NO-GO
scr_00956,0.0,,,1.0,NO-GO
scr_00962,0.0,,,1.0,NO-GO
scr_00963,0.0,,,1.0,NO-GO
scr_00964,0.0,,,1.0,NO-GO
scr_00965,0.0,,,1.0,NO-GO
scr_00966,0.0,,,1.0,NO-GO
scr_00967,0.0,,,1.0,NO-GO
scr_00968,0.0,,,1.0,NO-GO
scr_00974,0.0,,,1.0,NO-GO
scr_00918,0.0,,,1.0,NO-GO
scr_00919,0.0,,,1.0,NO-GO
scr_00920,0.0,,,1.0,NO-GO
scr_00926,0.0,,,1.0,NO-GO
scr_00927,0.0,,,1.0,NO-GO
scr_00928,0.0,,,1.0,NO-GO
scr_00929,0.0,,,1.0,NO-GO
scr_00930,0.0,,,1.0,NO-GO
scr_00931,0.0,,,1.0,NO-GO
scr_00932,0.0,,,1.0,NO-GO
scr_00938,0.0,,,1.0,NO-GO
scr_00939,0.0,,,1.0,NO-GO
scr_00940,0.0,,,1.0,NO-GO
scr_00941,0.0,,,1.0,NO-GO
scr_00942,0.0,,,1.0,NO-GO
scr_00943,0.0,,,1.0,NO-GO
scr_00892,0.0,,,1.0,NO-GO
scr_00893,0.0,,,1.0,NO-GO
scr_00894,0.0,,,1.0,NO-GO
scr_00895,0.0,,,1.0,NO-GO
scr_00896,0.0,,,1.0,NO-GO
scr_00902,0.0,,,1.0,NO-GO
scr_00903,0.0,,,1.0,NO-GO
scr_00904,0.0,,,1.0,NO-GO
scr_00905,0.0,,,1.0,NO-GO
scr_00906,0.0,,,1.0,NO-GO
scr_00907,0.0,,,1.0,NO-GO
scr_00908,0.0,,,1.0,NO-GO
scr_00914,0.0,,,1.0,NO-GO
scr_00915,0.0,,,1.0,NO-GO
scr_00916,0.0,,,1.0,NO-GO
scr_00917,0.0,,,1.0,NO-GO
scr_00866,0.0,,,1.0,NO-GO
scr_00867,0.0,,,1.0,NO-GO
scr_00868,0.0,,,1.0,NO-GO
scr_00869,0.0,,,1.0,NO-GO
scr_00870,0.0,,,1.0,NO-GO
scr_00871,0.0,,,1.0,NO-GO
scr_00872,0.0,,,1.0,NO-GO
scr_00878,0.0,,,1.0,NO-GO
scr_00879,0.0,,,1.0,NO-GO
scr_00880,0.0,,,1.0,NO-GO
scr_00881,0.0,,,1.0,NO-GO
scr_00882,0.0,,,1.0,NO-GO
scr_00883,0.0,,,1.0,NO-GO
scr_00884,0.0,,,1.0,NO-GO
scr_00890,0.0,,,1.0,NO-GO
scr_00891,0.0,,,1.0,NO-GO
scr_00772,0.0,,,1.0,NO-GO
scr_00836,0.0,,,1.0,NO-GO
scr_00842,0.0,,,1.0,NO-GO
scr_00843,0.0,,,1.0,NO-GO
scr_00844,0.0,,,1.0,NO-GO
scr_00845,0.0,,,1.0,NO-GO
scr_00846,0.0,,,1.0,NO-GO
scr_00847,0.0,,,1.0,NO-GO
scr_00848,0.0,,,1.0,NO-GO
scr_00854,0.0,,,1.0,NO-GO
scr_00855,0.0,,,1.0,NO-GO
scr_00856,0.0,,,1.0,NO-GO
scr_00857,0.0,,,1.0,NO-GO
scr_00858,0.0,,,1.0,NO-GO
scr_00859,0.0,,,1.0,NO-GO
scr_00860,0.0,,,1.0,NO-GO
scr_00835,0.0,,,1.0,NO-GO
scr_01457,0.0,,,1.0,NO-GO
scr_01458,0.0,,,1.0,NO-GO
scr_01459,0.0,,,1.0,NO-GO
scr_01460,0.0,,,1.0,NO-GO
scr_01466,0.0,,,1.0,NO-GO
scr_01467,0.0,,,1.0,NO-GO
scr_01468,0.0,,,1.0,NO-GO
scr_01469,0.0,,,1.0,NO-GO
scr_01470,0.0,,,1.0,NO-GO
scr_01471,0.0,,,1.0,NO-GO
scr_01472,0.0,,,1.0,NO-GO
scr_01478,0.0,,,1.0,NO-GO
scr_01479,0.0,,,1.0,NO-GO
scr_00770,0.0,,,1.0,NO-GO
scr_00771,0.0,,,1.0,NO-GO
scr_00784,0.0,,,1.0,NO-GO
scr_00758,0.0,,,1.0,NO-GO
scr_00759,0.0,,,1.0,NO-GO
scr_01483,0.0,,,1.0,NO-GO
scr_01484,0.0,,,1.0,NO-GO
scr_01490,0.0,,,1.0,NO-GO
scr_01491,0.0,,,1.0,NO-GO
scr_01492,0.0,,,1.0,NO-GO
scr_01493,0.0,,,1.0,NO-GO
scr_01494,0.0,,,1.0,NO-GO
scr_01495,0.0,,,1.0,NO-GO
scr_01496,0.0,,,1.0,NO-GO
scr_01502,0.0,,,1.0,NO-GO
scr_01503,0.0,,,1.0,NO-GO
scr_01504,0.0,,,1.0,NO-GO
scr_01505,0.0,,,1.0,NO-GO
scr_00797,0.0,,,1.0,NO-GO
scr_00798,0.0,,,1.0,NO-GO
scr_00799,0.0,,,1.0,NO-GO
scr_00800,0.0,,,1.0,NO-GO
scr_00806,0.0,,,1.0,NO-GO
scr_00807,0.0,,,1.0,NO-GO
scr_01508,0.0,,,1.0,NO-GO
scr_01507,0.0,,,1.0,NO-GO
scr_01481,0.0,,,1.0,NO-GO
scr_01482,0.0,,,1.0,NO-GO
scr_00773,0.0,,,1.0,NO-GO
scr_00774,0.0,,,1.0,NO-GO
scr_00775,0.0,,,1.0,NO-GO
scr_00776,0.0,,,1.0,NO-GO
scr_00782,0.0,,,1.0,NO-GO
scr_00783,0.0,,,1.0,NO-GO
scr_00702,-0.4945504045938355,0.057473284724553944,0.0571904491270073,0.5251415251415251,NO-GO
scr_00271,-0.5137556874974444,0.43995622259975686,0.4377074755495197,0.6227106227106227,NO-GO
scr_00655,-1.2941965795566877,0.36723029431667886,0.36253833557804604,0.668997668997669,NO-GO
scr_00115,-1.2941965795566877,0.36723029431667886,0.36253833557804604,0.668997668997669,NO-GO
scr_00259,-1.843163552269526,0.4555683632573583,0.4473234602767857,0.4748584748584749,NO-GO
scr_00295,-1.843163552269526,0.4555683632573583,0.4473234602767857,0.4748584748584749,NO-GO
scr_00738,-2.2984043809799632,0.05850491691524455,0.0571904491270073,0.6227106227106227,NO-GO
scr_00199,-2.5915496643923546,0.3680497826715127,0.358752532616491,0.6227106227106227,NO-GO
scr_00127,-2.5915496643923546,0.3680497826715127,0.358752532616491,0.6227106227106227,NO-GO
scr_00679,-2.5915496643923546,0.3680497826715127,0.358752532616491,0.6227106227106227,NO-GO
scr_00139,-2.5915496643923546,0.3680497826715127,0.358752532616491,0.6227106227106227,NO-GO
scr_00739,-2.5915496643923546,0.3680497826715127,0.358752532616491,0.6227106227106227,NO-GO
scr_00667,-2.5915496643923546,0.3680497826715127,0.358752532616491,0.6227106227106227,NO-GO
scr_00163,-2.894321803088494,0.2960716315624685,0.28774341127304226,0.3772893772893773,NO-GO
scr_00703,-2.894321803088494,0.2960716315624685,0.28774341127304226,0.3772893772893773,NO-GO
scr_00751,-3.3259539630712034,0.27743982704211223,0.26850933032882474,0.4259074259074259,NO-GO
scr_00211,-3.3259539630712034,0.27743982704211223,0.26850933032882474,0.4259074259074259,NO-GO
scr_00690,-4.40663201492291,0.0597106217677162,0.0571904491270073,0.5251415251415251,NO-GO
scr_00654,-4.669213223377312,0.0598607931401544,0.0571904491270073,0.7136197136197137,NO-GO
scr_00642,-6.899345768573653,0.047831484620301054,0.044744412864650654,0.5251415251415251,NO-GO
scr_00678,-7.2162489097681135,0.06131745428862645,0.0571904491270073,0.5251415251415251,NO-GO
scr_00666,-7.57015366449922,0.061519854007339,0.0571904491270073,0.6227106227106227,NO-GO
scr_00691,-7.85259177879812,0.3316965597946907,0.3075462112908596,0.6227106227106227,NO-GO
scr_00151,-7.85259177879812,0.3316965597946907,0.3075462112908596,0.6227106227106227,NO-GO
scr_00727,-7.85259177879812,0.3316965597946907,0.3075462112908596,0.6227106227106227,NO-GO
scr_00187,-7.85259177879812,0.3316965597946907,0.3075462112908596,0.6227106227106227,NO-GO
scr_00175,-10.546081740905091,0.4031958972362577,0.36473106136973477,0.4259074259074259,NO-GO
scr_00715,-10.546081740905091,0.4031958972362577,0.36473106136973477,0.4259074259074259,NO-GO
scr_00595,-12.517365023347104,0.16615360221087686,0.1476692972470519,0.5251415251415251,NO-GO
scr_00055,-12.517365023347104,0.16615360221087686,0.1476692972470519,0.5251415251415251,NO-GO
scr_00487,-12.517365023347104,0.16615360221087686,0.1476692972470519,0.5251415251415251,NO-GO
scr_00379,-12.517365023347104,0.16615360221087686,0.1476692972470519,0.5251415251415251,NO-GO
scr_00618,-13.304612066138185,0.05069748341756365,0.044744412864650654,0.5251415251415251,NO-GO
scr_00630,-13.455214364998463,0.05076486953194935,0.044744412864650654,0.5251415251415251,NO-GO
scr_00650,-16.459931404596453,0.20802205831212955,0.17862114102526366,0.7545787545787546,NO-GO
scr_00594,-16.91843347086772,0.05231446658708695,0.044744412864650654,0.5251415251415251,NO-GO
scr_00546,-18.306572746483614,0.0529355813557049,0.044744412864650654,0.7136197136197137,NO-GO
scr_01567,-19.99029247994027,0.18649830130579148,0.15542782457753396,0.7577089171226375,NO-GO
scr_01675,-19.99029247994027,0.18649830130579148,0.15542782457753396,0.7577089171226375,NO-GO
scr_01999,-19.99029247994027,0.18649830130579148,0.15542782457753396,0.7577089171226375,NO-GO
