dataset,scenario,missing_ratio,method,family,runs,mae_mean,mae_std,rmse_mean,rmse_std,dtw_mean,dtw_std,snr_mean,snr_std,mae_ci95,rmse_ci95,dtw_ci95,snr_ci95
synthetic,right_lateral_temporal,0.4,spherical_spline,instant,23,0.2297043972227153,0.0,0.4226697561681415,0.0,1.7459822859509009,0.0,0.7420731423259299,0.0,0.0,0.0,0.0,0.0
synthetic,frontal_band,0.4,spherical_spline,instant,23,0.2307824215776189,0.0,0.42570788588655295,0.0,1.7386385573175005,0.0,0.7287711959322936,0.0,0.0,0.0,0.0,0.0
synthetic,right_lateral_temporal,0.4,tv,tv_time,69,0.23237477152550925,0.005433710905625264,0.43373963035747076,0.01675301710860788,1.5940292282900588,0.20650990646217926,0.6485011340888088,0.19720331239125796,0.001282118168678484,0.003952979462505283,0.048727307669819225,0.04653135842737962
synthetic,midline_central,0.4,spherical_spline,instant,23,0.233389908669129,0.0,0.43164913978838,0.0,1.674215851995909,0.0,0.6423561474461754,0.0,0.0,0.0,0.0,0.0
synthetic,midline_central,0.4,tv,tv_time,69,0.2340248726622151,0.0012560798088673336,0.43320718331168157,0.003942985661698573,1.6700326338157243,0.05129151346462717,0.6001241721443541,0.06261915114933116,0.0002963799090952356,0.0009303721974735362,0.012102554304818743,0.014775381464013153
synthetic,occipital_band,0.4,trss,tv_time,100,0.2347474948734773,0.02440739833469053,0.436430411313787,0.03975163636765398,1.6616490767471532,0.2959007145817148,0.6043986840633361,1.1142225585375094,0.004783850073599344,0.007791320728060179,0.0579965400580161,0.21838762147335183
synthetic,midline_central,0.4,gsmooth,instant,69,0.23582764054991912,0.0030897182030022855,0.436195565917068,0.0061028882783675555,1.6695742441668417,0.03390954931632544,0.5365734456060542,0.1344474201534609,0.0007290383888595975,0.0014400147668897022,0.008001170843511608,0.031723712045896246
synthetic,right_lateral_temporal,0.4,gsmooth,instant,69,0.23752928071474438,0.016256325173526834,0.44057335654844315,0.032562679534513646,1.629056305337046,0.12601179134474633,0.43355216892749815,0.6233065100916091,0.0038357818851471976,0.007683368470861049,0.02973327251981034,0.14707308046453227
synthetic,right_lateral_temporal,0.4,idw,instant,75,0.2376059549923406,0.02158068362660828,0.45598956944458224,0.03221819233579947,1.3626384209027285,0.19474919244661365,0.4922873242000036,1.0904153439771769,0.004884168492438428,0.007291663351007769,0.04407589148393773,0.24678422421049875
synthetic,frontal_band,0.4,tv,tv_time,69,0.23780808069795262,0.010278618224656397,0.44252164749969675,0.0243725464608269,1.5993656634614666,0.16690407825235848,0.4340571524027643,0.4125372568067255,0.002425304438095662,0.005750855203216015,0.03938206409405214,0.09734075319706777
synthetic,frontal_band,0.4,gsmooth,instant,69,0.2396421146727273,0.01277585703212288,0.4429228068329235,0.0269566534926425,1.660671110762875,0.11609119136329529,0.3797205861733731,0.5163513740815888,0.0030145435975193154,0.006360591465016525,0.027392444731706628,0.12183634529520956
synthetic,occipital_band,0.4,idw,instant,75,0.24084813195410054,0.024501197396677436,0.45393595398532927,0.0420261605119211,1.5327030941819981,0.23449226506675647,0.22258874152182756,1.0050032042703632,0.0055451429816764305,0.009511415513149114,0.053070595564797346,0.22745363724459677
synthetic,right_lateral_temporal,0.3,linear,instant,25,0.2420129750545545,0.01071111673478973,0.5408057621272,0.014997283388587078,0.9119669367621575,0.008296212425972095,-2.1773086198916105,0.643215148972102,0.0041987577600375746,0.005878935088326134,0.0032521152709810612,0.25214033839706396
synthetic,occipital_band,0.4,gsp,instant,23,0.24252399630689137,0.01814690640656768,0.45831168664894056,0.03688678068220689,1.550787945599458,0.17443788836372734,0.16194635413716923,0.7860500330073747,0.007416427450375511,0.015075193902388302,0.0712907155997714,0.321249413622071
synthetic,midline_central,0.4,gsp,instant,23,0.2435264720047035,0.01034657746908641,0.45436802460722725,0.02437244905752234,1.554861534895538,0.14316805484208653,0.1764603185776805,0.43310539422816,0.004228524655386861,0.009960733591355742,0.058511102011494086,0.17700508630478862
synthetic,midline_central,0.4,trss,tv_time,92,0.24391456645783816,0.008410232285336102,0.4495283163427587,0.018222824907775936,1.659851843625828,0.14608056201923378,0.22342910025861298,0.3483013055010517,0.0017185815639195353,0.003723727224947376,0.02985070473867733,0.07117332577922868
synthetic,left_lateral_temporal,0.4,spherical_spline,instant,23,0.2445938215465636,0.0,0.4551146175656926,0.0,1.4906971656772432,0.0,0.1454344564978232,0.0,0.0,0.0,0.0,0.0
synthetic,frontal_band,0.4,idw,instant,75,0.24540557783563652,0.02132491576545971,0.4593877936485793,0.03384145956662126,1.4644696127789643,0.1946970790130103,0.16246603417039773,0.8816883770649793,0.004826282776192629,0.007659043309898978,0.04406409710360937,0.19954486456121337
synthetic,midline_central,0.2,rbfi_mq,instant,23,0.2482399366799644,0.0,0.6984566924373681,0.0,1.3928850263915415,0.0,-7.162796788689409,0.0,0.0,0.0,0.0,0.0
synthetic,right_lateral_temporal,0.4,trss,tv_time,100,0.2503719619898528,0.036461228161665644,0.47357884528186184,0.06340800301281112,1.3941401872499752,0.30550007937710205,0.15832057902142935,1.6235577375385568,0.007146400719686466,0.01242796859051098,0.059878015557912,0.31821731655755714
synthetic,frontal_band,0.3,linear,instant,25,0.2506861677457819,0.01844117609287058,0.5531827564365416,0.03730691975944033,0.8378983297697427,0.029015249836631285,-2.7227046975528837,0.6795196903182646,0.007228941028405268,0.014624312545700608,0.011373977935959463,0.2663717186047597
synthetic,left_lateral_temporal,0.4,tv,tv_time,69,0.25119434445605415,0.007687027511657841,0.4703569967161002,0.01732583347968034,1.4323046700902893,0.05503374515582235,-0.11586022737067782,0.300492427833674,0.0018138023547820254,0.004088139077991665,0.012985557343813445,0.07090307305031875
synthetic,left_lateral_temporal,0.4,gsmooth,instant,69,0.2544355707332463,0.008643650615105813,0.4761805245221352,0.018627550631242627,1.455212334345288,0.0830637117551516,-0.25053229165899016,0.33995330550437175,0.0020395235760267,0.004395287404335384,0.01959940376822415,0.08021411463724298
synthetic,right_lateral_temporal,0.2,rbfi_mq,instant,23,0.257367603847329,0.0,0.7527403236627727,0.0,1.6135056262234178,0.0,-7.700158598624148,0.0,0.0,0.0,0.0,0.0
synthetic,frontal_band,0.4,trss,tv_time,100,0.2574705496564065,0.0315424359937906,0.48170073858259344,0.06079537658383043,1.4469497733714427,0.29402086931020166,-0.2719160208115822,1.1959846813386563,0.0061823174547829575,0.011915893810430764,0.05762809038479952,0.23441299754237663
synthetic,midline_central,0.4,idw,instant,69,0.2598759442088,0.012286576948428852,0.4879083045793007,0.028137562928947667,1.4671200603545882,0.1090429309395097,-0.4276791316628656,0.45599382661574706,0.0028990948929834863,0.0066392344532335236,0.025729363477685962,0.10759460340520283
synthetic,right_lateral_temporal,0.4,gsp,instant,23,0.2599086005567272,0.03836181071644678,0.49877774748255393,0.07478166046141622,1.252906784781876,0.18642693002788385,-0.3745945966303423,1.3203213500809352,0.015678021348068293,0.030562386062121548,0.07619049607527803,0.5395998240511772
synthetic,midline_central,0.4,linear,instant,23,0.2698920043692465,0.0,0.5177327865745452,0.0,1.2682863395045176,0.0,-0.8243638630247291,0.0,0.0,0.0,0.0,0.0
synthetic,left_lateral_temporal,0.4,trss,tv_time,100,0.271298801918518,0.026675180747733285,0.5115792551895046,0.04708639308068856,1.3709000697669886,0.24217873108335586,-0.7888219130339764,1.0256491811283563,0.005228335426555724,0.009228933043814957,0.047467031292337744,0.20102723950115783
synthetic,left_lateral_temporal,0.4,idw,instant,75,0.2717980998927218,0.02341066829030428,0.5175803825499957,0.038106783713627496,1.2968275969988496,0.11250644012211115,-0.8523329487851498,0.8867607603341379,0.005298333010611955,0.008624377039325363,0.025462604408106413,0.20069285296479897
synthetic,frontal_band,0.4,gsp,instant,23,0.27418288619478576,0.030399023463072494,0.5206821961059935,0.06512076844698896,1.3031498094580762,0.17120831933710853,-0.9533081492321126,1.0644300159785969,0.012423723748007265,0.026614092996313878,0.0699708286810165,0.43502004212961815
synthetic,occipital_band,0.4,linear,instant,25,0.2758012792637503,0.027983927341641283,0.5337896627415992,0.04762334894873995,1.204489894251065,0.15981597612210705,-1.0294562050604608,1.182483970323247,0.010969699517923382,0.018668352787906062,0.06264786263986596,0.4635337163667128
synthetic,left_lateral_temporal,0.4,gsp,instant,23,0.2840606579691046,0.023399963958383,0.5398517432095906,0.04939275431744281,1.2767807468372347,0.10804357123140411,-1.339661097533192,0.7845062582212627,0.009563290356528243,0.02018623840132661,0.044156138217982095,0.320618491003945
synthetic,left_lateral_temporal,0.4,linear,instant,25,0.29537469348531564,0.023572562261345752,0.5664084484947952,0.03739635876484927,1.2169113168468093,0.05280410615963015,-1.717252022531425,0.8431024138092255,0.009240444406447536,0.014659372635820914,0.02069920961457502,0.3304961462132164
synthetic,frontal_band,0.4,linear,instant,25,0.300981797529946,0.021409441768553063,0.5843195979334862,0.034575450913183196,1.0872479046826569,0.05972115284416619,-1.8847056677582719,0.7714263221536809,0.008392501173272799,0.013553576757967811,0.023410691914913146,0.3023991182842429
synthetic,midline_central,0.3,rbfi_tps,instant,23,0.305417305058985,0.0,0.6656006943616568,0.0,1.344392695119974,0.0,-4.366628298888247,0.0,0.0,0.0,0.0,0.0
synthetic,right_lateral_temporal,0.4,linear,instant,25,0.3168936612468661,0.02760501699064939,0.6158888940678939,0.040635356318156644,1.0519146979438778,0.04713248899380204,-2.1932124839154996,1.1315727126021713,0.010821166660334561,0.015929059676717403,0.018475935685570398,0.44357650334005116
synthetic,right_lateral_temporal,0.3,rbfi_tps,instant,23,0.3169841722762045,0.0,0.7073736345523166,0.0,1.7267302286413753,0.0,-4.582329207743391,0.0,0.0,0.0,0.0,0.0
synthetic,occipital_band,0.2,rbfi_mq,instant,23,0.3234206195696615,0.0,0.9191607179943648,0.0,2.140578921952418,0.0,-9.622819494665046,0.0,0.0,0.0,0.0,0.0
synthetic,right_lateral_temporal,0.1,tikhonov,instant,75,0.34663269130912944,0.14764697038140126,0.42514573654349064,0.15393630385695012,3.0045246289943375,1.2494947750771845,6.335947699074611,5.440302166644313,0.03341565509313601,0.03483906525618754,0.2827872887388026,1.2312562887909195
synthetic,left_lateral_temporal,0.3,rbfi_tps,instant,23,0.3487141276977663,0.0,0.7548440551527974,0.0,1.6936782590187287,0.0,-5.21663603441533,0.0,0.0,0.0,0.0,0.0
synthetic,frontal_band,0.1,tikhonov,instant,75,0.34908509074948263,0.1441554670871315,0.43428997440498335,0.1433605665397318,2.9879291102512364,1.214639607164613,6.3246670397322795,5.411591369757351,0.032625453509341346,0.03244555057969343,0.27489882163262924,1.2247584237568756
