missing_ratio,seed,method,params,mae,rmse,snr
0.4,21,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.09064603385769072,0.18572000972652153,7.536317262683644
0.4,42,gsp,{},0.07870738688257271,0.16147979222168915,8.685809946828572
0.4,42,tikhonov,{'alpha': 0.5},0.20085355641741137,0.26002300101832815,4.629454893454861
0.4,42,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.09212001834773456,0.18873587687350593,7.408388758482214
0.5,1,gsp,{},0.1055874395817642,0.19214393422651846,7.159360521648396
0.5,1,tikhonov,{'alpha': 0.5},0.21159033801836435,0.2742560536619284,4.148197832133306
0.5,1,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.12130758916841189,0.21967655026678035,6.075903351890991
0.5,7,gsp,{},0.10697671540285802,0.1939016207251338,7.0919000151718254
0.5,7,tikhonov,{'alpha': 0.5},0.21152374786335715,0.2738258020371626,4.146561342387798
0.5,7,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.122137404654366,0.21937811517110342,6.054752936905354
0.5,13,gsp,{},0.10683687471911237,0.19396615677365128,7.123281816502178
0.5,13,tikhonov,{'alpha': 0.5},0.2119067112155995,0.27495682988656983,4.125881512663441
0.5,13,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.12204028725215896,0.22040337532020807,6.04743779286305
0.5,21,gsp,{},0.10633594402634414,0.19380604299001164,7.084251711102177
0.5,21,tikhonov,{'alpha': 0.5},0.21114306083461268,0.27390065833598487,4.157315930676395
0.5,21,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.12158043019711062,0.21926113715950812,6.077232994351679
0.5,42,gsp,{},0.1061360990120304,0.1925703428256857,7.153361624103839
0.5,42,tikhonov,{'alpha': 0.5},0.21175207218159997,0.27402435884243614,4.152162041787815
0.5,42,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.1214450473315231,0.21887254565190742,6.10836285070082
