method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
rbfi_tps,0.3,snr,-2.8117,0.3375,-2.8117,-2.9915,-2.6318,16
rbfi_tps,0.3,dtw,,,,,,0
rbfi_tps,0.4,mae,0.3652,0.0172,0.3652,0.3561,0.3744,16
rbfi_tps,0.4,rmse,0.6918,0.0345,0.6918,0.6734,0.7102,16
rbfi_tps,0.4,snr,-3.3043,0.3939,-3.3043,-3.5142,-3.0944,16
rbfi_tps,0.4,dtw,,,,,,0
sobolev,0.1,mae,0.5338,0.0817,0.5537,0.4902,0.5774,16
sobolev,0.1,rmse,0.6033,0.0867,0.6246,0.5571,0.6495,16
sobolev,0.1,snr,1.6442,1.5661,1.1619,0.8098,2.4787,16
sobolev,0.1,dtw,,,,,,0
sobolev,0.2,mae,0.5465,0.0723,0.5651,0.508,0.585,16
sobolev,0.2,rmse,0.6181,0.0735,0.6365,0.5789,0.6572,16
sobolev,0.2,snr,1.4497,1.3815,1.0224,0.7136,2.1859,16
sobolev,0.2,dtw,,,,,,0
sobolev,0.3,mae,0.5561,0.0625,0.5712,0.5228,0.5895,16
sobolev,0.3,rmse,0.6314,0.0618,0.6455,0.5985,0.6644,16
sobolev,0.3,snr,1.2941,1.1999,0.9383,0.6547,1.9335,16
sobolev,0.3,dtw,,,,,,0
sobolev,0.4,mae,0.5693,0.052,0.5818,0.5415,0.597,16
sobolev,0.4,rmse,0.6454,0.0494,0.6564,0.6192,0.6717,16
sobolev,0.4,snr,1.0847,1.0091,0.7734,0.547,1.6224,16
sobolev,0.4,dtw,,,,,,0
spherical_spline,0.1,mae,0.1005,0.0108,0.1005,0.0947,0.1062,16
spherical_spline,0.1,rmse,0.3845,0.0234,0.3845,0.372,0.397,16
spherical_spline,0.1,snr,-4.0254,0.5786,-4.0254,-4.3337,-3.7171,16
spherical_spline,0.1,dtw,,,,,,0
spherical_spline,0.2,mae,0.2282,0.0081,0.2282,0.2239,0.2325,16
spherical_spline,0.2,rmse,0.5956,0.0257,0.5956,0.5819,0.6093,16
spherical_spline,0.2,snr,-5.1163,0.3016,-5.1163,-5.277,-4.9556,16
spherical_spline,0.2,dtw,,,,,,0
spherical_spline,0.3,mae,0.3225,0.0173,0.3225,0.3133,0.3317,16
spherical_spline,0.3,rmse,0.7189,0.0431,0.7189,0.6959,0.7418,16
spherical_spline,0.3,snr,-4.5408,0.3998,-4.5408,-4.7539,-4.3278,16
spherical_spline,0.3,dtw,,,,,,0
spherical_spline,0.4,mae,0.4618,0.0137,0.4618,0.4544,0.4691,16
spherical_spline,0.4,rmse,0.8913,0.0418,0.8913,0.8691,0.9136,16
spherical_spline,0.4,snr,-5.1178,0.1215,-5.1178,-5.1826,-5.053,16
spherical_spline,0.4,dtw,,,,,,0
spline_surface,0.1,mae,0.411,0.0489,0.411,0.385,0.4371,16
spline_surface,0.1,rmse,1.7403,0.0019,1.7403,1.7392,1.7413,16
spline_surface,0.1,snr,-15.0577,2.1259,-15.0577,-16.1905,-13.9249,16
spline_surface,0.1,dtw,,,,,,0
spline_surface,0.2,mae,0.2087,0.003,0.2087,0.2071,0.2103,16
spline_surface,0.2,rmse,0.5611,0.0197,0.5611,0.5506,0.5716,16
spline_surface,0.2,snr,-4.5433,0.1752,-4.5433,-4.6366,-4.4499,16
spline_surface,0.2,dtw,,,,,,0
spline_surface,0.3,mae,0.2983,0.0315,0.2983,0.2816,0.3151,16
spline_surface,0.3,rmse,0.6443,0.0696,0.6443,0.6072,0.6814,16
spline_surface,0.3,snr,-3.625,0.5194,-3.625,-3.9018,-3.3482,16
spline_surface,0.3,dtw,,,,,,0
spline_surface,0.4,mae,0.4102,0.0576,0.4102,0.3795,0.4409,16
spline_surface,0.4,rmse,0.77,0.1055,0.77,0.7138,0.8262,16
spline_surface,0.4,snr,-4.0384,1.0522,-4.0384,-4.5991,-3.4777,16
spline_surface,0.4,dtw,,,,,,0
temporal_laplacian,0.1,mae,0.4258,0.0945,0.4117,0.3754,0.4761,16
temporal_laplacian,0.1,rmse,0.4897,0.0957,0.4727,0.4387,0.5407,16
temporal_laplacian,0.1,snr,3.7831,1.9284,3.8625,2.7555,4.8107,16
temporal_laplacian,0.1,dtw,,,,,,0
temporal_laplacian,0.2,mae,0.4509,0.0839,0.4391,0.4062,0.4956,16
temporal_laplacian,0.2,rmse,0.5241,0.0799,0.5075,0.4815,0.5666,16
temporal_laplacian,0.2,snr,3.3555,1.7378,3.4041,2.4295,4.2815,16
temporal_laplacian,0.2,dtw,,,,,,0
temporal_laplacian,0.3,mae,0.4773,0.0716,0.4661,0.4391,0.5154,16
temporal_laplacian,0.3,rmse,0.5588,0.0621,0.5422,0.5257,0.5918,16
temporal_laplacian,0.3,snr,2.9101,1.5231,2.9468,2.0985,3.7217,16
temporal_laplacian,0.3,dtw,,,,,,0
temporal_laplacian,0.4,mae,0.5036,0.0597,0.4935,0.4718,0.5355,16
temporal_laplacian,0.4,rmse,0.592,0.0475,0.5806,0.5667,0.6173,16
temporal_laplacian,0.4,snr,2.4813,1.3068,2.5246,1.7849,3.1776,16
temporal_laplacian,0.4,dtw,,,,,,0
