missing_ratio,seed,method,params,mae,rmse,snr
0.5,42,puy,{'alpha': 0.5},0.16341560041858372,0.21040885594416825,5.13680520178417
0.5,42,gsp,{},0.0734511925760471,0.13494608998401444,9.040540321240153
0.5,77,puy,{'alpha': 0.5},0.16364540390067073,0.20957274514763022,5.166564445257638
0.5,77,gsp,{},0.07183591827676107,0.13130961909181704,9.271641620465914
0.5,101,puy,{'alpha': 0.5},0.16266566464186735,0.2073556089522917,5.2628757009873075
0.5,101,gsp,{},0.07054299215031926,0.12841627390569843,9.481909086377222
0.6,1,puy,{'alpha': 0.5},0.16977945748734954,0.2187198283665594,4.7892385856534645
0.6,1,gsp,{},0.09058426535783708,0.15486586742657887,7.8603574868566595
0.6,7,puy,{'alpha': 0.5},0.16941101666758906,0.21709484129514758,4.843856729773859
0.6,7,gsp,{},0.08907197247655384,0.15115623199257264,8.006420446128747
0.6,13,puy,{'alpha': 0.5},0.16958890764847873,0.2183482782376027,4.800243387180442
0.6,13,gsp,{},0.09029755683912223,0.15450637580193452,7.858500118160626
0.6,21,puy,{'alpha': 0.5},0.16889169709993673,0.21737807228177813,4.817160570727697
0.6,21,gsp,{},0.08954729782870294,0.15281045005888544,7.930557213706599
0.6,42,puy,{'alpha': 0.5},0.17039733269533605,0.2196311968047998,4.740700462578275
0.6,42,gsp,{},0.09127708716183833,0.15578719073654315,7.785055661142848
0.6,77,puy,{'alpha': 0.5},0.16935303394089685,0.2173265581017704,4.8440148130224365
0.6,77,gsp,{},0.08831061309757147,0.15037320118117334,8.087425384355797
0.6,101,puy,{'alpha': 0.5},0.1699785687417721,0.2188288138940045,4.788332080862748
0.6,101,gsp,{},0.08993975617247534,0.15389024456524716,7.8802032504923725
