method,missing_ratio,metric,mean,median,std,ci_lo,ci_hi,n,family
linear,0.1,snr,0.17576078591130337,-0.19046608861694203,1.1174270413869993,-0.5542915477948696,0.9058131196174763,9,instant
linear,0.2,mae,3.304633269391181e-06,3.2687534130724427e-06,2.767591211852359e-07,3.123817310216827e-06,3.485449228565535e-06,9,instant
linear,0.2,rmse,1.1329306873394752e-05,1.120629960763446e-05,9.488160283807347e-07,1.0709413734852671e-05,1.1949200011936833e-05,9,instant
linear,0.2,snr,6.839526214346312,7.096768118032606,1.2425262984992338,6.027742365993479,7.651310062699144,9,instant
linear,0.3,mae,8.94805945023723e-06,8.62392448043904e-06,7.726741436501624e-07,8.44324567638579e-06,9.45287322408867e-06,9,instant
linear,0.3,rmse,2.2816920674395103e-05,2.1990399356022923e-05,1.9702645853961694e-06,2.1529681145269606e-05,2.41041602035206e-05,9,instant
linear,0.3,snr,4.624808524952593,4.654473455024372,0.7186447660561767,4.155293944462557,5.094323105442629,9,instant
linear,0.4,mae,1.4394241551673974e-05,1.4471398680573612e-05,8.777446301110241e-07,1.3820781726668105e-05,1.4967701376679843e-05,9,instant
linear,0.4,rmse,3.164915546909156e-05,3.18188037245642e-05,1.929929837624089e-06,3.0388267975177155e-05,3.2910042963005964e-05,9,instant
linear,0.4,snr,2.232785728758982,2.036554000888681,1.2061885000119439,1.4447425754178451,3.0208288821001186,9,instant
mean,0.1,mae,2.423564803876278e-06,2.5429754889372336e-06,2.5598594704604415e-07,2.2563206518061957e-06,2.59080895594636e-06,9,instant
mean,0.1,rmse,1.0547443463901994e-05,1.1067123171930355e-05,1.114060288259325e-06,9.819590742239235e-06,1.1275296185564754e-05,9,instant
mean,0.1,snr,-0.16969905452251055,0.20859641987658067,1.3685108997748126,-1.063792842375388,0.724394733330367,9,instant
mean,0.2,mae,4.4821494591820365e-06,4.344109393125858e-06,4.7247445138620504e-07,4.173466150943049e-06,4.7908327674210236e-06,9,instant
mean,0.2,rmse,1.3301080025165499e-05,1.2891436843470386e-05,1.402099716880246e-06,1.2385041543470404e-05,1.4217118506860593e-05,9,instant
mean,0.2,snr,3.9774361998503043,3.966326171764465,1.2442986191667038,3.164494435328058,4.790377964372551,9,instant
mean,0.3,mae,9.486825061376658e-06,9.507673017874162e-06,7.991103517630748e-07,8.964739631558115e-06,1.0008910491195201e-05,9,instant
mean,0.3,rmse,2.250889735749786e-05,2.2558362221652076e-05,1.8960076494273316e-06,2.1270172359872005e-05,2.3747622355123716e-05,9,instant
mean,0.3,snr,2.970371455397315,2.7994038789854523,0.6918262472276674,2.5183783072085726,3.4223646035860575,9,instant
mean,0.4,mae,1.275428486776888e-05,1.292021662511418e-05,1.1666177033330933e-06,1.1992094634924593e-05,1.3516475100613167e-05,9,instant
mean,0.4,rmse,2.6464216770205545e-05,2.6808513141266235e-05,2.420647187125833e-06,2.4882727274616666e-05,2.8045706265794424e-05,9,instant
mean,0.4,snr,3.701474854139704,4.1272988497180965,0.9599848280298877,3.074284766493511,4.328664941785897,9,instant
