dataset,graph,graph_method,interp_label,method,family,missing_ratio,mae,rmse,dtw,snr
synthetic_alpha,knn__k3,knn,spline_temporal__alpha0_5,spline_temporal,tv_time,0.3,0.2340321396931449,0.4710218894794224,3.1391548035417567,6.292724309508343
synthetic_alpha,knn__k3,knn,wavelet_temporal__alpha0_5_wavelet_level1,wavelet_temporal,tv_time,0.3,0.1700667274182711,0.3379111873847119,1.9899996352536768,6.57767542178947
synthetic_alpha,knn__k3,knn,directed_tv__alpha0_5_beta0_5_n_iter10,directed_tv,tv_time,0.3,0.20418103485615913,0.4759711969175209,2.4215958683053302,3.716750702213751
synthetic_alpha,knn__k3,knn,linear,linear,instant,0.4,0.26569661932302446,0.5367399035445175,2.5435760942886323,2.6299592292918095
synthetic_alpha,knn__k3,knn,nearest,nearest,instant,0.4,0.2900651859963976,0.5997558052327439,2.922641332083956,1.7137379914449564
synthetic_alpha,knn__k3,knn,mean,mean,instant,0.4,0.22419172723242395,0.42806304422499863,2.1968428300457483,4.514791029177927
synthetic_alpha,knn__k3,knn,idw__power2,idw,instant,0.4,0.23414072874280797,0.4495593228078655,2.244135530685915,4.079296233818429
synthetic_alpha,knn__k3,knn,spherical_spline,spherical_spline,instant,0.4,0.3790520165149041,0.786069106396496,4.260555219861545,-0.6551402562385645
synthetic_alpha,knn__k3,knn,rbfi_tps,rbfi_tps,instant,0.4,0.30742312621121765,0.6176309894002845,3.062901804197591,1.3748333746624564
synthetic_alpha,knn__k3,knn,rbfi_mq,rbfi_mq,instant,0.4,0.3104314405780346,0.6313696051005514,3.1409602857512327,1.1761631813966513
synthetic_alpha,knn__k3,knn,spline_surface,spline_surface,instant,0.4,0.3757434827656201,0.8263673424100285,4.664387313640828,-0.8384779001308061
synthetic_alpha,knn__k3,knn,gsp,gsp,instant,0.4,0.25209015409790403,0.49641259465742577,2.4068672926329957,3.2013060109004106
synthetic_alpha,knn__k3,knn,tikhonov__alpha0_1,tikhonov,instant,0.4,0.3269450764336955,0.49451516702479237,2.5375057339858627,3.2179590034072802
synthetic_alpha,knn__k3,knn,tikhonov__alpha1,tikhonov,instant,0.4,0.48232567113323327,0.5791495316177776,3.8410431692934797,1.8183840459850846
synthetic_alpha,knn__k3,knn,bgsrp__bandwidth0_5_gamma0_1,bgsrp,instant,0.4,0.5586911598890039,0.6621785150589662,3.9763389727695495,0.6836628443485913
synthetic_alpha,knn__k3,knn,bgsrp__bandwidth0_5_gamma1,bgsrp,instant,0.4,0.5621972436395875,0.6595976709997398,4.23245311411686,0.7000841698568253
synthetic_alpha,knn__k3,knn,gsmooth__lam0_5_n_iter20,gsmooth,instant,0.4,0.2346216895165093,0.45177327009701645,2.254776887752145,4.018603188423854
synthetic_alpha,knn__k3,knn,puy__alpha0_5,puy,instant,0.4,0.49634067428442374,0.6040629325862586,3.6578524962074637,1.456509129494755
synthetic_alpha,knn__k3,knn,sobolev__alpha1_order2,sobolev,instant,0.4,0.5806824423199556,0.6537932236302182,5.3578180265774655,0.7342157355719455
synthetic_alpha,knn__k3,knn,graph_time_tikhonov__alpha0_5_beta0_5,graph_time_tikhonov,tv_time,0.4,0.44824189876515697,0.5314384563141881,3.975970347740774,2.5648664623913286
synthetic_alpha,knn__k3,knn,trss__alpha0_5_beta0_5_lr0_01_n_iter30,trss,tv_time,0.4,0.17221588005945526,0.3380692337484373,1.9765466724726393,6.5905430904191995
synthetic_alpha,knn__k3,knn,tv__lam0_5_n_iter20,tv,tv_time,0.4,0.2254262869810312,0.43061727267272837,2.2102050273615186,4.459086682592276
synthetic_alpha,knn__k3,knn,temporal_laplacian__alpha0_5_beta0_5,temporal_laplacian,tv_time,0.4,0.5089076585954628,0.5849143490491937,4.40530383398387,1.7094740766416485
synthetic_alpha,knn__k3,knn,heat_diffusion_temporal__alpha0_5_beta0_5_n_iter10,heat_diffusion_temporal,tv_time,0.4,0.2708590818825396,0.5008873593290141,2.539897571757802,3.122914477269841
synthetic_alpha,knn__k3,knn,spline_temporal__alpha0_5,spline_temporal,tv_time,0.4,0.2708452465817722,0.7202068535538144,3.7090013254929564,5.24726565579967
synthetic_alpha,knn__k3,knn,wavelet_temporal__alpha0_5_wavelet_level1,wavelet_temporal,tv_time,0.4,0.24398416579795654,0.42180609118908785,2.345639185136812,4.64590360456634
synthetic_alpha,knn__k3,knn,directed_tv__alpha0_5_beta0_5_n_iter10,directed_tv,tv_time,0.4,0.28161474661943775,0.5379269846542094,2.6033798554056635,2.4866753209938453
synthetic_alpha,knn__k5,knn,linear,linear,instant,0.1,0.03891456329207756,0.20001948157599972,0.9884296117229098,12.46515085418891
synthetic_alpha,knn__k5,knn,nearest,nearest,instant,0.1,0.03997194705623696,0.21997847910038276,1.0613494394646628,11.824149626124761
synthetic_alpha,knn__k5,knn,mean,mean,instant,0.1,0.03357369720457702,0.16636901346346486,0.7614024200493795,13.98703133686148
synthetic_alpha,knn__k5,knn,idw__power2,idw,instant,0.1,0.034764857135763036,0.17434959218631002,0.8037252463855566,13.648826674269706
synthetic_alpha,knn__k5,knn,spherical_spline,spherical_spline,instant,0.1,0.05831194156848674,0.3046059694314027,1.5659440587722429,9.128410134077551
synthetic_alpha,knn__k5,knn,rbfi_tps,rbfi_tps,instant,0.1,0.04382733130362105,0.23415068162061684,1.1377310841412251,11.235135164136315
synthetic_alpha,knn__k5,knn,rbfi_mq,rbfi_mq,instant,0.1,0.046304463938537425,0.24840556548833312,1.22557993413987,10.755722112882939
