dataset,scenario,missing_ratio,grupo,method,family,runs,mae_mean,mae_std,rmse_mean,rmse_std,dtw_mean,dtw_std,snr_mean,snr_std,mae_ci95,rmse_ci95,dtw_ci95,snr_ci95
mne_sample,midline_central,0.4,GSP,gsmooth,instant,69,9.51588014791365e-06,1.5194155803653246e-07,2.165891796648236e-05,3.283464160205599e-07,7.266627706822469e-05,1.262959275929375e-06,5.603400124798529,0.7491374534587556,3.5851563603481394e-08,7.747539626456836e-08,2.980031624968727e-07,0.1767636807697407
mne_sample,midline_central,0.4,TV/Tiempo,tv,tv_time,69,9.485228695349418e-06,4.861319498684681e-09,2.1577849897615555e-05,7.553196903657567e-09,7.290689689434817e-05,5.4593031591381865e-08,4.814538934249593,0.1083703872181693,1.1470588261444127e-09,1.782224183432349e-09,1.2881568214107031e-08,0.0255706725684091
mne_sample,occipital_band,0.1,Baseline,idw,instant,69,1.5826995229766716e-06,5.1218402560617867e-08,5.708743886070256e-06,1.9582669498212972e-08,1.059405462848188e-05,1.6703701101849653e-07,8.278442244686435,1.1009619791123515,1.208530332846264e-08,4.620653691548519e-09,3.9413430413983126e-08,0.259778884258057
mne_sample,occipital_band,0.1,GSP,gsp,instant,23,1.5828208094466916e-06,1.1530501904062165e-07,5.718558928362836e-06,4.303483799993016e-07,1.04273388531239e-05,1.02866511555478e-06,8.66816819031081,2.8244906056654338,4.7123806626866343e-08,1.7587832698009282e-07,4.204033475084818e-07,1.1543361271540786
mne_sample,occipital_band,0.1,TV/Tiempo,trss,tv_time,92,1.588628535077817e-06,1.2056302453727046e-07,5.7406522584651695e-06,4.6510626078567563e-07,1.0483674127932427e-05,1.1103632755463755e-06,8.64010742107507,2.7672714734457324,2.4636345849970925e-08,9.504173225316213e-08,2.2689621283522586e-07,0.565475670025947
mne_sample,occipital_band,0.2,Baseline,idw,instant,69,3.968916145888918e-06,1.6662110717201523e-09,9.472801354947914e-06,2.7883896351487932e-08,2.697149371651401e-05,8.476231754372845e-08,9.24848614635238,1.186433684364045,3.931529529283693e-10,6.579380233272922e-09,2.0000200457776072e-08,0.2799464691948413
mne_sample,occipital_band,0.2,GSP,gsp,instant,23,3.875014844227357e-06,1.0627667900015264e-07,9.235778046264372e-06,2.1981627034932294e-07,2.5835606088666955e-05,1.0116639937056072e-06,10.086116562725906,3.2407699310113216,4.343403012131135e-08,8.98363271917172e-08,4.1345518874552326e-07,1.3244645967868802
mne_sample,occipital_band,0.2,TV/Tiempo,trss,tv_time,92,3.857817607090936e-06,8.025286443639457e-08,9.259824070319569e-06,3.256906460514011e-07,2.5918445738408757e-05,1.3116526029691392e-06,9.833670508072512,3.17004655002018,1.6399201424269534e-08,6.655297034077248e-08,2.680285044754561e-07,0.6477803909328871
mne_sample,occipital_band,0.3,Baseline,idw,instant,69,5.042210895196713e-06,8.68267460685188e-08,1.043937478125172e-05,9.33361652752847e-08,3.405833119029056e-05,3.723407086715594e-07,8.377841214538073,1.0538366832255146,2.0487315316395378e-08,2.2023253605622214e-08,8.785612554989165e-08,0.2486593751214349
mne_sample,occipital_band,0.3,GSP,gsmooth,instant,69,4.892684459970111e-06,5.3462531482984764e-08,1.0195933530371564e-05,5.262869474273506e-08,3.3490424643284646e-05,2.231153171556503e-07,6.091400357781464,0.9556547338911924,1.2614819622979673e-08,1.2418070614253604e-08,5.264545847287844e-08,0.225492728374092
mne_sample,occipital_band,0.3,TV/Tiempo,tv,tv_time,69,4.886095814818389e-06,1.2800595445376948e-08,1.022968532238245e-05,3.29625336083731e-08,3.363549219012875e-05,1.1868020956987981e-07,5.14680618195852,0.1763698515851315,3.0203807812871307e-09,7.777716547492174e-09,2.8003339815996983e-08,0.0416155726817056
mne_sample,occipital_band,0.4,Baseline,idw,instant,69,6.313701377939031e-06,7.84828579930328e-08,1.1316594491426418e-05,1.368294746083604e-07,4.096664763238332e-05,3.78851228820061e-07,6.730917326939685,0.6101488846967779,1.8518522591717045e-08,3.228577273488992e-08,8.93923236132262e-08,0.1439684562273623
mne_sample,occipital_band,0.4,GSP,gsp,instant,23,6.172929283889976e-06,1.2942477168941364e-07,1.1100209523601172e-05,2.5457649118915365e-07,3.987259151802516e-05,1.3714710861841107e-06,7.403576641587371,1.9208762362390035,5.2894383649245986e-08,1.0404242107030437e-07,5.605041202665235e-07,0.7850395504360486
mne_sample,occipital_band,0.4,TV/Tiempo,tv,tv_time,69,6.169707699054007e-06,4.662993132718052e-09,1.1143851796830647e-05,9.576078520684594e-09,4.1115415112639e-05,3.600033477957383e-08,4.66018882097683,0.1033735293428207,1.1002624761820782e-09,2.259535788580694e-09,8.494504787072074e-09,0.0243916326121876
mne_sample,right_lateral_temporal,0.1,Baseline,idw,instant,69,1.8609716316070484e-06,7.319282314094589e-08,6.794881353011519e-06,2.698593911074127e-07,1.260604354325653e-05,3.380342377022703e-07,3.110391003467585,0.2101100473489478,1.7270305689014054e-08,6.367501590287736e-08,7.976129855285155e-08,0.0495767834923091
