method,missing_ratio,metric,mean,median,std,ci_lo,ci_hi,n,family
linear,0.4,rmse,0.5758165725636767,0.5695961462168219,0.023506431983027324,0.5664120411051402,0.5852211040222132,24,instant
linear,0.4,snr,-2.0197793047499837,-2.0409960072172297,0.23495047324477186,-2.1137790712149203,-1.925779538285047,24,instant
mean,0.4,mae,0.2606213303633729,0.2610509096263227,0.018275443470521575,0.25330963018014974,0.2679330305465961,24,instant
mean,0.4,rmse,0.46733138737792407,0.4587113167545196,0.021219823699061238,0.45884168976381945,0.4758210849920287,24,instant
mean,0.4,snr,-0.22825951832295063,-0.2628429625981405,0.30263910224500157,-0.34934037651961,-0.1071786601262913,24,instant
nearest,0.4,mae,0.3297706969000528,0.3315668339659925,0.025363858283417844,0.3196230401519552,0.3399183536481504,24,instant
nearest,0.4,rmse,0.6333887817746078,0.6286301530250877,0.029939876484375016,0.6214103364509914,0.6453672270982241,24,instant
nearest,0.4,snr,-2.8240485183579884,-2.809760919981502,0.3366327047977169,-2.9587296500809246,-2.6893673866350523,24,instant
puy,0.4,mae,0.46475676774419794,0.4594517879706673,0.09378522286762118,0.42723486397584876,0.5022786715125471,24,instant
puy,0.4,rmse,0.6172159380724151,0.6147712375779051,0.044336542894133524,0.5994776265876396,0.6349542495571907,24,instant
puy,0.4,snr,5.301858092493391,3.2011029846324153,5.90568667824039,2.9390913318946787,7.6646248530921035,24,instant
rbfi_mq,0.4,mae,0.36913281934888104,0.370089829508029,0.01773054935764075,0.36203912221392387,0.3762265164838382,24,instant
rbfi_mq,0.4,rmse,0.7114835786544029,0.7397884872547651,0.040987425832587576,0.695085193058268,0.7278819642505379,24,instant
rbfi_mq,0.4,snr,-3.734999198474896,-3.839789259596472,0.676689182453816,-4.005731256348812,-3.4642671406009793,24,instant
rbfi_tps,0.4,mae,0.3491321564185987,0.3486117326531134,0.027077724569530108,0.33829881034873993,0.35996550248845743,24,instant
rbfi_tps,0.4,rmse,0.6714156563678327,0.6583670707277784,0.04058769579598989,0.6551771960937042,0.6876541166419613,24,instant
rbfi_tps,0.4,snr,-3.271584183596507,-3.2061123874996738,0.32160505874165196,-3.400253004723601,-3.1429153624694135,24,instant
sobolev,0.4,mae,0.5636743725259946,0.5750786652517401,0.054443217982637515,0.5418925488706067,0.5854561961813826,24,instant
sobolev,0.4,rmse,0.6403360832373145,0.6496371849759568,0.05206297116540249,0.6195065566420644,0.6611656098325646,24,instant
sobolev,0.4,snr,1.1581037529370797,0.8626730140073828,1.0496962655021023,0.7381377811574958,1.5780697247166635,24,instant
spherical_spline,0.4,mae,0.3873461468462737,0.4484621070391538,0.10808654755268465,0.34410252155095966,0.4305897721415878,24,instant
spherical_spline,0.4,rmse,0.743330809344239,0.8508667821350362,0.2164612686366895,0.6567282653291229,0.8299333533593551,24,instant
spherical_spline,0.4,snr,-3.499485017687927,-5.000120678320091,2.339935144425237,-4.4356540497456844,-2.5633159856301697,24,instant
spline_surface,0.4,mae,0.3791342413848479,0.3544730713040673,0.06466773351432835,0.3532617595625587,0.40500672320713715,24,instant
spline_surface,0.4,rmse,0.7235338015749506,0.6678272000332406,0.1084762013006865,0.6801342823126718,0.7669333208372294,24,instant
spline_surface,0.4,snr,-3.760953246325185,-3.2061123874996738,0.9395048264406901,-4.1368334608166055,-3.385073031833764,24,instant
temporal_laplacian,0.4,mae,0.49457023897779256,0.49180604639576175,0.06371597496342893,0.46907853988081555,0.5200619380747695,24,tv_time
temporal_laplacian,0.4,rmse,0.5861317873379375,0.5745987550697402,0.0510666516250738,0.5657008715768005,0.6065627030990745,24,tv_time
temporal_laplacian,0.4,snr,2.6656707944153037,2.679262905626951,1.3966065296137475,2.1069118108131324,3.224429778017475,24,tv_time
tikhonov,0.4,mae,0.3595745905115617,0.3343323397823747,0.0978141793040182,0.32044076845725034,0.3987084125658731,24,instant
tikhonov,0.4,rmse,0.5375299922797633,0.5263376888473466,0.06382847393728187,0.511993284219307,0.5630667003402196,24,instant
tikhonov,0.4,snr,9.944875593975114,9.865908740286361,5.3423207366907715,7.807502152268734,12.082249035681494,24,instant
trss,0.4,mae,0.2741899420938952,0.2813339999877894,0.02869205030739542,0.2627107312157558,0.2856691529720346,24,tv_time
trss,0.4,rmse,0.49850062581465027,0.4942050677666052,0.04273308706252302,0.4814038302699222,0.5155974213593784,24,tv_time
trss,0.4,snr,-0.7506826774821377,-0.7456532737811741,0.5968443303769901,-0.9894701414806039,-0.5118952134836715,24,tv_time
tv,0.4,mae,0.2615278802947829,0.26137320896527927,0.019193685266909618,0.25384880688082395,0.26920695370874187,24,tv_time
tv,0.4,rmse,0.47190143947052077,0.46194683541674064,0.022383561086528125,0.4629461499334136,0.48085672900762794,24,tv_time
tv,0.4,snr,-0.2939689175953553,-0.27293478410465033,0.3236270794556779,-0.4234467154922367,-0.1644911196984739,24,tv_time
wavelet_temporal,0.4,mae,0.274308409221133,0.27664548238306486,0.01583874554648567,0.26797159124453696,0.280645227197729,24,tv_time
wavelet_temporal,0.4,rmse,0.4585457150813481,0.46025373056119023,0.013191767263382802,0.4532679089765444,0.46382352118615183,24,tv_time
wavelet_temporal,0.4,snr,13.00227010556209,12.177742166487212,3.8143558391989183,11.476209939999753,14.528330271124426,24,tv_time
