bootstrap,p_value,gain_pct,decision
49,0.20980193092574828,-1889727.911297115,NO-GO
50,0.013648985237922321,72.14593059794318,GO
51,0.02248582512377876,54.187261886679025,GO
52,0.24750068752230303,-67.79486120651806,NO-GO
53,0.02035051736823196,42.09427329740437,GO
54,0.056085302900763356,27.43878781486356,NO-GO
55,0.14913057272283503,-8385.62533985988,NO-GO
56,0.010526497889526034,99.99712269547983,GO
57,0.07053843091843291,3.576470675148425,NO-GO
58,0.001235581134855465,99.75121715393587,GO
59,0.16681254271805007,-2035424.5002143318,NO-GO
60,0.00962934306344169,62.80601673625714,GO
61,0.16834314580259185,25.61491077703444,NO-GO
62,0.24950689777037394,-6.9311470114203395,NO-GO
63,0.34109991429170616,-2762053.1141328025,NO-GO
64,0.21371425677624112,-2035424.5002143318,NO-GO
65,0.002902463721113854,99.99876681622804,GO
66,0.3525829635971338,-2313039.130919382,NO-GO
67,0.3876693089431747,-1900469.758666021,NO-GO
68,0.000847343050776974,99.9975953571916,GO
69,0.02675012498738127,19.558156816410328,GO
70,0.04911196667849214,19.558156816410328,GO
71,0.08934824684683923,2.354102246331512,NO-GO
72,0.9192118243979135,-611274456.6955589,NO-GO
73,0.23268803615197026,52.48473005113679,NO-GO
74,0.0002343506943493848,99.99848217749008,GO
75,0.26017956943041276,-1874223.1583085675,NO-GO
76,0.07751080461261316,28.440847922887365,NO-GO
77,0.053276342539583944,27.821309305658616,NO-GO
78,0.08668472339663608,27.498930874504097,NO-GO
79,0.43185627014798866,-2355389.6758146775,NO-GO
80,0.04548377131522589,59.7775428271971,GO
81,0.1331101367737299,-935009.0762050687,NO-GO
82,0.015136570081099128,57.86507365966935,GO
83,0.13260883921952682,19.558156816410328,NO-GO
84,0.43687645772585904,-2275083.663504964,NO-GO
85,0.05443985169371341,28.440847922887365,NO-GO
86,0.07020930578068253,19.558156816410328,NO-GO
87,0.06040250144701545,28.75903808835148,NO-GO
88,0.07760567220241218,-2035424.5002143318,NO-GO
89,0.0020838096000825868,99.9985123754886,GO
90,0.2820334784286293,99.99712269547983,NO-GO
91,0.04535580174854752,99.99796298279855,GO
92,0.033580234397297216,99.99385794074884,GO
93,0.01764783301703912,99.99712269547983,GO
94,0.17196891401365916,48.87708629469503,NO-GO
95,0.0028295026719717996,64.3632372724403,GO
96,0.10979993351281742,-937097.3587303224,NO-GO
97,0.0003099797285140866,99.9982116917853,GO
98,0.17976817737330597,-8201.574047022255,NO-GO
99,0.009651558738579976,99.9971413861158,GO
100,0.002277769434468174,27.821309305658616,GO
101,0.4171475031171643,-1902977.2269940244,NO-GO
102,0.2858664938898566,-1870046.7527076423,NO-GO
103,0.05033901299128747,59.77811144822385,NO-GO
104,0.0021790619716334013,99.99877788223066,GO
105,0.31142402428427574,-2026373.4723761107,NO-GO
106,0.005499029394249515,99.9985123754886,GO
107,0.31142402428427574,2.3072694129745783,NO-GO
108,0.04086288987327318,52.48473005113679,GO
109,8.659708166430868e-05,99.99907561664422,GO
110,0.10967161732234115,12.63974842504748,NO-GO
111,0.06786791426916283,28.290173697005045,NO-GO
112,0.0005074359960989073,99.99620173671198,GO
113,0.029877727087994268,46.499642137760645,GO
114,0.002822884126539087,99.99716007675177,GO
115,0.30267033345904076,19.558156816410328,NO-GO
116,0.0012401389738168488,55.94446801131456,GO
117,0.03833968635059615,99.99385793593136,GO
118,0.009525327657263504,99.99716007675177,GO
119,0.016861998649589524,27.66047925522306,GO
120,0.40884680496284026,-2063928.4419375632,NO-GO
121,0.012385325144925546,99.9975926105789,GO
122,0.2754363237976566,-2306943.610436266,NO-GO
123,0.42496295257311306,2.3072694129745783,NO-GO
124,0.03953748166998261,72.14594348665483,GO
125,0.050385929263216604,99.99385793957154,NO-GO
126,0.01809399736391503,28.290173697005045,GO
127,0.016260070892520528,99.9949951337785,GO
128,0.011271717492962512,99.99690862547592,GO
129,0.35891059293727534,-1905491.3203916566,NO-GO
130,0.04894593192392909,57.489807233314906,GO
131,0.0025645901432588348,99.99716007675177,GO
132,0.11541290408199423,27.821309305658616,NO-GO
133,0.2542243918032107,-74.71300485054509,NO-GO
134,0.00151556562233286,99.99878324488691,GO
135,0.014137205196637352,99.99712269547983,GO
136,0.020724758330850787,99.99716007675177,GO
137,0.560147235239237,-2035424.5002143318,NO-GO
138,0.01428144087281838,99.9979762150257,GO
139,0.11687350129224194,-2026373.4723761107,NO-GO
140,0.052927137062907866,99.99620174011474,NO-GO
141,0.16832093436980017,99.99692883798387,NO-GO
142,0.011624956704963612,99.99848587701892,GO
143,0.15656227455303035,38.05405487408685,NO-GO
144,0.7019918515587403,-26134.564628757205,NO-GO
