dataset,data_source,method,family,mae_mean,mae_std,rmse_mean,snr_mean,n_runs,rank
physionet_eegmmidb,real,puy,instant,2.1613996595718905e-05,6.160555434548604e-06,3.329501617329418e-05,7.385225986367966,32,18
physionet_eegmmidb,real,bgsrp,instant,2.5624876848834044e-05,3.7582502758302484e-06,3.816416553119599e-05,5.051283862423488,32,19
physionet_eegmmidb,real,temporal_laplacian,tv_time,2.7298382492568172e-05,4.771097313668975e-06,4.023434866677977e-05,3.363151134895029,32,20
physionet_eegmmidb,real,sobolev,instant,2.8156940396731897e-05,2.4955153883956067e-06,4.277761583406e-05,3.5268918956406536,32,21
synthetic_alpha,synthetic,spline_temporal,tv_time,,,,,0,0
synthetic_alpha,synthetic,mean,instant,0.16333732965906853,0.07978663216380752,0.35093646777392407,0.33292387535487966,32,1
synthetic_alpha,synthetic,tv,tv_time,0.16762590272970013,0.07837288385405705,0.36292263889034393,0.0034562847273648667,32,2
synthetic_alpha,synthetic,gsmooth,instant,0.17106783691776198,0.08107934845303295,0.36871211683747107,-0.177911013485672,32,3
synthetic_alpha,synthetic,idw,instant,0.1715233628743487,0.08304987786957141,0.3691236769136149,-0.11212880756438692,32,4
synthetic_alpha,synthetic,wavelet_temporal,tv_time,0.1785183369965673,0.07320434444475234,0.3573875957274931,18.707783912988127,32,5
synthetic_alpha,synthetic,directed_tv,tv_time,0.18581034958277295,0.06679661578094323,0.4185805155092179,-1.36018552627463,32,6
synthetic_alpha,synthetic,trss,tv_time,0.18737882840627396,0.08535875878202122,0.40986412953602513,-1.1456603283294609,32,7
synthetic_alpha,synthetic,gsp,instant,0.1976975915678175,0.09287819790485316,0.43674069225275464,-1.6047836089315117,32,8
synthetic_alpha,synthetic,linear,instant,0.2069072286608685,0.10048328273519444,0.4645177158367784,-1.9667991233568967,32,9
synthetic_alpha,synthetic,nearest,instant,0.21614387220179646,0.10524462779602654,0.4942749187254542,-2.4240658173815217,32,10
synthetic_alpha,synthetic,rbfi_tps,instant,0.23312719560027825,0.11008426882747192,0.5327412605067493,-3.168148755771042,32,11
synthetic_alpha,synthetic,rbfi_mq,instant,0.2394257422862615,0.1127039864649465,0.5509631095680427,-3.446867120730776,32,12
synthetic_alpha,synthetic,spherical_spline,instant,0.2903189162846148,0.13597857813579353,0.6800138675055877,-5.039350784817473,32,13
synthetic_alpha,synthetic,tikhonov,instant,0.2919015061586928,0.12940627300601593,0.45239515659598656,11.959846140658982,32,14
synthetic_alpha,synthetic,heat_diffusion_temporal,tv_time,0.34222531885956353,0.527311576437883,0.6863642237461777,-2.5006860595992446,32,15
synthetic_alpha,synthetic,spline_surface,instant,0.342535166756372,0.09229542247452065,0.9765156062243272,-6.724335741934195,32,16
synthetic_alpha,synthetic,graph_time_tikhonov,tv_time,0.41044111145275947,0.1049130440867878,0.5163820942948383,4.981280456673561,32,17
synthetic_alpha,synthetic,puy,instant,0.43030115068669783,0.12297246664187525,0.5670944000238606,6.060714491370868,32,18
synthetic_alpha,synthetic,temporal_laplacian,tv_time,0.4596867662441995,0.08311362124528165,0.535539947435478,3.195443450767327,32,19
synthetic_alpha,synthetic,bgsrp,instant,0.5398272075303979,0.03156402947334468,0.6688682847109387,1.5954580315645086,32,20
synthetic_alpha,synthetic,sobolev,instant,0.5492571926905672,0.0628950793399993,0.6237721510868272,1.354285700870277,32,21
synthetic_beta,synthetic,spline_temporal,tv_time,,,,,0,0
synthetic_beta,synthetic,gsmooth,instant,0.17109786273726926,0.08158393683423432,0.36738864486841616,-0.19719377251314688,32,1
synthetic_beta,synthetic,tv,tv_time,0.17111545578350773,0.08237526330645728,0.36723001791662774,-0.16669152431484188,32,2
synthetic_beta,synthetic,mean,instant,0.1716059873338275,0.08169754429771897,0.3662240842490071,-0.21667608698694932,32,3
synthetic_beta,synthetic,idw,instant,0.17172976230909054,0.08131145982199496,0.3691555570463827,-0.279787483335166,32,4
synthetic_beta,synthetic,directed_tv,tv_time,0.1727770709349979,0.07608188802639142,0.37456797764734007,-0.37906835474858336,32,5
synthetic_beta,synthetic,trss,tv_time,0.17452211674520773,0.08153912811900309,0.38106422164329157,-0.45589802175080113,32,6
synthetic_beta,synthetic,gsp,instant,0.17746973741200744,0.08335796684336988,0.3908191078188214,-0.6493251051058885,32,7
synthetic_beta,synthetic,wavelet_temporal,tv_time,0.19180309919910393,0.07471376091478289,0.3679720382595507,14.211354092002173,32,8
synthetic_beta,synthetic,linear,instant,0.1961739013122472,0.08653186126645955,0.4491880010381901,-2.026160776372989,32,9
synthetic_beta,synthetic,rbfi_tps,instant,0.21429576691269273,0.10111818738994471,0.4882008188729731,-2.6046189561113238,32,10
synthetic_beta,synthetic,rbfi_mq,instant,0.21704242768458848,0.10001272142124196,0.49699791698211393,-2.7716601592733436,32,11
synthetic_beta,synthetic,nearest,instant,0.22134172033580568,0.10373213481168236,0.5109152726112337,-3.153248811048944,32,12
synthetic_beta,synthetic,spherical_spline,instant,0.2661501232391112,0.132392640275986,0.6151377613077101,-4.36080437077471,32,13
synthetic_beta,synthetic,tikhonov,instant,0.2852140989019269,0.14755893508521203,0.4348270540359897,12.34664555451759,32,14
synthetic_beta,synthetic,spline_surface,instant,0.32162280639576374,0.09651180981590685,0.8813051725189711,-6.907842194032279,32,15
synthetic_beta,synthetic,heat_diffusion_temporal,tv_time,0.336756336047035,0.5178039267681125,0.6732054614415789,-2.3068020108910705,32,16
synthetic_beta,synthetic,puy,instant,0.41260843622781473,0.14388855847977183,0.5369322962428926,6.534376751937046,32,17
synthetic_beta,synthetic,graph_time_tikhonov,tv_time,0.41394075784453094,0.11679889105695022,0.5087242235811213,4.82014565446568,32,18
synthetic_beta,synthetic,temporal_laplacian,tv_time,0.46908464606951095,0.08197235319919702,0.5467172721737067,3.0695611388717334,32,19
synthetic_beta,synthetic,bgsrp,instant,0.4998915131892325,0.05309553924038864,0.6171764906716553,2.1565892718592727,32,20
synthetic_beta,synthetic,sobolev,instant,0.5535814102074766,0.07311700545897391,0.6253459569733979,1.3821226971841447,32,21
synthetic_broad,synthetic,spline_temporal,tv_time,,,,,0,0
synthetic_broad,synthetic,mean,instant,0.16273796628446022,0.06153947662382898,0.3659887084593307,-0.43184267739377474,32,1
synthetic_broad,synthetic,spherical_spline,instant,0.16273796628446022,0.06153947662382898,0.3659887084593307,-0.4318426773937748,32,2
synthetic_broad,synthetic,gsmooth,instant,0.1627611397011671,0.062112932684030495,0.36656499963370104,-0.44725929000571085,32,3
synthetic_broad,synthetic,tv,tv_time,0.16297245399445376,0.06234606766628427,0.3687221088859079,-0.49375689541038004,32,4
synthetic_broad,synthetic,directed_tv,tv_time,0.16483946538122737,0.06598207864958844,0.37662098463627075,-0.5953073011651373,32,5
synthetic_broad,synthetic,idw,instant,0.1653147818061807,0.06511969089306585,0.3761278751500381,-0.6548284490041569,32,6
synthetic_broad,synthetic,trss,tv_time,0.1656983026202535,0.06516163946792282,0.37721610494280666,-0.6786505455714673,32,7
synthetic_broad,synthetic,gsp,instant,0.16969493590272713,0.06703649840485155,0.39157624726527773,-0.9953388286143449,32,8
synthetic_broad,synthetic,wavelet_temporal,tv_time,0.1818846615261646,0.05976423596490928,0.3628040657098538,14.655556783422131,32,9
synthetic_broad,synthetic,linear,instant,0.18528242142598914,0.07552725482404538,0.4352147269348755,-1.8803478177866708,32,10
synthetic_broad,synthetic,rbfi_tps,instant,0.20230095728525507,0.0877111475877727,0.47805781214676785,-2.6555626577213554,32,11
synthetic_broad,synthetic,spline_surface,instant,0.20230095728525507,0.0877111475877727,0.47805781214676785,-2.6555626577213554,32,12
synthetic_broad,synthetic,nearest,instant,0.20235748867650688,0.07867607570595563,0.4841229090393808,-2.8367995705037843,32,13
synthetic_broad,synthetic,rbfi_mq,instant,0.22932052704537126,0.10206756880580932,0.5445755686505226,-3.7377040768365855,32,14
synthetic_broad,synthetic,tikhonov,instant,0.2777677973591331,0.13837806473540407,0.4365568957657023,12.487146230187001,32,15
synthetic_broad,synthetic,heat_diffusion_temporal,tv_time,0.3184633055891816,0.4779511914416004,0.6599798602485383,-2.2906153872074944,32,16
synthetic_broad,synthetic,graph_time_tikhonov,tv_time,0.40801595603097685,0.10775887208903197,0.5096832395770771,4.792772864694326,32,17
synthetic_broad,synthetic,puy,instant,0.40898371318968524,0.13493403849464147,0.5399112321042684,6.5247398356970905,32,18
synthetic_broad,synthetic,temporal_laplacian,tv_time,0.4503446806221456,0.08352393840774651,0.53064157602937,3.4516783933770685,32,19
synthetic_broad,synthetic,bgsrp,instant,0.4827223579159106,0.05143225549706073,0.6119744850068467,2.4675778692534007,32,20
synthetic_broad,synthetic,sobolev,instant,0.5393787648215452,0.07132162629082742,0.6140609447785149,1.5316942777140405,32,21
