method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
puy,0.3,rmse,0.6996,0.0084,0.6985,0.6787,0.7204,3
puy,0.3,snr,0.2414,0.1923,0.1878,-0.2364,0.7191,3
puy,0.3,dtw,,,,,,0
puy,0.4,mae,0.6128,0.0098,0.6073,0.5884,0.6372,3
puy,0.4,rmse,0.7007,0.0125,0.6967,0.6697,0.7318,3
puy,0.4,snr,0.1885,0.1448,0.2,-0.1713,0.5483,3
puy,0.4,dtw,,,,,,0
rbfi_mq,0.1,mae,0.0918,0.0149,0.0895,0.0548,0.1288,3
rbfi_mq,0.1,rmse,0.335,0.0374,0.3334,0.2422,0.4278,3
rbfi_mq,0.1,snr,-2.7464,0.5583,-2.7767,-4.1332,-1.3596,3
rbfi_mq,0.1,dtw,,,,,,0
rbfi_mq,0.2,mae,0.1824,0.0139,0.1865,0.148,0.2168,3
rbfi_mq,0.2,rmse,0.4855,0.0162,0.4801,0.4451,0.5258,3
rbfi_mq,0.2,snr,-3.5635,0.1917,-3.6601,-4.0397,-3.0874,3
rbfi_mq,0.2,dtw,,,,,,0
rbfi_mq,0.3,mae,0.2711,0.0142,0.2725,0.2357,0.3064,3
rbfi_mq,0.3,rmse,0.5914,0.0361,0.5928,0.5018,0.6811,3
rbfi_mq,0.3,snr,-3.23,0.4646,-3.4832,-4.3841,-2.076,3
rbfi_mq,0.3,dtw,,,,,,0
rbfi_mq,0.4,mae,0.3691,0.0213,0.3701,0.3163,0.4219,3
rbfi_mq,0.4,rmse,0.7115,0.0491,0.7398,0.5894,0.8336,3
rbfi_mq,0.4,snr,-3.735,0.8113,-3.8398,-5.7504,-1.7196,3
rbfi_mq,0.4,dtw,,,,,,0
rbfi_tps,0.1,mae,0.0867,0.0093,0.0884,0.0635,0.1099,3
rbfi_tps,0.1,rmse,0.3172,0.0248,0.3315,0.2557,0.3788,3
rbfi_tps,0.1,snr,-2.2624,0.3099,-2.2661,-3.0321,-1.4926,3
rbfi_tps,0.1,dtw,,,,,,0
rbfi_tps,0.2,mae,0.1716,0.0208,0.1798,0.1198,0.2233,3
rbfi_tps,0.2,rmse,0.4533,0.0373,0.4649,0.3607,0.5458,3
rbfi_tps,0.2,snr,-2.9344,0.4209,-3.06,-3.9799,-1.8889,3
rbfi_tps,0.2,dtw,,,,,,0
rbfi_tps,0.3,mae,0.2589,0.0142,0.2522,0.2236,0.2942,3
rbfi_tps,0.3,rmse,0.5568,0.0296,0.541,0.4833,0.6302,3
rbfi_tps,0.3,snr,-2.7694,0.3348,-2.685,-3.6012,-1.9376,3
rbfi_tps,0.3,dtw,,,,,,0
rbfi_tps,0.4,mae,0.3491,0.0325,0.3486,0.2685,0.4298,3
rbfi_tps,0.4,rmse,0.6714,0.0487,0.6584,0.5505,0.7923,3
rbfi_tps,0.4,snr,-3.2716,0.3856,-3.2061,-4.2294,-2.3137,3
rbfi_tps,0.4,dtw,,,,,,0
sobolev,0.1,mae,0.6156,0.011,0.6145,0.5884,0.6429,3
sobolev,0.1,rmse,0.6921,0.0103,0.6928,0.6666,0.7177,3
sobolev,0.1,snr,0.2514,0.1113,0.2394,-0.0251,0.5278,3
sobolev,0.1,dtw,,,,,,0
sobolev,0.2,mae,0.6178,0.0107,0.6158,0.5912,0.6444,3
sobolev,0.2,rmse,0.6937,0.0101,0.6947,0.6687,0.7187,3
sobolev,0.2,snr,0.2282,0.1019,0.2157,-0.0249,0.4813,3
sobolev,0.2,dtw,,,,,,0
sobolev,0.3,mae,0.6178,0.0137,0.6161,0.5839,0.6518,3
sobolev,0.3,rmse,0.6955,0.0114,0.6951,0.6672,0.7237,3
sobolev,0.3,snr,0.2233,0.1476,0.2092,-0.1435,0.59,3
sobolev,0.3,dtw,,,,,,0
sobolev,0.4,mae,0.6202,0.0068,0.6168,0.6034,0.637,3
sobolev,0.4,rmse,0.6969,0.0069,0.6939,0.6796,0.7141,3
sobolev,0.4,snr,0.1877,0.0583,0.2188,0.043,0.3324,3
sobolev,0.4,dtw,,,,,,0
spherical_spline,0.1,mae,0.0954,0.0136,0.09,0.0615,0.1293,3
spherical_spline,0.1,rmse,0.3474,0.0681,0.3618,0.1782,0.5166,3
spherical_spline,0.1,snr,-2.8696,2.0788,-3.4652,-8.0336,2.2944,3
spherical_spline,0.1,dtw,,,,,,0
spherical_spline,0.2,mae,0.1939,0.06,0.2204,0.0449,0.3429,3
spherical_spline,0.2,rmse,0.5061,0.1569,0.5707,0.1163,0.8959,3
spherical_spline,0.2,snr,-3.5775,2.6812,-4.8242,-10.2379,3.0829,3
spherical_spline,0.2,dtw,,,,,,0
spherical_spline,0.3,mae,0.2823,0.0716,0.3057,0.1044,0.4601,3
spherical_spline,0.3,rmse,0.618,0.1797,0.6772,0.1716,1.0644,3
spherical_spline,0.3,snr,-3.1627,2.4181,-4.1537,-9.1697,2.8443,3
spherical_spline,0.3,dtw,,,,,,0
spherical_spline,0.4,mae,0.3873,0.1296,0.4485,0.0654,0.7093,3
spherical_spline,0.4,rmse,0.7433,0.2595,0.8509,0.0986,1.388,3
spherical_spline,0.4,snr,-3.4995,2.8055,-5.0001,-10.4687,3.4697,3
spherical_spline,0.4,dtw,,,,,,0
spline_surface,0.1,mae,0.3057,0.1885,0.3637,-0.1625,0.7739,3
spline_surface,0.1,rmse,1.2707,0.8133,1.7384,-0.7496,3.291,3
spline_surface,0.1,snr,-10.7938,7.6667,-12.9993,-29.839,8.2514,3
spline_surface,0.1,dtw,,,,,,0
spline_surface,0.2,mae,0.1884,0.0352,0.2058,0.1009,0.276,3
spline_surface,0.2,rmse,0.5113,0.0884,0.5421,0.2916,0.7309,3
spline_surface,0.2,snr,-3.8505,1.2118,-4.3736,-6.8608,-0.8402,3
spline_surface,0.2,dtw,,,,,,0
spline_surface,0.3,mae,0.282,0.0416,0.2678,0.1787,0.3853,3
spline_surface,0.3,rmse,0.609,0.091,0.5769,0.383,0.8349,3
spline_surface,0.3,snr,-3.3117,0.7399,-3.1221,-5.1498,-1.4736,3
spline_surface,0.3,dtw,,,,,,0
spline_surface,0.4,mae,0.3791,0.0775,0.3545,0.1865,0.5717,3
spline_surface,0.4,rmse,0.7235,0.1301,0.6678,0.4005,1.0466,3
spline_surface,0.4,snr,-3.761,1.1264,-3.2061,-6.5592,-0.9628,3
spline_surface,0.4,dtw,,,,,,0
temporal_laplacian,0.1,mae,0.6197,0.0055,0.6178,0.606,0.6334,3
temporal_laplacian,0.1,rmse,0.6946,0.0041,0.6932,0.6845,0.7047,3
temporal_laplacian,0.1,snr,0.2325,0.067,0.2091,0.066,0.399,3
temporal_laplacian,0.1,dtw,,,,,,0
temporal_laplacian,0.2,mae,0.6214,0.006,0.6201,0.6064,0.6364,3
temporal_laplacian,0.2,rmse,0.6971,0.0043,0.6952,0.6864,0.7078,3
temporal_laplacian,0.2,snr,0.2088,0.0822,0.1765,0.0047,0.413,3
temporal_laplacian,0.2,dtw,,,,,,0
temporal_laplacian,0.3,mae,0.6232,0.0062,0.6249,0.6077,0.6387,3
temporal_laplacian,0.3,rmse,0.6986,0.0043,0.6986,0.688,0.7091,3
temporal_laplacian,0.3,snr,0.1822,0.1045,0.1417,-0.0775,0.4418,3
temporal_laplacian,0.3,dtw,,,,,,0
temporal_laplacian,0.4,mae,0.626,0.0059,0.6261,0.6113,0.6407,3
temporal_laplacian,0.4,rmse,0.7036,0.0028,0.7046,0.6967,0.7106,3
temporal_laplacian,0.4,snr,0.1346,0.0726,0.1014,-0.0456,0.3149,3
temporal_laplacian,0.4,dtw,,,,,,0
