method,mae_mean,dataset,scenario,family,rank
idw,0.19122879294511216,synthetic_alpha,30pct,instant,2
gsmooth,0.19150026143563664,synthetic_alpha,30pct,instant,3
linear,0.2018851730822886,synthetic_alpha,30pct,instant,4
gsp,0.21211880952048895,synthetic_alpha,30pct,instant,5
tv,0.19168018625483,synthetic_alpha,30pct,tv_time,1
trss,0.20578024887844257,synthetic_alpha,30pct,tv_time,2
wavelet_temporal,0.21128346768598386,synthetic_alpha,30pct,tv_time,3
directed_tv,0.21798274262653017,synthetic_alpha,30pct,tv_time,4
heat_diffusion_temporal,0.3919775672105192,synthetic_alpha,30pct,tv_time,5
mean,0.26144811819217495,synthetic_alpha,40pct,instant,1
gsmooth,0.2733507423552931,synthetic_alpha,40pct,instant,2
idw,0.2754685699378412,synthetic_alpha,40pct,instant,3
gsp,0.31617464730738254,synthetic_alpha,40pct,instant,4
linear,0.3274113247696233,synthetic_alpha,40pct,instant,5
tv,0.27131368469273925,synthetic_alpha,40pct,tv_time,1
wavelet_temporal,0.277974106619851,synthetic_alpha,40pct,tv_time,2
directed_tv,0.29902330263678867,synthetic_alpha,40pct,tv_time,3
trss,0.3004559495435608,synthetic_alpha,40pct,tv_time,4
graph_time_tikhonov,0.46465505715722344,synthetic_alpha,40pct,tv_time,5
mean,0.06741491608454914,synthetic_beta,10pct,instant,1
gsmooth,0.06838279324083417,synthetic_beta,10pct,instant,2
idw,0.06842724589289731,synthetic_beta,10pct,instant,3
gsp,0.07451602294872546,synthetic_beta,10pct,instant,4
linear,0.08495001271292209,synthetic_beta,10pct,instant,5
tv,0.06839308914695624,synthetic_beta,10pct,tv_time,1
trss,0.07302241306857413,synthetic_beta,10pct,tv_time,2
directed_tv,0.074044365600068,synthetic_beta,10pct,tv_time,3
wavelet_temporal,0.09451833096936495,synthetic_beta,10pct,tv_time,4
heat_diffusion_temporal,0.1355485705601256,synthetic_beta,10pct,tv_time,5
mean,0.14275301025669612,synthetic_beta,20pct,instant,1
gsmooth,0.14295841249328256,synthetic_beta,20pct,instant,2
idw,0.14377974537671134,synthetic_beta,20pct,instant,3
gsp,0.1471628240277569,synthetic_beta,20pct,instant,4
linear,0.15971444771564017,synthetic_beta,20pct,instant,5
directed_tv,0.13374331673193163,synthetic_beta,20pct,tv_time,1
trss,0.14309499143990875,synthetic_beta,20pct,tv_time,2
tv,0.14339840194290165,synthetic_beta,20pct,tv_time,3
wavelet_temporal,0.15822725735590976,synthetic_beta,20pct,tv_time,4
heat_diffusion_temporal,0.2731889656861468,synthetic_beta,20pct,tv_time,5
idw,0.20093959324490737,synthetic_beta,30pct,instant,1
gsmooth,0.20140215095917507,synthetic_beta,30pct,instant,2
mean,0.2026216388120734,synthetic_beta,30pct,instant,3
gsp,0.2053432338261813,synthetic_beta,30pct,instant,4
rbfi_tps,0.23536658987946277,synthetic_beta,30pct,instant,5
tv,0.20267603227549802,synthetic_beta,30pct,tv_time,1
trss,0.20454415280203353,synthetic_beta,30pct,tv_time,2
directed_tv,0.20487622779229503,synthetic_beta,30pct,tv_time,3
wavelet_temporal,0.22320177059402785,synthetic_beta,30pct,tv_time,4
heat_diffusion_temporal,0.40285609181153925,synthetic_beta,30pct,tv_time,5
gsmooth,0.2716554303184474,synthetic_beta,40pct,instant,1
idw,0.27181675480851364,synthetic_beta,40pct,instant,2
gsp,0.27515184185332936,synthetic_beta,40pct,instant,3
mean,0.2753280079672708,synthetic_beta,40pct,instant,4
linear,0.32786463792217224,synthetic_beta,40pct,instant,5
directed_tv,0.268989425691833,synthetic_beta,40pct,tv_time,1
trss,0.27156301658818055,synthetic_beta,40pct,tv_time,2
tv,0.2736950882382768,synthetic_beta,40pct,tv_time,3
wavelet_temporal,0.28735423627677786,synthetic_beta,40pct,tv_time,4
graph_time_tikhonov,0.4575062541524708,synthetic_beta,40pct,tv_time,5
mean,0.08249535923872663,synthetic_broad,10pct,instant,1
spherical_spline,0.08249535923872663,synthetic_broad,10pct,instant,2
gsmooth,0.08323998928591123,synthetic_broad,10pct,instant,3
idw,0.08587163085009851,synthetic_broad,10pct,instant,4
gsp,0.08905928937985233,synthetic_broad,10pct,instant,5
tv,0.0842392108313233,synthetic_broad,10pct,tv_time,1
trss,0.08565441101489786,synthetic_broad,10pct,tv_time,2
directed_tv,0.09036386738212787,synthetic_broad,10pct,tv_time,3
wavelet_temporal,0.10654277258644937,synthetic_broad,10pct,tv_time,4
heat_diffusion_temporal,0.1597938501306443,synthetic_broad,10pct,tv_time,5
idw,0.12117305659014371,synthetic_broad,20pct,instant,1
gsmooth,0.12245397421249901,synthetic_broad,20pct,instant,2
mean,0.12406141611723998,synthetic_broad,20pct,instant,3
spherical_spline,0.12406141611723998,synthetic_broad,20pct,instant,4
gsp,0.12410080615855265,synthetic_broad,20pct,instant,5
directed_tv,0.12124937478189207,synthetic_broad,20pct,tv_time,1
trss,0.12199760954909092,synthetic_broad,20pct,tv_time,2
tv,0.12232445552275895,synthetic_broad,20pct,tv_time,3
