dataset,graph,method,mae,rmse,snr
mne_sample,knng,gsp,3.740352800598287e-06,1.237268360183795e-05,3.7874175856842767
mne_sample,knng,tikhonov,1.635794618718892e-05,2.3471676768497545e-05,8.026637329519097
mne_sample,knng,bgsrp,1.6374230808993814e-05,2.42099515788449e-05,6.142648802286475
mne_sample,knng,gsmooth,3.5573615050912306e-06,1.1803016563500319e-05,4.461823321017879
mne_sample,knng,graph_time_tikhonov,1.633695761378244e-05,2.342633377992349e-05,8.46479829699891
mne_sample,knng,trss,2.90161691703879e-06,9.555810611515861e-06,5.885920902501612
mne_sample,knng,tv,3.52789188106645e-06,1.162603894098409e-05,4.356673244863802
mne_sample,knng,puy,1.7407272005502575e-05,2.500254426137099e-05,7.91215853055932
mne_sample,knng,sobolev,2.9491342412848305e-05,3.721964878308006e-05,3.698032859588853
mne_sample,vknng,linear,4.7346493305824634e-06,1.431773882043458e-05,1.0741561582903143
mne_sample,vknng,idw,3.647782343136269e-06,1.2256078134780409e-05,4.416831636598475
mne_sample,vknng,rbfi_tps,5.285377198068019e-06,1.700890855242482e-05,-0.09629085658260265
mne_sample,vknng,rbfi_mq,7.17627339462444e-06,2.221806055701329e-05,-3.6253913303101863
mne_sample,vknng,spline_surface,4.816687990985661e-06,1.634382609221894e-05,0.9721712835535767
mne_sample,vknng,spherical_spline,4.6888238126766754e-06,1.55913580236117e-05,1.1973773039640303
mne_sample,vknng,gsp,3.926002872929418e-06,1.3219231472303054e-05,3.422244157838496
mne_sample,vknng,tikhonov,1.566523123577345e-05,2.2654454604437472e-05,7.981307453192893
mne_sample,vknng,bgsrp,1.6425019833565938e-05,2.4295338716015556e-05,5.446167943829921
mne_sample,vknng,gsmooth,3.6060819550821575e-06,1.2163087857059417e-05,4.446770493930568
mne_sample,vknng,graph_time_tikhonov,1.5631724289531037e-05,2.2580140360682394e-05,8.586674884010895
mne_sample,vknng,trss,3.063143068537263e-06,1.0269169548257813e-05,5.475460130306458
mne_sample,vknng,tv,3.528325900137035e-06,1.16320461356521e-05,4.364024063671263
mne_sample,vknng,puy,1.65766764944889e-05,2.401631869649707e-05,7.622801834729405
mne_sample,vknng,sobolev,2.939391308183622e-05,3.699082790807727e-05,3.695640075991351
mne_sample,gaussian,linear,4.7346493305824634e-06,1.431773882043458e-05,1.0741561582903143
mne_sample,gaussian,idw,3.647782343136269e-06,1.2256078134780409e-05,4.416831636598475
mne_sample,gaussian,rbfi_tps,5.285377198068019e-06,1.700890855242482e-05,-0.09629085658260265
mne_sample,gaussian,rbfi_mq,7.17627339462444e-06,2.221806055701329e-05,-3.6253913303101863
mne_sample,gaussian,spline_surface,4.816687990985661e-06,1.634382609221894e-05,0.9721712835535767
mne_sample,gaussian,spherical_spline,4.6888238126766754e-06,1.55913580236117e-05,1.1973773039640303
mne_sample,gaussian,gsp,3.5271127563470313e-06,1.1619748416743288e-05,4.346145407920343
mne_sample,gaussian,tikhonov,1.8476215875921757e-05,2.6120702777864265e-05,6.080761846856501
mne_sample,gaussian,bgsrp,1.784933456277033e-05,2.5108097670400438e-05,6.378435741657292
mne_sample,gaussian,gsmooth,3.5270389319515756e-06,1.1619348831997755e-05,4.345343616631633
mne_sample,gaussian,graph_time_tikhonov,1.8464994669291666e-05,2.610966314309367e-05,6.201320192517203
mne_sample,gaussian,trss,2.7116293403985948e-06,8.919319674800513e-06,6.551542179467327
mne_sample,gaussian,tv,3.526962350030179e-06,1.1618936614419912e-05,4.344562229525789
mne_sample,gaussian,puy,1.872256021780555e-05,2.6466637274983618e-05,5.978824361534626
mne_sample,gaussian,sobolev,2.970111247316189e-05,3.755516566867239e-05,3.4593138160134522
mne_sample,nnk,linear,4.7346493305824634e-06,1.431773882043458e-05,1.0741561582903143
mne_sample,nnk,idw,3.647782343136269e-06,1.2256078134780409e-05,4.416831636598475
mne_sample,nnk,rbfi_tps,5.285377198068019e-06,1.700890855242482e-05,-0.09629085658260265
mne_sample,nnk,rbfi_mq,7.17627339462444e-06,2.221806055701329e-05,-3.6253913303101863
mne_sample,nnk,spline_surface,4.816687990985661e-06,1.634382609221894e-05,0.9721712835535767
mne_sample,nnk,spherical_spline,4.6888238126766754e-06,1.55913580236117e-05,1.1973773039640303
mne_sample,nnk,gsp,4.295808706643492e-06,1.4417380328618077e-05,2.562585613897514
mne_sample,nnk,tikhonov,1.2208133350126779e-05,1.857368797794516e-05,6.317650222853532
mne_sample,nnk,bgsrp,1.6854018919289185e-05,2.4475970685935272e-05,3.788890321845306
mne_sample,nnk,gsmooth,3.728089320190273e-06,1.2574938094362988e-05,4.101920419931414
mne_sample,nnk,graph_time_tikhonov,1.2139114714109599e-05,1.8233326555393566e-05,7.484461573583829
mne_sample,nnk,trss,3.3856542120170008e-06,1.1325872390029376e-05,4.552618082213806
mne_sample,nnk,tv,3.5375816306726868e-06,1.1688708387560366e-05,4.419599817171295
mne_sample,nnk,puy,1.212631247615603e-05,1.9148724811223183e-05,3.736075044356157
mne_sample,nnk,sobolev,2.8971549921982396e-05,3.574494981537118e-05,3.032475967503582
mne_sample,aew,linear,4.7346493305824634e-06,1.431773882043458e-05,1.0741561582903143
mne_sample,aew,idw,3.647782343136269e-06,1.2256078134780409e-05,4.416831636598475
mne_sample,aew,rbfi_tps,5.285377198068019e-06,1.700890855242482e-05,-0.09629085658260265
mne_sample,aew,rbfi_mq,7.17627339462444e-06,2.221806055701329e-05,-3.6253913303101863
