dataset,seed,graph,graph_params,method,method_params,mae,rmse,snr
synthetic,1,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.07657043274854138,0.2130320110978149,10.742980182333953
synthetic,7,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.07802536076003848,0.21942220416993333,10.51082225758962
synthetic,13,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.07903085336038211,0.2201412043543334,10.445357581330999
synthetic,21,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.07629901992638811,0.2137127172213139,10.712090127304881
synthetic,42,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.07696762407532813,0.21791478380414972,10.63078873250771
mne_sample,1,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.4352509715025244e-06,1.1552043039219482e-05,10.973071770949627
mne_sample,7,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.4938204114931468e-06,1.1544645413792091e-05,10.858238604443718
mne_sample,13,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.386827138843236e-06,1.1199694397483649e-05,10.916606740610174
mne_sample,21,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.3594955221315627e-06,1.0970617785066053e-05,10.937268110401051
mne_sample,42,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.4287907114804443e-06,1.1441057556335746e-05,10.850302651499259
synthetic,1,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.09549470731211908,0.27191864069483956,8.675805570392164
synthetic,7,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.09540775651901505,0.2744694125811129,8.601125787404525
synthetic,13,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.09694173434397424,0.2729208258064178,8.496071837729842
