method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
puy,0.4,rmse,0.5971,0.011,0.5978,0.5697,0.6245,3
puy,0.4,snr,3.8453,0.0944,3.8432,3.6107,4.0798,3
puy,0.4,dtw,,,,,,0
rbfi_mq,0.1,mae,0.0918,0.0149,0.0895,0.0548,0.1288,3
rbfi_mq,0.1,rmse,0.335,0.0374,0.3334,0.2422,0.4278,3
rbfi_mq,0.1,snr,-2.7464,0.5583,-2.7767,-4.1332,-1.3596,3
rbfi_mq,0.1,dtw,,,,,,0
rbfi_mq,0.2,mae,0.1824,0.0139,0.1865,0.148,0.2168,3
rbfi_mq,0.2,rmse,0.4855,0.0162,0.4801,0.4451,0.5258,3
rbfi_mq,0.2,snr,-3.5635,0.1917,-3.6601,-4.0397,-3.0874,3
rbfi_mq,0.2,dtw,,,,,,0
rbfi_mq,0.3,mae,0.2711,0.0142,0.2725,0.2357,0.3064,3
rbfi_mq,0.3,rmse,0.5914,0.0361,0.5928,0.5018,0.6811,3
rbfi_mq,0.3,snr,-3.23,0.4646,-3.4832,-4.3841,-2.076,3
rbfi_mq,0.3,dtw,,,,,,0
rbfi_mq,0.4,mae,0.3691,0.0213,0.3701,0.3163,0.4219,3
rbfi_mq,0.4,rmse,0.7115,0.0491,0.7398,0.5894,0.8336,3
rbfi_mq,0.4,snr,-3.735,0.8113,-3.8398,-5.7504,-1.7196,3
rbfi_mq,0.4,dtw,,,,,,0
rbfi_tps,0.1,mae,0.0867,0.0093,0.0884,0.0635,0.1099,3
rbfi_tps,0.1,rmse,0.3172,0.0248,0.3315,0.2557,0.3788,3
rbfi_tps,0.1,snr,-2.2624,0.3099,-2.2661,-3.0321,-1.4926,3
rbfi_tps,0.1,dtw,,,,,,0
rbfi_tps,0.2,mae,0.1716,0.0208,0.1798,0.1198,0.2233,3
rbfi_tps,0.2,rmse,0.4533,0.0373,0.4649,0.3607,0.5458,3
rbfi_tps,0.2,snr,-2.9344,0.4209,-3.06,-3.9799,-1.8889,3
rbfi_tps,0.2,dtw,,,,,,0
rbfi_tps,0.3,mae,0.2589,0.0142,0.2522,0.2236,0.2942,3
rbfi_tps,0.3,rmse,0.5568,0.0296,0.541,0.4833,0.6302,3
rbfi_tps,0.3,snr,-2.7694,0.3348,-2.685,-3.6012,-1.9376,3
rbfi_tps,0.3,dtw,,,,,,0
rbfi_tps,0.4,mae,0.3491,0.0325,0.3486,0.2685,0.4298,3
rbfi_tps,0.4,rmse,0.6714,0.0487,0.6584,0.5505,0.7923,3
rbfi_tps,0.4,snr,-3.2716,0.3856,-3.2061,-4.2294,-2.3137,3
rbfi_tps,0.4,dtw,,,,,,0
sobolev,0.1,mae,0.5381,0.0072,0.5398,0.5203,0.556,3
sobolev,0.1,rmse,0.6083,0.0057,0.6105,0.5941,0.6225,3
sobolev,0.1,snr,1.4116,0.0896,1.3606,1.1891,1.6341,3
sobolev,0.1,dtw,,,,,,0
sobolev,0.2,mae,0.5484,0.0113,0.554,0.5203,0.5765,3
sobolev,0.2,rmse,0.6205,0.0096,0.6234,0.5967,0.6444,3
sobolev,0.2,snr,1.2634,0.1465,1.2458,0.8993,1.6274,3
sobolev,0.2,dtw,,,,,,0
sobolev,0.3,mae,0.5586,0.0095,0.5608,0.5351,0.5821,3
sobolev,0.3,rmse,0.6329,0.0084,0.6373,0.6122,0.6537,3
sobolev,0.3,snr,1.1283,0.1091,1.0718,0.8572,1.3995,3
sobolev,0.3,dtw,,,,,,0
sobolev,0.4,mae,0.567,0.0111,0.5712,0.5394,0.5945,3
sobolev,0.4,rmse,0.6428,0.0092,0.6455,0.6198,0.6657,3
sobolev,0.4,snr,0.9955,0.12,0.9317,0.6974,1.2935,3
sobolev,0.4,dtw,,,,,,0
spherical_spline,0.1,mae,0.0954,0.0136,0.09,0.0615,0.1293,3
spherical_spline,0.1,rmse,0.3474,0.0681,0.3618,0.1782,0.5166,3
spherical_spline,0.1,snr,-2.8696,2.0788,-3.4652,-8.0336,2.2944,3
spherical_spline,0.1,dtw,,,,,,0
spherical_spline,0.2,mae,0.1939,0.06,0.2204,0.0449,0.3429,3
spherical_spline,0.2,rmse,0.5061,0.1569,0.5707,0.1163,0.8959,3
spherical_spline,0.2,snr,-3.5775,2.6812,-4.8242,-10.2379,3.0829,3
spherical_spline,0.2,dtw,,,,,,0
spherical_spline,0.3,mae,0.2823,0.0716,0.3057,0.1044,0.4601,3
spherical_spline,0.3,rmse,0.618,0.1797,0.6772,0.1716,1.0644,3
spherical_spline,0.3,snr,-3.1627,2.4181,-4.1537,-9.1697,2.8443,3
spherical_spline,0.3,dtw,,,,,,0
spherical_spline,0.4,mae,0.3873,0.1296,0.4485,0.0654,0.7093,3
spherical_spline,0.4,rmse,0.7433,0.2595,0.8509,0.0986,1.388,3
spherical_spline,0.4,snr,-3.4995,2.8055,-5.0001,-10.4687,3.4697,3
spherical_spline,0.4,dtw,,,,,,0
spline_surface,0.1,mae,0.3057,0.1885,0.3637,-0.1625,0.7739,3
spline_surface,0.1,rmse,1.2707,0.8133,1.7384,-0.7496,3.291,3
spline_surface,0.1,snr,-10.7938,7.6667,-12.9993,-29.839,8.2514,3
spline_surface,0.1,dtw,,,,,,0
spline_surface,0.2,mae,0.1884,0.0352,0.2058,0.1009,0.276,3
spline_surface,0.2,rmse,0.5113,0.0884,0.5421,0.2916,0.7309,3
spline_surface,0.2,snr,-3.8505,1.2118,-4.3736,-6.8608,-0.8402,3
