method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
tikhonov,0.4,snr,7.9452,2.6167,7.9452,-15.5646,31.4551,2
tikhonov,0.4,dtw,,,,,,0
trss,0.3,mae,9e-06,0.0,9e-06,9e-06,9e-06,2
trss,0.3,rmse,2.2e-05,0.0,2.2e-05,2.2e-05,2.3e-05,2
trss,0.3,snr,2.936,0.0019,2.936,2.9186,2.9534,2
trss,0.3,dtw,,,,,,0
trss,0.4,mae,1.3e-05,0.0,1.3e-05,1.3e-05,1.3e-05,2
trss,0.4,rmse,2.6e-05,0.0,2.6e-05,2.6e-05,2.7e-05,2
trss,0.4,snr,2.6984,0.0256,2.6984,2.4683,2.9286,2
trss,0.4,dtw,,,,,,0
tv,0.3,mae,9e-06,0.0,9e-06,9e-06,9e-06,2
tv,0.3,rmse,2.2e-05,0.0,2.2e-05,2.2e-05,2.2e-05,2
tv,0.3,snr,2.9275,0.0,2.9275,2.9274,2.9275,2
tv,0.3,dtw,,,,,,0
tv,0.4,mae,1.3e-05,0.0,1.3e-05,1.3e-05,1.3e-05,2
tv,0.4,rmse,2.6e-05,0.0,2.6e-05,2.6e-05,2.6e-05,2
tv,0.4,snr,2.6769,0.0,2.6769,2.6769,2.6769,2
tv,0.4,dtw,,,,,,0
wavelet_temporal,0.3,mae,1.2e-05,0.0,1.2e-05,1.2e-05,1.2e-05,2
wavelet_temporal,0.3,rmse,3.1e-05,0.0,3.1e-05,3e-05,3.1e-05,2
wavelet_temporal,0.3,snr,19.0277,1.1515,19.0277,8.6822,29.3732,2
wavelet_temporal,0.3,dtw,,,,,,0
wavelet_temporal,0.4,mae,1.6e-05,0.0,1.6e-05,1.6e-05,1.6e-05,2
wavelet_temporal,0.4,rmse,3.5e-05,0.0,3.5e-05,3.5e-05,3.5e-05,2
wavelet_temporal,0.4,snr,16.7605,1.1893,16.7605,6.0748,27.4463,2
wavelet_temporal,0.4,dtw,,,,,,0
