method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
temporal_laplacian,0.3,mae,0.4551,0.0056,0.4572,0.4411,0.4691,3
temporal_laplacian,0.3,rmse,0.5311,0.006,0.5312,0.5161,0.546,3
temporal_laplacian,0.3,snr,3.2007,0.0685,3.1723,3.0306,3.3707,3
temporal_laplacian,0.3,dtw,,,,,,0
temporal_laplacian,0.4,mae,0.4768,0.0138,0.4774,0.4425,0.5112,3
temporal_laplacian,0.4,rmse,0.565,0.0107,0.5603,0.5383,0.5916,3
temporal_laplacian,0.4,snr,2.8961,0.2511,2.7957,2.2723,3.5198,3
temporal_laplacian,0.4,dtw,,,,,,0
tikhonov,0.1,mae,0.153,0.0121,0.1552,0.1229,0.1832,3
tikhonov,0.1,rmse,0.2832,0.0205,0.2909,0.2323,0.3342,3
tikhonov,0.1,snr,15.1609,0.7722,15.1399,13.2426,17.0793,3
tikhonov,0.1,dtw,,,,,,0
tikhonov,0.2,mae,0.2049,0.0123,0.1983,0.1744,0.2354,3
tikhonov,0.2,rmse,0.3668,0.023,0.3547,0.3096,0.424,3
tikhonov,0.2,snr,13.6679,0.4692,13.397,12.5024,14.8334,3
tikhonov,0.2,dtw,,,,,,0
tikhonov,0.3,mae,0.2712,0.0127,0.2716,0.2395,0.3029,3
tikhonov,0.3,rmse,0.4539,0.0247,0.4542,0.3925,0.5153,3
tikhonov,0.3,snr,11.8107,0.4882,11.5839,10.598,13.0234,3
tikhonov,0.3,dtw,,,,,,0
tikhonov,0.4,mae,0.3234,0.0224,0.33,0.2678,0.379,3
tikhonov,0.4,rmse,0.5167,0.0314,0.527,0.4386,0.5948,3
tikhonov,0.4,snr,10.3384,0.1957,10.4154,9.8522,10.8246,3
tikhonov,0.4,dtw,,,,,,0
trss,0.1,mae,0.0773,0.0076,0.0786,0.0585,0.0961,3
trss,0.1,rmse,0.267,0.0185,0.2764,0.2211,0.3129,3
trss,0.1,snr,-0.9261,0.4123,-0.7602,-1.9504,0.0982,3
trss,0.1,dtw,,,,,,0
trss,0.2,mae,0.1374,0.0134,0.1353,0.104,0.1707,3
trss,0.2,rmse,0.3536,0.0245,0.3419,0.2926,0.4145,3
trss,0.2,snr,-0.7506,0.5165,-0.7513,-2.0337,0.5325,3
trss,0.2,dtw,,,,,,0
trss,0.3,mae,0.2138,0.0094,0.212,0.1905,0.237,3
trss,0.3,rmse,0.4405,0.0205,0.4403,0.3896,0.4914,3
trss,0.3,snr,-0.8129,0.4318,-0.9331,-1.8856,0.2599,3
trss,0.3,dtw,,,,,,0
trss,0.4,mae,0.2744,0.0256,0.2835,0.2108,0.3381,3
trss,0.4,rmse,0.5027,0.0277,0.5093,0.4337,0.5716,3
trss,0.4,snr,-0.8463,0.1748,-0.7576,-1.2806,-0.4121,3
trss,0.4,dtw,,,,,,0
tv,0.1,mae,0.0712,0.0111,0.0658,0.0436,0.0989,3
tv,0.1,rmse,0.2426,0.0249,0.2321,0.1808,0.3044,3
tv,0.1,snr,-0.0864,0.4351,-0.1275,-1.1672,0.9944,3
tv,0.1,dtw,,,,,,0
tv,0.2,mae,0.1289,0.005,0.129,0.1166,0.1413,3
tv,0.2,rmse,0.3259,0.0042,0.3258,0.3154,0.3365,3
tv,0.2,snr,-0.1091,0.3407,-0.0776,-0.9553,0.7372,3
tv,0.2,dtw,,,,,,0
tv,0.3,mae,0.2073,0.0067,0.2039,0.1906,0.2241,3
tv,0.3,rmse,0.4234,0.0155,0.4169,0.3849,0.462,3
tv,0.3,snr,-0.4473,0.2291,-0.4434,-1.0163,0.1218,3
tv,0.3,dtw,,,,,,0
tv,0.4,mae,0.2605,0.0241,0.261,0.2005,0.3204,3
tv,0.4,rmse,0.4684,0.0287,0.4599,0.3971,0.5396,3
tv,0.4,snr,-0.2357,0.3976,-0.2065,-1.2232,0.7519,3
tv,0.4,dtw,,,,,,0
wavelet_temporal,0.1,mae,0.0954,0.0141,0.0942,0.0605,0.1304,3
wavelet_temporal,0.1,rmse,0.2546,0.0196,0.2494,0.206,0.3032,3
wavelet_temporal,0.1,snr,17.0384,3.1285,15.3596,9.2668,24.81,3
wavelet_temporal,0.1,dtw,,,,,,0
wavelet_temporal,0.2,mae,0.1513,0.0058,0.1485,0.1369,0.1658,3
