dataset,graph,method,mae,rmse,snr
synthetic,aew,puy,0.23838880161784562,0.34155115241632067,6.880492862731913
synthetic,nnk,puy,0.2954526616243871,0.4398806833417446,4.71183145721145
synthetic,aew,tikhonov,0.29976809429698004,0.38860186554775705,5.533458299233559
synthetic,aew,graph_time_tikhonov,0.30121316860790737,0.3824311247189678,5.653965685751476
synthetic,nnk,tikhonov,0.31722159827172874,0.427560730556803,4.751991684768658
synthetic,nnk,graph_time_tikhonov,0.317726871952985,0.416403188094454,4.97560976502819
synthetic,knn,tikhonov,0.43225683436938067,0.527147173048492,2.781100811263921
synthetic,knn,graph_time_tikhonov,0.43255989263950057,0.5251963593151835,2.8111832385172453
synthetic,aew,qiu_batch,0.43511180961459406,0.49623406456079516,3.157327289798674
synthetic,nnk,qiu_batch,0.4423164158335872,0.5062311553145535,2.991928825704198
synthetic,vknng,tikhonov,0.4477317946092511,0.54327632584139,2.523266308897132
synthetic,knng,tikhonov,0.44805006685332943,0.5429200799894952,2.514537251544356
synthetic,vknng,graph_time_tikhonov,0.44807705454962904,0.5420686337629729,2.540229395046792
synthetic,knng,graph_time_tikhonov,0.44843975995618557,0.5417703162638773,2.5307383154392906
synthetic,knn,puy,0.46379540633763633,0.5677211025437646,2.1617344515211805
synthetic,gaussian,tikhonov,0.4788965153815943,0.5766617055370209,1.9746233819397006
synthetic,gaussian,graph_time_tikhonov,0.479115202825044,0.576121642236,1.9808703402760626
synthetic,vknng,puy,0.4793509836359741,0.5829920214087273,1.9471636250675062
synthetic,aew,bgsrp,0.4799314121496117,0.6014255440662477,1.6926471509121377
synthetic,knng,puy,0.482247622266576,0.5850670883051576,1.8934407307064895
synthetic,aew,sobolev,0.4847510186049262,0.5506077262553131,2.255701192312431
synthetic,vknng,bgsrp,0.4848589392742133,0.6033151492234774,1.6481598013636443
synthetic,nnk,sobolev,0.49055458923377876,0.5592572509519148,2.1313960641338965
synthetic,knn,bgsrp,0.4926553170674377,0.6118523224059274,1.4962625077068097
synthetic,gaussian,bgsrp,0.4926553170674377,0.6118523224059274,1.4962625077068106
synthetic,knng,bgsrp,0.4926553170674377,0.6118523224059274,1.4962625077068097
synthetic,nnk,bgsrp,0.49265531706743776,0.6118523224059274,1.4962625077068095
synthetic,knn,qiu_batch,0.5047902739423835,0.5732929891718131,1.9048099005966252
synthetic,gaussian,puy,0.509022122576282,0.6122503222102209,1.4535445010403836
synthetic,knng,qiu_batch,0.5150408912309761,0.5845511220052115,1.7353683437752054
synthetic,vknng,qiu_batch,0.5154333254535077,0.5852438315387458,1.728702754508229
synthetic,kalofolias,graph_time_tikhonov,0.5172527372875547,0.6214485675541713,1.321867215956485
synthetic,kalofolias,tikhonov,0.5174050495364582,0.6222264599642562,1.312482725652555
synthetic,kalofolias,puy,0.5176613021885791,0.6225329004560192,1.3081797642539879
synthetic,gaussian,qiu_batch,0.537137088329858,0.6095385350023124,1.3705159459461727
synthetic,knn,sobolev,0.5519191139720352,0.6275936366294947,1.1231799066294632
synthetic,vknng,sobolev,0.5574181138307908,0.6339591035171159,1.036694237911334
synthetic,knng,sobolev,0.558493827176823,0.635011520047687,1.0199763408541829
synthetic,gaussian,sobolev,0.5675813957454978,0.6454114420994788,0.8767904597883871
synthetic,kalofolias,qiu_batch,0.5707635797169652,0.6491994399172694,0.8262434230660315
synthetic,kalofolias,sobolev,0.5710086458992857,0.6494921770369715,0.8223479613435868
synthetic,kalofolias,bgsrp,0.9009374874867487,5.369278855678768,-3.1238434804542625
